epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1732941903630,2024-11-29T23.45.03.630,0.000,-0.907,0.382,0.171
1732941903640,2024-11-29T23.45.03.640,0.010,-0.915,0.387,0.170
1732941903650,2024-11-29T23.45.03.650,0.020,-0.909,0.388,0.167
1732941903660,2024-11-29T23.45.03.660,0.030,-0.911,0.391,0.167
1732941903670,2024-11-29T23.45.03.670,0.040,-0.912,0.393,0.166
1732941903680,2024-11-29T23.45.03.680,0.050,-0.912,0.391,0.169
1732941903690,2024-11-29T23.45.03.690,0.060,-0.913,0.389,0.167
1732941903700,2024-11-29T23.45.03.700,0.070,-0.914,0.387,0.166
1732941903710,2024-11-29T23.45.03.710,0.080,-0.917,0.383,0.167
1732941903720,2024-11-29T23.45.03.720,0.090,-0.927,0.380,0.169
1732941903730,2024-11-29T23.45.03.730,0.100,-0.928,0.377,0.168
1732941903740,2024-11-29T23.45.03.740,0.110,-0.917,0.377,0.166
1732941903750,2024-11-29T23.45.03.750,0.120,-0.906,0.377,0.166
1732941903760,2024-11-29T23.45.03.760,0.130,-0.906,0.380,0.168
1732941903770,2024-11-29T23.45.03.770,0.140,-0.910,0.383,0.167
1732941903780,2024-11-29T23.45.03.780,0.150,-0.911,0.382,0.167
1732941903790,2024-11-29T23.45.03.790,0.160,-0.914,0.381,0.166
1732941903800,2024-11-29T23.45.03.800,0.170,-0.918,0.381,0.165
1732941903810,2024-11-29T23.45.03.810,0.180,-0.920,0.380,0.167
1732941903820,2024-11-29T23.45.03.820,0.190,-0.917,0.378,0.166
1732941903830,2024-11-29T23.45.03.830,0.200,-0.917,0.381,0.167
1732941903840,2024-11-29T23.45.03.840,0.210,-0.915,0.382,0.166
1732941903850,2024-11-29T23.45.03.850,0.220,-0.912,0.380,0.162
1732941903860,2024-11-29T23.45.03.860,0.230,-0.910,0.381,0.163
1732941903870,2024-11-29T23.45.03.870,0.240,-0.913,0.382,0.162
1732941903880,2024-11-29T23.45.03.880,0.250,-0.916,0.381,0.164
1732941903890,2024-11-29T23.45.03.890,0.260,-0.914,0.381,0.164
1732941903900,2024-11-29T23.45.03.900,0.270,-0.914,0.382,0.166
1732941903910,2024-11-29T23.45.03.910,0.280,-0.914,0.383,0.168
1732941903920,2024-11-29T23.45.03.920,0.290,-0.915,0.383,0.166
1732941903930,2024-11-29T23.45.03.930,0.300,-0.917,0.383,0.167
1732941903940,2024-11-29T23.45.03.940,0.310,-0.919,0.382,0.168
1732941903950,2024-11-29T23.45.03.950,0.320,-0.921,0.381,0.166
1732941903960,2024-11-29T23.45.03.960,0.330,-0.920,0.375,0.166
1732941903970,2024-11-29T23.45.03.970,0.340,-0.917,0.374,0.167
1732941903980,2024-11-29T23.45.03.980,0.350,-0.913,0.378,0.170
1732941903990,2024-11-29T23.45.03.990,0.360,-0.909,0.377,0.169
1732941904000,2024-11-29T23.45.04.000,0.370,-0.906,0.378,0.168
1732941904010,2024-11-29T23.45.04.010,0.380,-0.906,0.378,0.165
1732941904020,2024-11-29T23.45.04.020,0.390,-0.910,0.377,0.167
1732941904030,2024-11-29T23.45.04.030,0.400,-0.915,0.376,0.167
1732941904040,2024-11-29T23.45.04.040,0.410,-0.920,0.376,0.170
1732941904050,2024-11-29T23.45.04.050,0.420,-0.925,0.376,0.169
1732941904060,2024-11-29T23.45.04.060,0.430,-0.923,0.377,0.168
1732941904070,2024-11-29T23.45.04.070,0.440,-0.920,0.377,0.167
1732941904080,2024-11-29T23.45.04.080,0.450,-0.921,0.379,0.170
1732941904090,2024-11-29T23.45.04.090,0.460,-0.920,0.381,0.167
1732941904100,2024-11-29T23.45.04.100,0.470,-0.918,0.378,0.166
1732941904110,2024-11-29T23.45.04.110,0.480,-0.914,0.379,0.164
1732941904120,2024-11-29T23.45.04.120,0.490,-0.913,0.381,0.161
1732941904130,2024-11-29T23.45.04.130,0.500,-0.916,0.382,0.160
1732941904140,2024-11-29T23.45.04.140,0.510,-0.914,0.382,0.159
1732941904150,2024-11-29T23.45.04.150,0.520,-0.913,0.384,0.164
1732941904160,2024-11-29T23.45.04.160,0.530,-0.912,0.385,0.163
1732941904170,2024-11-29T23.45.04.170,0.540,-0.913,0.384,0.161
1732941904180,2024-11-29T23.45.04.180,0.550,-0.918,0.384,0.163
1732941904190,2024-11-29T23.45.04.190,0.560,-0.917,0.384,0.165
1732941904200,2024-11-29T23.45.04.200,0.570,-0.918,0.385,0.162
1732941904210,2024-11-29T23.45.04.210,0.580,-0.917,0.382,0.165
1732941904220,2024-11-29T23.45.04.220,0.590,-0.918,0.378,0.165
1732941904230,2024-11-29T23.45.04.230,0.600,-0.918,0.378,0.167
1732941904240,2024-11-29T23.45.04.240,0.610,-0.917,0.375,0.167
1732941904250,2024-11-29T23.45.04.250,0.620,-0.915,0.376,0.166
1732941904260,2024-11-29T23.45.04.260,0.630,-0.919,0.379,0.168
1732941904270,2024-11-29T23.45.04.270,0.640,-0.921,0.378,0.167
1732941904280,2024-11-29T23.45.04.280,0.650,-0.913,0.374,0.165
1732941904290,2024-11-29T23.45.04.290,0.660,-0.916,0.377,0.162
1732941904300,2024-11-29T23.45.04.300,0.670,-0.926,0.379,0.164
1732941904310,2024-11-29T23.45.04.310,0.680,-0.916,0.375,0.165
1732941904320,2024-11-29T23.45.04.320,0.690,-0.908,0.374,0.164
1732941904330,2024-11-29T23.45.04.330,0.700,-0.908,0.378,0.164
1732941904340,2024-11-29T23.45.04.340,0.710,-0.911,0.383,0.167
1732941904350,2024-11-29T23.45.04.350,0.720,-0.914,0.385,0.167
1732941904360,2024-11-29T23.45.04.360,0.730,-0.917,0.380,0.167
1732941904370,2024-11-29T23.45.04.370,0.740,-0.918,0.383,0.168
1732941904380,2024-11-29T23.45.04.380,0.750,-0.918,0.382,0.169
1732941904390,2024-11-29T23.45.04.390,0.760,-0.917,0.382,0.170
1732941904400,2024-11-29T23.45.04.400,0.770,-0.918,0.383,0.169
1732941904410,2024-11-29T23.45.04.410,0.780,-0.917,0.380,0.170
1732941904420,2024-11-29T23.45.04.420,0.790,-0.919,0.381,0.169
1732941904430,2024-11-29T23.45.04.430,0.800,-0.917,0.386,0.169
1732941904440,2024-11-29T23.45.04.440,0.810,-0.917,0.387,0.171
1732941904450,2024-11-29T23.45.04.450,0.820,-0.917,0.387,0.168
1732941904460,2024-11-29T23.45.04.460,0.830,-0.916,0.390,0.167
1732941904470,2024-11-29T23.45.04.470,0.840,-0.915,0.390,0.168
1732941904480,2024-11-29T23.45.04.480,0.850,-0.914,0.385,0.166
1732941904490,2024-11-29T23.45.04.490,0.860,-0.909,0.383,0.162
1732941904500,2024-11-29T23.45.04.500,0.870,-0.911,0.380,0.165
1732941904510,2024-11-29T23.45.04.510,0.880,-0.911,0.380,0.166
1732941904520,2024-11-29T23.45.04.520,0.890,-0.909,0.376,0.165
1732941904530,2024-11-29T23.45.04.530,0.900,-0.916,0.375,0.167
1732941904540,2024-11-29T23.45.04.540,0.910,-0.929,0.377,0.167
1732941904550,2024-11-29T23.45.04.550,0.920,-0.924,0.372,0.169
1732941904560,2024-11-29T23.45.04.560,0.930,-0.913,0.371,0.167
1732941904570,2024-11-29T23.45.04.570,0.940,-0.907,0.375,0.163
1732941904580,2024-11-29T23.45.04.580,0.950,-0.912,0.379,0.164
1732941904590,2024-11-29T23.45.04.590,0.960,-0.917,0.382,0.165
1732941904600,2024-11-29T23.45.04.600,0.970,-0.912,0.385,0.165
1732941904610,2024-11-29T23.45.04.610,0.980,-0.917,0.388,0.167
1732941904620,2024-11-29T23.45.04.620,0.990,-0.919,0.389,0.167
1732941904630,2024-11-29T23.45.04.630,1.000,-0.917,0.390,0.164
1732941904640,2024-11-29T23.45.04.640,1.010,-0.921,0.391,0.168
1732941904650,2024-11-29T23.45.04.650,1.020,-0.922,0.388,0.171
1732941904660,2024-11-29T23.45.04.660,1.030,-0.925,0.386,0.167
1732941904670,2024-11-29T23.45.04.670,1.040,-0.930,0.386,0.167
1732941904680,2024-11-29T23.45.04.680,1.050,-0.941,0.384,0.172
1732941904690,2024-11-29T23.45.04.690,1.060,-0.945,0.392,0.173
1732941904700,2024-11-29T23.45.04.700,1.070,-0.947,0.402,0.177
1732941904710,2024-11-29T23.45.04.710,1.080,-0.948,0.407,0.184
1732941904720,2024-11-29T23.45.04.720,1.090,-0.950,0.411,0.179
1732941904730,2024-11-29T23.45.04.730,1.100,-0.966,0.412,0.173
1732941904740,2024-11-29T23.45.04.740,1.110,-0.992,0.434,0.181
1732941904750,2024-11-29T23.45.04.750,1.120,-0.979,0.453,0.185
1732941904760,2024-11-29T23.45.04.760,1.130,-0.963,0.446,0.179
1732941904770,2024-11-29T23.45.04.770,1.140,-0.979,0.428,0.187
1732941904780,2024-11-29T23.45.04.780,1.150,-0.990,0.400,0.192
1732941904790,2024-11-29T23.45.04.790,1.160,-0.992,0.369,0.196
1732941904800,2024-11-29T23.45.04.800,1.170,-0.982,0.354,0.192
1732941904810,2024-11-29T23.45.04.810,1.180,-0.981,0.340,0.189
1732941904820,2024-11-29T23.45.04.820,1.190,-0.981,0.328,0.193
1732941904830,2024-11-29T23.45.04.830,1.200,-0.992,0.299,0.188
1732941904840,2024-11-29T23.45.04.840,1.210,-0.992,0.271,0.190
1732941904850,2024-11-29T23.45.04.850,1.220,-0.974,0.257,0.183
1732941904860,2024-11-29T23.45.04.860,1.230,-0.962,0.241,0.174
1732941904870,2024-11-29T23.45.04.870,1.240,-0.940,0.212,0.175
1732941904880,2024-11-29T23.45.04.880,1.250,-0.913,0.182,0.168
1732941904890,2024-11-29T23.45.04.890,1.260,-0.913,0.136,0.158
