epoc (ms),timestamp (-0500),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1732941903632,2024-11-29T23.45.03.632,0.000,0.000,0.976,-0.671
1732941903642,2024-11-29T23.45.03.642,0.010,0.000,1.220,-0.366
1732941903652,2024-11-29T23.45.03.652,0.020,0.183,1.220,-0.793
1732941903662,2024-11-29T23.45.03.662,0.030,0.732,1.159,-0.671
1732941903672,2024-11-29T23.45.03.672,0.040,1.220,1.037,-0.427
1732941903682,2024-11-29T23.45.03.682,0.050,1.463,0.915,-0.122
1732941903692,2024-11-29T23.45.03.692,0.060,1.768,0.854,0.244
1732941903702,2024-11-29T23.45.03.702,0.070,1.829,0.915,0.244
1732941903712,2024-11-29T23.45.03.712,0.080,1.585,1.098,0.000
1732941903722,2024-11-29T23.45.03.722,0.090,1.220,1.585,-0.305
1732941903732,2024-11-29T23.45.03.732,0.100,1.098,2.195,-0.793
1732941903742,2024-11-29T23.45.03.742,0.110,1.037,2.134,-0.976
1732941903752,2024-11-29T23.45.03.752,0.120,0.732,1.524,-0.976
1732941903762,2024-11-29T23.45.03.762,0.130,0.549,1.220,-0.793
1732941903772,2024-11-29T23.45.03.772,0.140,0.610,1.159,-0.305
1732941903782,2024-11-29T23.45.03.782,0.150,0.488,1.280,0.183
1732941903792,2024-11-29T23.45.03.792,0.160,0.549,1.280,0.732
1732941903802,2024-11-29T23.45.03.802,0.170,0.305,1.463,0.854
1732941903812,2024-11-29T23.45.03.812,0.180,0.122,1.646,0.671
1732941903822,2024-11-29T23.45.03.822,0.190,0.000,1.463,0.488
1732941903832,2024-11-29T23.45.03.832,0.200,-0.183,1.220,0.061
1732941903842,2024-11-29T23.45.03.842,0.210,-0.305,0.976,-0.427
1732941903852,2024-11-29T23.45.03.852,0.220,-0.366,0.671,-0.732
1732941903862,2024-11-29T23.45.03.862,0.230,-0.427,0.366,-1.220
1732941903872,2024-11-29T23.45.03.872,0.240,-0.366,0.183,-1.585
1732941903882,2024-11-29T23.45.03.882,0.250,-0.366,-0.061,-1.646
1732941903892,2024-11-29T23.45.03.892,0.260,-0.366,-0.122,-1.524
1732941903902,2024-11-29T23.45.03.902,0.270,-0.244,-0.122,-1.159
1732941903912,2024-11-29T23.45.03.912,0.280,-0.122,-0.122,-0.671
1732941903922,2024-11-29T23.45.03.922,0.290,-0.122,-0.244,-0.183
1732941903932,2024-11-29T23.45.03.932,0.300,-0.061,-0.183,-0.122
1732941903942,2024-11-29T23.45.03.942,0.310,0.000,-0.244,-0.488
1732941903952,2024-11-29T23.45.03.952,0.320,0.061,-0.366,-1.098
1732941903962,2024-11-29T23.45.03.962,0.330,0.000,-0.366,-1.829
1732941903972,2024-11-29T23.45.03.972,0.340,0.122,-0.427,-2.256
1732941903982,2024-11-29T23.45.03.982,0.350,0.244,-0.427,-2.317
1732941903992,2024-11-29T23.45.03.992,0.360,0.549,-0.244,-1.829
