epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1.73293E+12,2024-11-29T19.43.36.536,0.03,-0.86,0.48,0.165
1.73293E+12,2024-11-29T19.43.36.546,0.04,-0.86,0.481,0.166
1.73293E+12,2024-11-29T19.43.36.556,0.05,-0.858,0.479,0.167
1.73293E+12,2024-11-29T19.43.36.566,0.06,-0.858,0.478,0.166
1.73293E+12,2024-11-29T19.43.36.576,0.07,-0.864,0.478,0.167
1.73293E+12,2024-11-29T19.43.36.586,0.08,-0.862,0.479,0.165
1.73293E+12,2024-11-29T19.43.36.596,0.09,-0.856,0.481,0.166
1.73293E+12,2024-11-29T19.43.36.606,0.1,-0.855,0.483,0.159
1.73293E+12,2024-11-29T19.43.36.616,0.11,-0.866,0.488,0.164
1.73293E+12,2024-11-29T19.43.36.626,0.12,-0.876,0.479,0.163
1.73293E+12,2024-11-29T19.43.36.636,0.13,-0.854,0.474,0.167
1.73293E+12,2024-11-29T19.43.36.646,0.14,-0.854,0.473,0.162
1.73293E+12,2024-11-29T19.43.36.656,0.15,-0.86,0.482,0.164
1.73293E+12,2024-11-29T19.43.36.666,0.16,-0.864,0.476,0.162
1.73293E+12,2024-11-29T19.43.36.676,0.17,-0.863,0.477,0.162
1.73293E+12,2024-11-29T19.43.36.686,0.18,-0.859,0.475,0.163
1.73293E+12,2024-11-29T19.43.36.696,0.19,-0.86,0.479,0.162
1.73293E+12,2024-11-29T19.43.36.706,0.2,-0.866,0.487,0.164
1.73293E+12,2024-11-29T19.43.36.716,0.21,-0.864,0.486,0.166
1.73293E+12,2024-11-29T19.43.36.726,0.22,-0.867,0.487,0.168
1.73293E+12,2024-11-29T19.43.36.736,0.23,-0.868,0.483,0.167
1.73293E+12,2024-11-29T19.43.36.746,0.24,-0.866,0.481,0.169
1.73293E+12,2024-11-29T19.43.36.756,0.25,-0.865,0.477,0.168
1.73293E+12,2024-11-29T19.43.36.766,0.26,-0.868,0.476,0.172
1.73293E+12,2024-11-29T19.43.36.776,0.27,-0.864,0.476,0.166
1.73293E+12,2024-11-29T19.43.36.786,0.28,-0.857,0.477,0.166
1.73293E+12,2024-11-29T19.43.36.796,0.29,-0.857,0.478,0.166
1.73293E+12,2024-11-29T19.43.36.806,0.3,-0.863,0.481,0.164
1.73293E+12,2024-11-29T19.43.36.816,0.31,-0.864,0.483,0.162
1.73293E+12,2024-11-29T19.43.36.826,0.32,-0.864,0.484,0.161
1.73293E+12,2024-11-29T19.43.36.836,0.33,-0.862,0.487,0.159
1.73293E+12,2024-11-29T19.43.36.846,0.34,-0.862,0.49,0.163
1.73293E+12,2024-11-29T19.43.36.856,0.35,-0.857,0.485,0.16
1.73293E+12,2024-11-29T19.43.36.866,0.36,-0.859,0.485,0.162
1.73293E+12,2024-11-29T19.43.36.876,0.37,-0.867,0.484,0.161
1.73293E+12,2024-11-29T19.43.36.886,0.38,-0.872,0.478,0.163
1.73293E+12,2024-11-29T19.43.36.896,0.39,-0.864,0.478,0.162
1.73293E+12,2024-11-29T19.43.36.906,0.4,-0.856,0.477,0.161
1.73293E+12,2024-11-29T19.43.36.916,0.41,-0.858,0.477,0.159
1.73293E+12,2024-11-29T19.43.36.926,0.42,-0.864,0.479,0.162
1.73293E+12,2024-11-29T19.43.36.936,0.43,-0.867,0.478,0.166
1.73293E+12,2024-11-29T19.43.36.946,0.44,-0.864,0.475,0.166
1.73293E+12,2024-11-29T19.43.36.956,0.45,-0.866,0.477,0.166
1.73293E+12,2024-11-29T19.43.36.966,0.46,-0.864,0.474,0.166
1.73293E+12,2024-11-29T19.43.36.976,0.47,-0.861,0.473,0.164
1.73293E+12,2024-11-29T19.43.36.986,0.48,-0.865,0.473,0.163
1.73293E+12,2024-11-29T19.43.36.996,0.49,-0.867,0.473,0.167
1.73293E+12,2024-11-29T19.43.37.006,0.5,-0.865,0.472,0.167
1.73293E+12,2024-11-29T19.43.37.016,0.51,-0.863,0.475,0.163
1.73293E+12,2024-11-29T19.43.37.026,0.52,-0.862,0.475,0.163
1.73293E+12,2024-11-29T19.43.37.036,0.53,-0.861,0.475,0.165
1.73293E+12,2024-11-29T19.43.37.046,0.54,-0.866,0.478,0.165
1.73293E+12,2024-11-29T19.43.37.056,0.55,-0.867,0.478,0.163
1.73293E+12,2024-11-29T19.43.37.066,0.56,-0.863,0.477,0.164
1.73293E+12,2024-11-29T19.43.37.076,0.57,-0.863,0.476,0.165
1.73293E+12,2024-11-29T19.43.37.086,0.58,-0.862,0.474,0.165
1.73293E+12,2024-11-29T19.43.37.096,0.59,-0.862,0.473,0.164
1.73293E+12,2024-11-29T19.43.37.106,0.6,-0.864,0.473,0.163
1.73293E+12,2024-11-29T19.43.37.116,0.61,-0.862,0.472,0.163
1.73293E+12,2024-11-29T19.43.37.126,0.62,-0.862,0.474,0.166
1.73293E+12,2024-11-29T19.43.37.136,0.63,-0.864,0.473,0.167
1.73293E+12,2024-11-29T19.43.37.146,0.64,-0.863,0.471,0.167
1.73293E+12,2024-11-29T19.43.37.156,0.65,-0.861,0.467,0.166
1.73293E+12,2024-11-29T19.43.37.166,0.66,-0.859,0.467,0.166
1.73293E+12,2024-11-29T19.43.37.176,0.67,-0.861,0.466,0.166
1.73293E+12,2024-11-29T19.43.37.186,0.68,-0.857,0.462,0.166
1.73293E+12,2024-11-29T19.43.37.196,0.69,-0.858,0.46,0.167
1.73293E+12,2024-11-29T19.43.37.206,0.7,-0.861,0.462,0.169
1.73293E+12,2024-11-29T19.43.37.216,0.71,-0.863,0.465,0.17
1.73293E+12,2024-11-29T19.43.37.226,0.72,-0.862,0.469,0.169
1.73293E+12,2024-11-29T19.43.37.236,0.73,-0.87,0.476,0.17
1.73293E+12,2024-11-29T19.43.37.246,0.74,-0.874,0.482,0.171
1.73293E+12,2024-11-29T19.43.37.256,0.75,-0.865,0.482,0.168
1.73293E+12,2024-11-29T19.43.37.266,0.76,-0.858,0.483,0.164
1.73293E+12,2024-11-29T19.43.37.276,0.77,-0.86,0.492,0.161
1.73293E+12,2024-11-29T19.43.37.286,0.78,-0.86,0.496,0.156
1.73293E+12,2024-11-29T19.43.37.296,0.79,-0.857,0.497,0.159
1.73293E+12,2024-11-29T19.43.37.306,0.8,-0.854,0.499,0.158
1.73293E+12,2024-11-29T19.43.37.316,0.81,-0.854,0.503,0.16
1.73293E+12,2024-11-29T19.43.37.326,0.82,-0.855,0.506,0.16
1.73293E+12,2024-11-29T19.43.37.336,0.83,-0.858,0.507,0.164
1.73293E+12,2024-11-29T19.43.37.346,0.84,-0.865,0.509,0.165
1.73293E+12,2024-11-29T19.43.37.356,0.85,-0.866,0.505,0.167
1.73293E+12,2024-11-29T19.43.37.366,0.86,-0.868,0.503,0.165
1.73293E+12,2024-11-29T19.43.37.376,0.87,-0.862,0.504,0.163
1.73293E+12,2024-11-29T19.43.37.386,0.88,-0.86,0.499,0.165
1.73293E+12,2024-11-29T19.43.37.396,0.89,-0.86,0.497,0.164
1.73293E+12,2024-11-29T19.43.37.406,0.9,-0.854,0.5,0.163
1.73293E+12,2024-11-29T19.43.37.416,0.91,-0.855,0.499,0.164
1.73293E+12,2024-11-29T19.43.37.426,0.92,-0.855,0.496,0.162
1.73293E+12,2024-11-29T19.43.37.436,0.93,-0.853,0.499,0.161
1.73293E+12,2024-11-29T19.43.37.446,0.94,-0.857,0.503,0.158
1.73293E+12,2024-11-29T19.43.37.456,0.95,-0.855,0.501,0.157
1.73293E+12,2024-11-29T19.43.37.466,0.96,-0.854,0.499,0.159
1.73293E+12,2024-11-29T19.43.37.476,0.97,-0.853,0.501,0.158
1.73293E+12,2024-11-29T19.43.37.486,0.98,-0.848,0.494,0.157
1.73293E+12,2024-11-29T19.43.37.496,0.99,-0.856,0.491,0.161
1.73293E+12,2024-11-29T19.43.37.506,1,-0.86,0.488,0.164
1.73293E+12,2024-11-29T19.43.37.516,1.01,-0.86,0.478,0.163
1.73293E+12,2024-11-29T19.43.37.526,1.02,-0.848,0.479,0.165
1.73293E+12,2024-11-29T19.43.37.536,1.03,-0.844,0.48,0.162
1.73293E+12,2024-11-29T19.43.37.546,1.04,-0.857,0.48,0.166
1.73293E+12,2024-11-29T19.43.37.556,1.05,-0.854,0.479,0.165
1.73293E+12,2024-11-29T19.43.37.566,1.06,-0.851,0.478,0.162
1.73293E+12,2024-11-29T19.43.37.576,1.07,-0.862,0.483,0.167
