epoc (ms),timestamp (-0500),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1.73293E+12,2024-11-29T19.43.36.533,0,1.159,-0.305,-1.463
1.73293E+12,2024-11-29T19.43.36.543,0.01,1.28,-0.244,-1.402
1.73293E+12,2024-11-29T19.43.36.553,0.02,1.159,-0.305,-1.28
1.73293E+12,2024-11-29T19.43.36.563,0.03,1.037,-0.305,-1.463
1.73293E+12,2024-11-29T19.43.36.573,0.04,0.915,-0.305,-1.463
1.73293E+12,2024-11-29T19.43.36.583,0.05,0.61,-0.305,-1.159
1.73293E+12,2024-11-29T19.43.36.593,0.06,0.427,-0.366,-1.159
1.73293E+12,2024-11-29T19.43.36.603,0.07,0.305,0,-1.341
1.73293E+12,2024-11-29T19.43.36.613,0.08,0.549,0.122,-1.402
1.73293E+12,2024-11-29T19.43.36.623,0.09,0.549,-0.427,-1.22
1.73293E+12,2024-11-29T19.43.36.633,0.1,0.732,-0.671,-0.488
1.73293E+12,2024-11-29T19.43.36.643,0.11,1.037,-0.366,-0.488
1.73293E+12,2024-11-29T19.43.36.653,0.12,1.098,0.427,-1.159
1.73293E+12,2024-11-29T19.43.36.663,0.13,0.793,0.061,-0.61
1.73293E+12,2024-11-29T19.43.36.673,0.14,0.305,-0.549,-0.183
1.73293E+12,2024-11-29T19.43.36.683,0.15,0.061,-0.61,-0.122
1.73293E+12,2024-11-29T19.43.36.693,0.16,0,-0.488,-0.183
1.73293E+12,2024-11-29T19.43.36.703,0.17,-0.122,-0.671,-0.427
1.73293E+12,2024-11-29T19.43.36.713,0.18,-0.183,-1.22,-0.671
1.73293E+12,2024-11-29T19.43.36.723,0.19,0.061,-1.463,-0.976
1.73293E+12,2024-11-29T19.43.36.733,0.2,0.366,-1.341,-0.915
1.73293E+12,2024-11-29T19.43.36.743,0.21,0.793,-1.037,-0.732
1.73293E+12,2024-11-29T19.43.36.753,0.22,0.976,-0.488,-0.61
1.73293E+12,2024-11-29T19.43.36.763,0.23,1.037,-0.122,-0.427
1.73293E+12,2024-11-29T19.43.36.773,0.24,0.793,0.183,0
1.73293E+12,2024-11-29T19.43.36.783,0.25,0.488,0.366,0.244
1.73293E+12,2024-11-29T19.43.36.793,0.26,0.122,0.61,0.366
1.73293E+12,2024-11-29T19.43.36.803,0.27,-0.244,0.915,0.427
1.73293E+12,2024-11-29T19.43.36.813,0.28,-0.61,0.854,0.488
1.73293E+12,2024-11-29T19.43.36.823,0.29,-0.671,0.793,0.549
1.73293E+12,2024-11-29T19.43.36.833,0.3,-0.793,0.915,0.305
1.73293E+12,2024-11-29T19.43.36.843,0.31,-0.671,1.037,0
1.73293E+12,2024-11-29T19.43.36.853,0.32,-0.427,0.793,-0.366
1.73293E+12,2024-11-29T19.43.36.863,0.33,-0.244,0.61,-0.61
1.73293E+12,2024-11-29T19.43.36.873,0.34,0,0.549,-0.854
1.73293E+12,2024-11-29T19.43.36.883,0.35,0.305,0.122,-1.159
1.73293E+12,2024-11-29T19.43.36.893,0.36,0.305,-0.366,-1.341
1.73293E+12,2024-11-29T19.43.36.903,0.37,0.366,-0.244,-1.707
1.73293E+12,2024-11-29T19.43.36.913,0.38,0.427,0.427,-2.134
1.73293E+12,2024-11-29T19.43.36.923,0.39,0.427,0.305,-2.317
1.73293E+12,2024-11-29T19.43.36.933,0.4,0.244,-0.671,-2.134
1.73293E+12,2024-11-29T19.43.36.943,0.41,0.244,-1.22,-2.012
1.73293E+12,2024-11-29T19.43.36.953,0.42,0.366,-1.037,-1.829
1.73293E+12,2024-11-29T19.43.36.963,0.43,0.61,-0.671,-1.524
1.73293E+12,2024-11-29T19.43.36.973,0.44,0.61,-0.488,-1.22
1.73293E+12,2024-11-29T19.43.36.983,0.45,0.732,-0.122,-0.976
1.73293E+12,2024-11-29T19.43.36.993,0.46,0.61,-0.183,-0.671
1.73293E+12,2024-11-29T19.43.37.003,0.47,0.427,-0.427,-0.427
1.73293E+12,2024-11-29T19.43.37.013,0.48,0.183,-0.366,-0.244
1.73293E+12,2024-11-29T19.43.37.023,0.49,0,-0.061,-0.366
1.73293E+12,2024-11-29T19.43.37.033,0.5,-0.061,0,-0.488
1.73293E+12,2024-11-29T19.43.37.043,0.51,-0.061,-0.183,-0.366
1.73293E+12,2024-11-29T19.43.37.053,0.52,-0.061,-0.305,-0.305
1.73293E+12,2024-11-29T19.43.37.063,0.53,-0.122,-0.366,-0.244
1.73293E+12,2024-11-29T19.43.37.073,0.54,0.061,-0.183,-0.061
1.73293E+12,2024-11-29T19.43.37.083,0.55,0.244,-0.061,-0.061
1.73293E+12,2024-11-29T19.43.37.093,0.56,0.183,-0.244,-0.061
1.73293E+12,2024-11-29T19.43.37.103,0.57,0.305,-0.366,0
1.73293E+12,2024-11-29T19.43.37.113,0.58,0.488,-0.61,0
1.73293E+12,2024-11-29T19.43.37.123,0.59,0.549,-0.671,0.122
1.73293E+12,2024-11-29T19.43.37.133,0.6,0.61,-0.732,0.183
1.73293E+12,2024-11-29T19.43.37.143,0.61,0.793,-0.793,0.366
1.73293E+12,2024-11-29T19.43.37.153,0.62,0.915,-0.854,0.488
1.73293E+12,2024-11-29T19.43.37.163,0.63,1.098,-0.732,0.732
1.73293E+12,2024-11-29T19.43.37.173,0.64,1.28,-0.61,0.854
1.73293E+12,2024-11-29T19.43.37.183,0.65,1.159,-0.61,1.341
1.73293E+12,2024-11-29T19.43.37.193,0.66,1.22,-0.549,1.89
1.73293E+12,2024-11-29T19.43.37.203,0.67,1.22,-0.488,2.439
1.73293E+12,2024-11-29T19.43.37.213,0.68,1.22,-0.427,3.171
1.73293E+12,2024-11-29T19.43.37.223,0.69,1.22,-0.549,3.963
1.73293E+12,2024-11-29T19.43.37.233,0.7,1.159,-0.488,4.634
1.73293E+12,2024-11-29T19.43.37.243,0.71,1.098,-0.183,4.939
1.73293E+12,2024-11-29T19.43.37.253,0.72,1.037,0,5.427
1.73293E+12,2024-11-29T19.43.37.263,0.73,1.037,0.366,5.732
1.73293E+12,2024-11-29T19.43.37.273,0.74,0.976,1.28,5.915
1.73293E+12,2024-11-29T19.43.37.283,0.75,0.793,1.524,5.915
1.73293E+12,2024-11-29T19.43.37.293,0.76,0.549,1.159,5.671
1.73293E+12,2024-11-29T19.43.37.303,0.77,0.671,1.037,5.061
1.73293E+12,2024-11-29T19.43.37.313,0.78,0.793,0.61,4.085
1.73293E+12,2024-11-29T19.43.37.323,0.79,0.793,0,3.415
1.73293E+12,2024-11-29T19.43.37.333,0.8,0.915,-0.793,2.988
1.73293E+12,2024-11-29T19.43.37.343,0.81,1.22,-1.28,2.622
1.73293E+12,2024-11-29T19.43.37.353,0.82,1.585,-1.524,2.561
1.73293E+12,2024-11-29T19.43.37.363,0.83,1.951,-1.524,2.195
1.73293E+12,2024-11-29T19.43.37.373,0.84,2.073,-1.22,1.707
1.73293E+12,2024-11-29T19.43.37.383,0.85,1.89,-0.793,1.159
1.73293E+12,2024-11-29T19.43.37.393,0.86,1.646,-0.183,0.549
1.73293E+12,2024-11-29T19.43.37.403,0.87,1.341,0,0.183
1.73293E+12,2024-11-29T19.43.37.413,0.88,0.549,0.061,-0.366
1.73293E+12,2024-11-29T19.43.37.423,0.89,0,0.366,-0.732
1.73293E+12,2024-11-29T19.43.37.433,0.9,-0.366,0.183,-1.037
1.73293E+12,2024-11-29T19.43.37.443,0.91,-0.793,0.122,-1.463
1.73293E+12,2024-11-29T19.43.37.453,0.92,-0.976,0.061,-1.89
1.73293E+12,2024-11-29T19.43.37.463,0.93,-0.976,0.061,-2.195
1.73293E+12,2024-11-29T19.43.37.473,0.94,-0.915,0.061,-2.561
1.73293E+12,2024-11-29T19.43.37.483,0.95,-0.488,-0.122,-2.683
1.73293E+12,2024-11-29T19.43.37.493,0.96,-0.244,-0.427,-2.683
1.73293E+12,2024-11-29T19.43.37.503,0.97,0.183,-0.61,-2.683
1.73293E+12,2024-11-29T19.43.37.513,0.98,0.488,-0.915,-2.561
1.73293E+12,2024-11-29T19.43.37.523,0.99,0.671,-1.037,-2.622
1.73293E+12,2024-11-29T19.43.37.533,1,0.61,-0.427,-2.866
1.73293E+12,2024-11-29T19.43.37.543,1.01,0.427,-0.244,-2.683
1.73293E+12,2024-11-29T19.43.37.553,1.02,0.183,-0.854,-2.073
1.73293E+12,2024-11-29T19.43.37.563,1.03,0.122,-1.463,-1.707
1.73293E+12,2024-11-29T19.43.37.573,1.04,0.183,-1.341,-1.463
1.73293E+12,2024-11-29T19.43.37.583,1.05,0.183,-1.341,-0.976
1.73293E+12,2024-11-29T19.43.37.593,1.06,0.244,-1.585,-0.488
1.73293E+12,2024-11-29T19.43.37.603,1.07,0.183,-1.28,-0.366
1.73293E+12,2024-11-29T19.43.37.613,1.08,0.244,-0.854,-0.366
1.73293E+12,2024-11-29T19.43.37.623,1.09,0.366,-0.488,-0.305
1.73293E+12,2024-11-29T19.43.37.633,1.1,0.183,-0.183,-0.244
1.73293E+12,2024-11-29T19.43.37.643,1.11,0.061,0.061,-0.122
1.73293E+12,2024-11-29T19.43.37.653,1.12,0,0.122,0
1.73293E+12,2024-11-29T19.43.37.663,1.13,-0.061,0.244,0.122
1.73293E+12,2024-11-29T19.43.37.673,1.14,-0.061,0.305,0
1.73293E+12,2024-11-29T19.43.37.683,1.15,-0.061,0.183,-0.122
1.73293E+12,2024-11-29T19.43.37.693,1.16,-0.061,0.122,-0.305
1.73293E+12,2024-11-29T19.43.37.703,1.17,-0.061,0,-0.61
1.73293E+12,2024-11-29T19.43.37.713,1.18,0,-0.061,-0.915
1.73293E+12,2024-11-29T19.43.37.723,1.19,0.183,-0.061,-1.22
1.73293E+12,2024-11-29T19.43.37.733,1.2,0.183,0,-1.341
1.73293E+12,2024-11-29T19.43.37.743,1.21,0.244,-0.061,-1.524
1.73293E+12,2024-11-29T19.43.37.753,1.22,0.183,0.122,-1.707
1.73293E+12,2024-11-29T19.43.37.763,1.23,0.122,0.366,-2.134
1.73293E+12,2024-11-29T19.43.37.773,1.24,0.122,0.61,-2.5
1.73293E+12,2024-11-29T19.43.37.783,1.25,-0.122,0.732,-2.622
1.73293E+12,2024-11-29T19.43.37.793,1.26,-0.61,0.61,-2.256
1.73293E+12,2024-11-29T19.43.37.803,1.27,-0.732,0.549,-2.012
