epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1729710896900,2024-10-23T15.14.56.900,0.000,-0.890,0.447,0.045
1729710896910,2024-10-23T15.14.56.910,0.010,-0.896,0.450,0.049
1729710896920,2024-10-23T15.14.56.920,0.020,-0.896,0.448,0.049
1729710896930,2024-10-23T15.14.56.930,0.030,-0.897,0.449,0.048
1729710896940,2024-10-23T15.14.56.940,0.040,-0.893,0.443,0.048
1729710896950,2024-10-23T15.14.56.950,0.050,-0.890,0.440,0.047
1729710896960,2024-10-23T15.14.56.960,0.060,-0.891,0.438,0.044
1729710896970,2024-10-23T15.14.56.970,0.070,-0.893,0.433,0.048
1729710896980,2024-10-23T15.14.56.980,0.080,-0.890,0.432,0.049
1729710896990,2024-10-23T15.14.56.990,0.090,-0.889,0.431,0.047
1729710897000,2024-10-23T15.14.57.000,0.100,-0.892,0.429,0.052
1729710897010,2024-10-23T15.14.57.010,0.110,-0.896,0.432,0.051
1729710897020,2024-10-23T15.14.57.020,0.120,-0.895,0.436,0.051
1729710897030,2024-10-23T15.14.57.030,0.130,-0.892,0.439,0.052
1729710897040,2024-10-23T15.14.57.040,0.140,-0.886,0.442,0.050
1729710897050,2024-10-23T15.14.57.050,0.150,-0.890,0.443,0.050
1729710897060,2024-10-23T15.14.57.060,0.160,-0.895,0.447,0.049
1729710897070,2024-10-23T15.14.57.070,0.170,-0.896,0.448,0.047
1729710897080,2024-10-23T15.14.57.080,0.180,-0.889,0.448,0.049
1729710897090,2024-10-23T15.14.57.090,0.190,-0.882,0.449,0.044
1729710897100,2024-10-23T15.14.57.100,0.200,-0.889,0.449,0.044
1729710897110,2024-10-23T15.14.57.110,0.210,-0.899,0.452,0.049
1729710897120,2024-10-23T15.14.57.120,0.220,-0.899,0.447,0.050
1729710897130,2024-10-23T15.14.57.130,0.230,-0.900,0.443,0.048
1729710897140,2024-10-23T15.14.57.140,0.240,-0.902,0.440,0.051
1729710897150,2024-10-23T15.14.57.150,0.250,-0.899,0.437,0.054
1729710897160,2024-10-23T15.14.57.160,0.260,-0.902,0.434,0.053
1729710897170,2024-10-23T15.14.57.170,0.270,-0.903,0.435,0.054
1729710897180,2024-10-23T15.14.57.180,0.280,-0.901,0.433,0.051
1729710897190,2024-10-23T15.14.57.190,0.290,-0.898,0.436,0.052
1729710897200,2024-10-23T15.14.57.200,0.300,-0.900,0.435,0.053
1729710897210,2024-10-23T15.14.57.210,0.310,-0.892,0.441,0.054
1729710897220,2024-10-23T15.14.57.220,0.320,-0.885,0.441,0.052
1729710897230,2024-10-23T15.14.57.230,0.330,-0.888,0.440,0.054
1729710897240,2024-10-23T15.14.57.240,0.340,-0.890,0.443,0.053
1729710897250,2024-10-23T15.14.57.250,0.350,-0.886,0.444,0.053
1729710897260,2024-10-23T15.14.57.260,0.360,-0.891,0.444,0.051
1729710897270,2024-10-23T15.14.57.270,0.370,-0.892,0.443,0.051
1729710897280,2024-10-23T15.14.57.280,0.380,-0.890,0.442,0.053
1729710897290,2024-10-23T15.14.57.290,0.390,-0.897,0.441,0.051
1729710897300,2024-10-23T15.14.57.300,0.400,-0.896,0.442,0.055
1729710897310,2024-10-23T15.14.57.310,0.410,-0.898,0.439,0.052
1729710897320,2024-10-23T15.14.57.320,0.420,-0.899,0.437,0.054
1729710897330,2024-10-23T15.14.57.330,0.430,-0.896,0.434,0.056
1729710897340,2024-10-23T15.14.57.340,0.440,-0.896,0.433,0.057
1729710897350,2024-10-23T15.14.57.350,0.450,-0.897,0.432,0.055
1729710897360,2024-10-23T15.14.57.360,0.460,-0.900,0.431,0.054
1729710897370,2024-10-23T15.14.57.370,0.470,-0.898,0.431,0.054
1729710897380,2024-10-23T15.14.57.380,0.480,-0.899,0.429,0.057
1729710897390,2024-10-23T15.14.57.390,0.490,-0.896,0.431,0.052
1729710897400,2024-10-23T15.14.57.400,0.500,-0.896,0.435,0.052
1729710897410,2024-10-23T15.14.57.410,0.510,-0.894,0.438,0.050
1729710897420,2024-10-23T15.14.57.420,0.520,-0.892,0.442,0.049
1729710897430,2024-10-23T15.14.57.430,0.530,-0.896,0.443,0.048
1729710897440,2024-10-23T15.14.57.440,0.540,-0.899,0.449,0.053
1729710897450,2024-10-23T15.14.57.450,0.550,-0.890,0.445,0.049
1729710897460,2024-10-23T15.14.57.460,0.560,-0.889,0.441,0.045
1729710897470,2024-10-23T15.14.57.470,0.570,-0.900,0.440,0.047
1729710897480,2024-10-23T15.14.57.480,0.580,-0.899,0.441,0.044
1729710897490,2024-10-23T15.14.57.490,0.590,-0.891,0.436,0.049
