epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1732908793589,2024-11-29T14.33.13.589,0.000,-0.959,0.259,0.154
1732908793599,2024-11-29T14.33.13.599,0.010,-0.966,0.265,0.150
1732908793609,2024-11-29T14.33.13.609,0.020,-0.962,0.263,0.147
1732908793619,2024-11-29T14.33.13.619,0.030,-0.960,0.262,0.151
1732908793629,2024-11-29T14.33.13.629,0.040,-0.960,0.261,0.154
1732908793639,2024-11-29T14.33.13.639,0.050,-0.962,0.258,0.152
1732908793649,2024-11-29T14.33.13.649,0.060,-0.970,0.257,0.152
1732908793659,2024-11-29T14.33.13.659,0.070,-0.974,0.258,0.151
1732908793669,2024-11-29T14.33.13.669,0.080,-0.965,0.256,0.150
1732908793679,2024-11-29T14.33.13.679,0.090,-0.954,0.256,0.149
1732908793689,2024-11-29T14.33.13.689,0.100,-0.952,0.259,0.148
1732908793699,2024-11-29T14.33.13.699,0.110,-0.956,0.263,0.147
1732908793709,2024-11-29T14.33.13.709,0.120,-0.962,0.264,0.151
1732908793719,2024-11-29T14.33.13.719,0.130,-0.966,0.263,0.154
1732908793729,2024-11-29T14.33.13.729,0.140,-0.970,0.262,0.152
1732908793739,2024-11-29T14.33.13.739,0.150,-0.967,0.261,0.155
1732908793749,2024-11-29T14.33.13.749,0.160,-0.963,0.258,0.151
1732908793759,2024-11-29T14.33.13.759,0.170,-0.958,0.255,0.150
1732908793769,2024-11-29T14.33.13.769,0.180,-0.959,0.254,0.152
1732908793779,2024-11-29T14.33.13.779,0.190,-0.958,0.252,0.149
1732908793789,2024-11-29T14.33.13.789,0.200,-0.960,0.252,0.152
1732908793799,2024-11-29T14.33.13.799,0.210,-0.962,0.250,0.153
1732908793809,2024-11-29T14.33.13.809,0.220,-0.960,0.256,0.156
1732908793819,2024-11-29T14.33.13.819,0.230,-0.961,0.261,0.155
1732908793829,2024-11-29T14.33.13.829,0.240,-0.959,0.260,0.153
1732908793839,2024-11-29T14.33.13.839,0.250,-0.957,0.262,0.154
1732908793849,2024-11-29T14.33.13.849,0.260,-0.955,0.262,0.154
1732908793859,2024-11-29T14.33.13.859,0.270,-0.956,0.265,0.154
1732908793869,2024-11-29T14.33.13.869,0.280,-0.961,0.264,0.158
1732908793879,2024-11-29T14.33.13.879,0.290,-0.963,0.264,0.160
1732908793889,2024-11-29T14.33.13.889,0.300,-0.963,0.263,0.160
1732908793899,2024-11-29T14.33.13.899,0.310,-0.964,0.259,0.159
1732908793909,2024-11-29T14.33.13.909,0.320,-0.960,0.258,0.160
1732908793919,2024-11-29T14.33.13.919,0.330,-0.962,0.254,0.161
1732908793929,2024-11-29T14.33.13.929,0.340,-0.963,0.253,0.160
1732908793939,2024-11-29T14.33.13.939,0.350,-0.966,0.258,0.157
1732908793949,2024-11-29T14.33.13.949,0.360,-0.966,0.259,0.160
1732908793959,2024-11-29T14.33.13.959,0.370,-0.963,0.259,0.160
1732908793969,2024-11-29T14.33.13.969,0.380,-0.962,0.261,0.159
1732908793979,2024-11-29T14.33.13.979,0.390,-0.962,0.265,0.158
1732908793989,2024-11-29T14.33.13.989,0.400,-0.962,0.265,0.156
1732908793999,2024-11-29T14.33.13.999,0.410,-0.959,0.265,0.155
1732908794009,2024-11-29T14.33.14.009,0.420,-0.959,0.266,0.152
1732908794019,2024-11-29T14.33.14.019,0.430,-0.960,0.267,0.152
1732908794029,2024-11-29T14.33.14.029,0.440,-0.960,0.267,0.153
1732908794039,2024-11-29T14.33.14.039,0.450,-0.961,0.268,0.155
1732908794049,2024-11-29T14.33.14.049,0.460,-0.958,0.268,0.154
1732908794059,2024-11-29T14.33.14.059,0.470,-0.961,0.264,0.153
1732908794069,2024-11-29T14.33.14.069,0.480,-0.961,0.264,0.152
1732908794079,2024-11-29T14.33.14.079,0.490,-0.959,0.264,0.151
1732908794089,2024-11-29T14.33.14.089,0.500,-0.960,0.264,0.154
1732908794099,2024-11-29T14.33.14.099,0.510,-0.961,0.264,0.151
1732908794109,2024-11-29T14.33.14.109,0.520,-0.962,0.265,0.151
1732908794119,2024-11-29T14.33.14.119,0.530,-0.963,0.264,0.154
1732908794129,2024-11-29T14.33.14.129,0.540,-0.964,0.262,0.150
1732908794139,2024-11-29T14.33.14.139,0.550,-0.961,0.260,0.151
1732908794149,2024-11-29T14.33.14.149,0.560,-0.960,0.256,0.152
1732908794159,2024-11-29T14.33.14.159,0.570,-0.958,0.255,0.152
1732908794169,2024-11-29T14.33.14.169,0.580,-0.956,0.251,0.154
1732908794179,2024-11-29T14.33.14.179,0.590,-0.958,0.250,0.153
1732908794189,2024-11-29T14.33.14.189,0.600,-0.960,0.251,0.154
