epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1729710896900,2024-10-23T15.14.56.900,0.000,0.732,-0.183,0.610
1729710896910,2024-10-23T15.14.56.910,0.010,0.915,-0.061,0.793
1729710896920,2024-10-23T15.14.56.920,0.020,0.976,0.183,1.098
1729710896930,2024-10-23T15.14.56.930,0.030,1.463,0.366,1.098
1729710896940,2024-10-23T15.14.56.940,0.040,1.585,0.244,0.915
1729710896950,2024-10-23T15.14.56.950,0.050,1.524,0.000,0.732
1729710896960,2024-10-23T15.14.56.960,0.060,1.280,-0.244,0.305
1729710896970,2024-10-23T15.14.56.970,0.070,0.976,-0.427,-0.061
1729710896980,2024-10-23T15.14.56.980,0.080,0.427,-0.610,-0.183
1729710896990,2024-10-23T15.14.56.990,0.090,-0.183,-0.671,-0.183
1729710897000,2024-10-23T15.14.57.000,0.100,-0.793,-0.671,-0.122
1729710897010,2024-10-23T15.14.57.010,0.110,-1.280,-0.610,0.122
1729710897020,2024-10-23T15.14.57.020,0.120,-1.524,-0.488,0.366
1729710897030,2024-10-23T15.14.57.030,0.130,-1.646,-0.488,0.793
1729710897040,2024-10-23T15.14.57.040,0.140,-1.585,-0.671,1.037
1729710897050,2024-10-23T15.14.57.050,0.150,-1.159,-0.549,1.098
1729710897060,2024-10-23T15.14.57.060,0.160,-0.549,-0.244,1.220
1729710897070,2024-10-23T15.14.57.070,0.170,0.061,0.122,1.098
1729710897080,2024-10-23T15.14.57.080,0.180,0.671,-0.061,0.793
1729710897090,2024-10-23T15.14.57.090,0.190,1.037,-1.341,0.793
1729710897100,2024-10-23T15.14.57.100,0.200,1.524,-1.768,0.732
1729710897110,2024-10-23T15.14.57.110,0.210,2.073,-1.280,0.549
1729710897120,2024-10-23T15.14.57.120,0.220,2.073,-1.098,0.549
1729710897130,2024-10-23T15.14.57.130,0.230,1.951,-1.037,0.305
1729710897140,2024-10-23T15.14.57.140,0.240,1.768,-0.854,0.061
1729710897150,2024-10-23T15.14.57.150,0.250,1.037,-0.915,-0.122
1729710897160,2024-10-23T15.14.57.160,0.260,0.305,-0.915,-0.610
1729710897170,2024-10-23T15.14.57.170,0.270,-0.183,-0.671,-1.341
1729710897180,2024-10-23T15.14.57.180,0.280,-0.732,-0.488,-1.829
1729710897190,2024-10-23T15.14.57.190,0.290,-1.159,-0.488,-2.317
1729710897200,2024-10-23T15.14.57.200,0.300,-1.220,-0.122,-2.683
1729710897210,2024-10-23T15.14.57.210,0.310,-1.159,-0.061,-2.805
1729710897220,2024-10-23T15.14.57.220,0.320,-0.976,-0.549,-2.561
1729710897230,2024-10-23T15.14.57.230,0.330,-0.549,-0.488,-2.378
1729710897240,2024-10-23T15.14.57.240,0.340,0.000,-0.305,-2.134
1729710897250,2024-10-23T15.14.57.250,0.350,0.427,-0.610,-1.768
1729710897260,2024-10-23T15.14.57.260,0.360,0.915,-0.610,-1.524
1729710897270,2024-10-23T15.14.57.270,0.370,1.524,-0.610,-1.280
1729710897280,2024-10-23T15.14.57.280,0.380,1.951,-0.976,-0.976
1729710897290,2024-10-23T15.14.57.290,0.390,2.195,-0.854,-0.732
1729710897300,2024-10-23T15.14.57.300,0.400,2.378,-0.732,-0.610
1729710897310,2024-10-23T15.14.57.310,0.410,2.317,-0.732,-0.488
1729710897320,2024-10-23T15.14.57.320,0.420,2.073,-0.488,-0.427
1729710897330,2024-10-23T15.14.57.330,0.430,1.646,-0.305,-0.244
1729710897340,2024-10-23T15.14.57.340,0.440,1.098,-0.244,-0.122
1729710897350,2024-10-23T15.14.57.350,0.450,0.549,0.061,-0.061
1729710897360,2024-10-23T15.14.57.360,0.460,-0.122,0.366,0.000
1729710897370,2024-10-23T15.14.57.370,0.470,-0.732,0.732,-0.061
