epoc (ms),timestamp (-0500),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1732908793591,2024-11-29T14.33.13.591,0.000,1.037,-0.061,1.341
1732908793601,2024-11-29T14.33.13.601,0.010,0.976,-0.427,1.463
1732908793611,2024-11-29T14.33.13.611,0.020,1.098,-0.366,1.159
1732908793621,2024-11-29T14.33.13.621,0.030,0.915,-0.549,1.037
1732908793631,2024-11-29T14.33.13.631,0.040,0.732,-0.671,0.976
1732908793641,2024-11-29T14.33.13.641,0.050,0.366,-0.549,0.793
1732908793651,2024-11-29T14.33.13.651,0.060,0.061,-0.061,0.610
1732908793661,2024-11-29T14.33.13.661,0.070,-0.244,0.610,0.244
1732908793671,2024-11-29T14.33.13.671,0.080,-0.671,0.793,-0.061
1732908793681,2024-11-29T14.33.13.681,0.090,-0.854,0.122,-0.244
1732908793691,2024-11-29T14.33.13.691,0.100,-1.037,-0.915,-0.366
1732908793701,2024-11-29T14.33.13.701,0.110,-0.854,-1.341,-0.488
1732908793711,2024-11-29T14.33.13.711,0.120,-0.305,-1.159,-0.610
1732908793721,2024-11-29T14.33.13.721,0.130,0.061,-0.793,-0.427
1732908793731,2024-11-29T14.33.13.731,0.140,0.244,-0.366,-0.488
1732908793741,2024-11-29T14.33.13.741,0.150,0.610,0.000,-0.427
1732908793751,2024-11-29T14.33.13.751,0.160,0.671,-0.122,-0.244
1732908793761,2024-11-29T14.33.13.761,0.170,0.488,-0.244,-0.122
1732908793771,2024-11-29T14.33.13.771,0.180,0.122,-0.305,0.122
1732908793781,2024-11-29T14.33.13.781,0.190,-0.244,-0.549,0.244
1732908793791,2024-11-29T14.33.13.791,0.200,-0.610,-0.488,0.366
1732908793801,2024-11-29T14.33.13.801,0.210,-0.854,-0.549,0.488
1732908793811,2024-11-29T14.33.13.811,0.220,-0.976,-0.488,0.549
1732908793821,2024-11-29T14.33.13.821,0.230,-0.976,-0.549,0.549
1732908793831,2024-11-29T14.33.13.831,0.240,-0.793,-0.671,0.488
1732908793841,2024-11-29T14.33.13.841,0.250,-0.366,-0.915,0.427
1732908793851,2024-11-29T14.33.13.851,0.260,0.061,-1.280,0.427
1732908793861,2024-11-29T14.33.13.861,0.270,0.488,-1.524,0.488
1732908793871,2024-11-29T14.33.13.871,0.280,0.915,-1.524,0.549
1732908793881,2024-11-29T14.33.13.881,0.290,1.341,-1.402,0.671
1732908793891,2024-11-29T14.33.13.891,0.300,1.463,-1.220,0.793
1732908793901,2024-11-29T14.33.13.901,0.310,1.341,-0.854,0.854
1732908793911,2024-11-29T14.33.13.911,0.320,1.159,-0.610,0.915
1732908793921,2024-11-29T14.33.13.921,0.330,0.915,-0.488,0.915
1732908793931,2024-11-29T14.33.13.931,0.340,0.488,-0.366,0.915
1732908793941,2024-11-29T14.33.13.941,0.350,0.122,0.000,0.915
1732908793951,2024-11-29T14.33.13.951,0.360,-0.244,0.427,0.854
1732908793961,2024-11-29T14.33.13.961,0.370,-0.427,0.610,0.732
1732908793971,2024-11-29T14.33.13.971,0.380,-0.549,0.671,0.549
1732908793981,2024-11-29T14.33.13.981,0.390,-0.610,0.610,0.366
1732908793991,2024-11-29T14.33.13.991,0.400,-0.427,0.610,0.244
1732908794001,2024-11-29T14.33.14.001,0.410,-0.305,0.610,0.122
1732908794011,2024-11-29T14.33.14.011,0.420,-0.061,0.671,0.061
1732908794021,2024-11-29T14.33.14.021,0.430,0.061,0.549,-0.061
1732908794031,2024-11-29T14.33.14.031,0.440,0.244,0.427,-0.122
1732908794041,2024-11-29T14.33.14.041,0.450,0.488,0.427,-0.183
1732908794051,2024-11-29T14.33.14.051,0.460,0.549,0.305,-0.305
1732908794061,2024-11-29T14.33.14.061,0.470,0.549,0.244,-0.427
1732908794071,2024-11-29T14.33.14.071,0.480,0.610,0.366,-0.549
1732908794081,2024-11-29T14.33.14.081,0.490,0.610,0.183,-0.854
1732908794091,2024-11-29T14.33.14.091,0.500,0.610,-0.122,-1.280
1732908794101,2024-11-29T14.33.14.101,0.510,0.732,-0.122,-1.646
1732908794111,2024-11-29T14.33.14.111,0.520,0.854,-0.244,-1.829
1732908794121,2024-11-29T14.33.14.121,0.530,0.976,-0.122,-1.951
1732908794131,2024-11-29T14.33.14.131,0.540,0.976,0.122,-1.951
1732908794141,2024-11-29T14.33.14.141,0.550,1.037,0.244,-1.829
1732908794151,2024-11-29T14.33.14.151,0.560,0.793,0.305,-1.768
1732908794161,2024-11-29T14.33.14.161,0.570,0.549,0.244,-1.646
1732908794171,2024-11-29T14.33.14.171,0.580,0.244,0.061,-1.402
1732908794181,2024-11-29T14.33.14.181,0.590,-0.061,-0.061,-1.098
1732908794191,2024-11-29T14.33.14.191,0.600,-0.305,0.061,-0.732
1732908794201,2024-11-29T14.33.14.201,0.610,-0.488,0.366,-0.488
1732908794211,2024-11-29T14.33.14.211,0.620,-0.488,0.671,-0.244
1732908794221,2024-11-29T14.33.14.221,0.630,-0.549,0.732,-0.122
1732908794231,2024-11-29T14.33.14.231,0.640,-0.488,0.366,0.061
1732908794241,2024-11-29T14.33.14.241,0.650,-0.366,0.122,0.122
1732908794251,2024-11-29T14.33.14.251,0.660,-0.183,0.244,0.244
1732908794261,2024-11-29T14.33.14.261,0.670,-0.183,0.000,0.427
1732908794271,2024-11-29T14.33.14.271,0.680,-0.122,-0.427,0.549
1732908794281,2024-11-29T14.33.14.281,0.690,-0.061,-0.610,0.671
1732908794291,2024-11-29T14.33.14.291,0.700,0.061,-0.732,0.732
1732908794301,2024-11-29T14.33.14.301,0.710,0.305,-0.671,0.793
1732908794311,2024-11-29T14.33.14.311,0.720,0.488,-0.366,0.854
1732908794321,2024-11-29T14.33.14.321,0.730,0.488,-0.061,0.854
1732908794331,2024-11-29T14.33.14.331,0.740,0.244,0.183,0.976
1732908794341,2024-11-29T14.33.14.341,0.750,0.000,0.305,1.037
1732908794351,2024-11-29T14.33.14.351,0.760,-0.183,0.244,1.037
1732908794361,2024-11-29T14.33.14.361,0.770,-0.671,0.122,0.976
1732908794371,2024-11-29T14.33.14.371,0.780,-0.854,-0.122,0.732
1732908794381,2024-11-29T14.33.14.381,0.790,-0.793,-0.122,0.366
1732908794391,2024-11-29T14.33.14.391,0.800,-0.854,-0.061,0.244
1732908794401,2024-11-29T14.33.14.401,0.810,-0.732,-0.061,-0.061
1732908794411,2024-11-29T14.33.14.411,0.820,-0.488,-0.305,-0.366
1732908794421,2024-11-29T14.33.14.421,0.830,-0.122,-0.488,-0.732
