epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1.72974E+12,2024-10-23T22.30.10.424,0,-0.911,0.38,0.072
1.72974E+12,2024-10-23T22.30.10.434,0.01,-0.919,0.382,0.073
1.72974E+12,2024-10-23T22.30.10.444,0.02,-0.918,0.385,0.073
1.72974E+12,2024-10-23T22.30.10.454,0.03,-0.922,0.383,0.075
1.72974E+12,2024-10-23T22.30.10.464,0.04,-0.921,0.382,0.07
1.72974E+12,2024-10-23T22.30.10.474,0.05,-0.921,0.38,0.07
1.72974E+12,2024-10-23T22.30.10.484,0.06,-0.917,0.381,0.069
1.72974E+12,2024-10-23T22.30.10.494,0.07,-0.92,0.381,0.069
1.72974E+12,2024-10-23T22.30.10.504,0.08,-0.917,0.38,0.071
1.72974E+12,2024-10-23T22.30.10.514,0.09,-0.915,0.38,0.07
1.72974E+12,2024-10-23T22.30.10.524,0.1,-0.917,0.379,0.068
1.72974E+12,2024-10-23T22.30.10.534,0.11,-0.918,0.379,0.065
1.72974E+12,2024-10-23T22.30.10.544,0.12,-0.914,0.379,0.068
1.72974E+12,2024-10-23T22.30.10.554,0.13,-0.909,0.377,0.073
1.72974E+12,2024-10-23T22.30.10.564,0.14,-0.917,0.375,0.067
1.72974E+12,2024-10-23T22.30.10.574,0.15,-0.928,0.373,0.069
1.72974E+12,2024-10-23T22.30.10.584,0.16,-0.923,0.372,0.071
1.72974E+12,2024-10-23T22.30.10.594,0.17,-0.914,0.372,0.07
1.72974E+12,2024-10-23T22.30.10.604,0.18,-0.913,0.376,0.074
1.72974E+12,2024-10-23T22.30.10.614,0.19,-0.915,0.381,0.072
1.72974E+12,2024-10-23T22.30.10.624,0.2,-0.922,0.386,0.072
1.72974E+12,2024-10-23T22.30.10.634,0.21,-0.93,0.387,0.075
1.72974E+12,2024-10-23T22.30.10.644,0.22,-0.93,0.387,0.074
1.72974E+12,2024-10-23T22.30.10.654,0.23,-0.927,0.384,0.074
1.72974E+12,2024-10-23T22.30.10.664,0.24,-0.929,0.381,0.073
1.72974E+12,2024-10-23T22.30.10.674,0.25,-0.932,0.38,0.073
1.72974E+12,2024-10-23T22.30.10.684,0.26,-0.926,0.375,0.074
1.72974E+12,2024-10-23T22.30.10.694,0.27,-0.925,0.372,0.073
1.72974E+12,2024-10-23T22.30.10.704,0.28,-0.921,0.372,0.072
1.72974E+12,2024-10-23T22.30.10.714,0.29,-0.918,0.373,0.072
1.72974E+12,2024-10-23T22.30.10.724,0.3,-0.921,0.377,0.068
1.72974E+12,2024-10-23T22.30.10.734,0.31,-0.918,0.38,0.067
1.72974E+12,2024-10-23T22.30.10.744,0.32,-0.918,0.383,0.066
1.72974E+12,2024-10-23T22.30.10.754,0.33,-0.916,0.385,0.063
1.72974E+12,2024-10-23T22.30.10.764,0.34,-0.914,0.384,0.064
1.72974E+12,2024-10-23T22.30.10.774,0.35,-0.92,0.389,0.062
1.72974E+12,2024-10-23T22.30.10.784,0.36,-0.924,0.39,0.06
1.72974E+12,2024-10-23T22.30.10.794,0.37,-0.923,0.385,0.062
1.72974E+12,2024-10-23T22.30.10.804,0.38,-0.917,0.384,0.064
1.72974E+12,2024-10-23T22.30.10.814,0.39,-0.919,0.383,0.062
1.72974E+12,2024-10-23T22.30.10.824,0.4,-0.927,0.383,0.065
1.72974E+12,2024-10-23T22.30.10.834,0.41,-0.926,0.379,0.064
1.72974E+12,2024-10-23T22.30.10.844,0.42,-0.931,0.376,0.068
1.72974E+12,2024-10-23T22.30.10.854,0.43,-0.931,0.376,0.072
1.72974E+12,2024-10-23T22.30.10.864,0.44,-0.927,0.372,0.071
1.72974E+12,2024-10-23T22.30.10.874,0.45,-0.927,0.369,0.071
1.72974E+12,2024-10-23T22.30.10.884,0.46,-0.927,0.366,0.072
1.72974E+12,2024-10-23T22.30.10.894,0.47,-0.925,0.365,0.073
1.72974E+12,2024-10-23T22.30.10.904,0.48,-0.927,0.363,0.071
1.72974E+12,2024-10-23T22.30.10.914,0.49,-0.928,0.362,0.067
1.72974E+12,2024-10-23T22.30.10.924,0.5,-0.927,0.36,0.071
1.72974E+12,2024-10-23T22.30.10.934,0.51,-0.927,0.36,0.07
1.72974E+12,2024-10-23T22.30.10.944,0.52,-0.926,0.357,0.069
1.72974E+12,2024-10-23T22.30.10.954,0.53,-0.928,0.36,0.071
1.72974E+12,2024-10-23T22.30.10.964,0.54,-0.928,0.359,0.074
1.72974E+12,2024-10-23T22.30.10.974,0.55,-0.929,0.359,0.072
1.72974E+12,2024-10-23T22.30.10.984,0.56,-0.931,0.359,0.071
1.72974E+12,2024-10-23T22.30.10.994,0.57,-0.931,0.359,0.072
1.72974E+12,2024-10-23T22.30.11.004,0.58,-0.932,0.355,0.07
1.72974E+12,2024-10-23T22.30.11.014,0.59,-0.933,0.352,0.068
1.72974E+12,2024-10-23T22.30.11.024,0.6,-0.932,0.353,0.068
1.72974E+12,2024-10-23T22.30.11.034,0.61,-0.934,0.354,0.066
1.72974E+12,2024-10-23T22.30.11.044,0.62,-0.932,0.354,0.069
1.72974E+12,2024-10-23T22.30.11.054,0.63,-0.933,0.349,0.065
1.72974E+12,2024-10-23T22.30.11.064,0.64,-0.931,0.35,0.065
1.72974E+12,2024-10-23T22.30.11.074,0.65,-0.93,0.349,0.067
1.72974E+12,2024-10-23T22.30.11.084,0.66,-0.93,0.35,0.068
1.72974E+12,2024-10-23T22.30.11.094,0.67,-0.93,0.349,0.068
1.72974E+12,2024-10-23T22.30.11.104,0.68,-0.928,0.352,0.067
