epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1.72974E+12,2024-10-23T22.30.10.426,0,0.061,1.28,-1.28
1.72974E+12,2024-10-23T22.30.10.436,0.01,-0.061,0.915,-0.915
1.72974E+12,2024-10-23T22.30.10.446,0.02,0.244,1.098,-0.976
1.72974E+12,2024-10-23T22.30.10.456,0.03,0.488,0.976,-0.915
1.72974E+12,2024-10-23T22.30.10.466,0.04,0.61,0.915,-1.098
1.72974E+12,2024-10-23T22.30.10.476,0.05,0.549,0.732,-1.22
1.72974E+12,2024-10-23T22.30.10.486,0.06,0.732,0.549,-1.402
1.72974E+12,2024-10-23T22.30.10.496,0.07,0.976,0.732,-1.524
1.72974E+12,2024-10-23T22.30.10.506,0.08,1.037,0.488,-1.463
1.72974E+12,2024-10-23T22.30.10.516,0.09,1.22,0.366,-1.463
1.72974E+12,2024-10-23T22.30.10.526,0.1,1.402,0.427,-1.524
1.72974E+12,2024-10-23T22.30.10.536,0.11,1.341,0.305,-1.402
1.72974E+12,2024-10-23T22.30.10.546,0.12,1.341,-0.122,-1.159
1.72974E+12,2024-10-23T22.30.10.556,0.13,1.22,-0.854,-0.915
1.72974E+12,2024-10-23T22.30.10.566,0.14,1.159,-0.793,-0.976
1.72974E+12,2024-10-23T22.30.10.576,0.15,1.22,0.061,-1.341
1.72974E+12,2024-10-23T22.30.10.586,0.16,1.28,0.061,-1.463
1.72974E+12,2024-10-23T22.30.10.596,0.17,1.098,-0.793,-1.463
1.72974E+12,2024-10-23T22.30.10.606,0.18,1.28,-1.402,-1.463
1.72974E+12,2024-10-23T22.30.10.616,0.19,1.707,-2.256,-1.159
1.72974E+12,2024-10-23T22.30.10.626,0.2,2.073,-2.317,-0.671
1.72974E+12,2024-10-23T22.30.10.636,0.21,2.5,-1.646,-0.122
1.72974E+12,2024-10-23T22.30.10.646,0.22,2.561,-0.976,0.549
1.72974E+12,2024-10-23T22.30.10.656,0.23,2.439,-0.305,1.22
1.72974E+12,2024-10-23T22.30.10.666,0.24,2.134,0.488,1.768
1.72974E+12,2024-10-23T22.30.10.676,0.25,1.524,1.159,1.768
1.72974E+12,2024-10-23T22.30.10.686,0.26,0.793,1.585,1.524
1.72974E+12,2024-10-23T22.30.10.696,0.27,-0.183,1.951,0.854
1.72974E+12,2024-10-23T22.30.10.706,0.28,-0.976,2.134,0
1.72974E+12,2024-10-23T22.30.10.716,0.29,-1.646,2.134,-0.976
1.72974E+12,2024-10-23T22.30.10.726,0.3,-2.317,2.256,-1.707
1.72974E+12,2024-10-23T22.30.10.736,0.31,-2.561,2.439,-2.256
1.72974E+12,2024-10-23T22.30.10.746,0.32,-2.561,2.256,-2.622
1.72974E+12,2024-10-23T22.30.10.756,0.33,-2.5,1.951,-2.927
1.72974E+12,2024-10-23T22.30.10.766,0.34,-2.012,1.524,-3.232
1.72974E+12,2024-10-23T22.30.10.776,0.35,-1.463,1.159,-3.354
1.72974E+12,2024-10-23T22.30.10.786,0.36,-0.854,1.098,-3.72
1.72974E+12,2024-10-23T22.30.10.796,0.37,-0.427,0.671,-4.024
1.72974E+12,2024-10-23T22.30.10.806,0.38,-0.183,-0.305,-4.207
1.72974E+12,2024-10-23T22.30.10.816,0.39,0.122,-1.098,-4.451
1.72974E+12,2024-10-23T22.30.10.826,0.4,0.488,-1.402,-4.695
1.72974E+12,2024-10-23T22.30.10.836,0.41,0.732,-1.463,-4.817
1.72974E+12,2024-10-23T22.30.10.846,0.42,0.732,-1.22,-4.939
1.72974E+12,2024-10-23T22.30.10.856,0.43,0.793,-0.976,-5.061
1.72974E+12,2024-10-23T22.30.10.866,0.44,0.671,-1.098,-5
1.72974E+12,2024-10-23T22.30.10.876,0.45,0.549,-1.037,-5
1.72974E+12,2024-10-23T22.30.10.886,0.46,0.427,-0.793,-5.122
1.72974E+12,2024-10-23T22.30.10.896,0.47,0.366,-0.671,-5.183
1.72974E+12,2024-10-23T22.30.10.906,0.48,0.305,-0.61,-5.183
1.72974E+12,2024-10-23T22.30.10.916,0.49,0.366,-0.549,-5.244
1.72974E+12,2024-10-23T22.30.10.926,0.5,0.244,-0.366,-5.305
1.72974E+12,2024-10-23T22.30.10.936,0.51,0.366,-0.244,-5.244
1.72974E+12,2024-10-23T22.30.10.946,0.52,0.305,-0.244,-5.183
1.72974E+12,2024-10-23T22.30.10.956,0.53,0.549,-0.244,-5.122
1.72974E+12,2024-10-23T22.30.10.966,0.54,0.671,-0.244,-5.061
1.72974E+12,2024-10-23T22.30.10.976,0.55,0.793,-0.305,-4.756
1.72974E+12,2024-10-23T22.30.10.986,0.56,1.098,-0.244,-4.634
1.72974E+12,2024-10-23T22.30.10.996,0.57,1.22,-0.122,-4.451
1.72974E+12,2024-10-23T22.30.11.006,0.58,1.402,-0.183,-4.268
1.72974E+12,2024-10-23T22.30.11.016,0.59,1.463,-0.305,-4.024
1.72974E+12,2024-10-23T22.30.11.026,0.6,1.341,-0.305,-3.72
1.72974E+12,2024-10-23T22.30.11.036,0.61,1.28,-0.427,-3.354
1.72974E+12,2024-10-23T22.30.11.046,0.62,1.28,-0.366,-3.171
1.72974E+12,2024-10-23T22.30.11.056,0.63,1.159,-0.427,-2.927
1.72974E+12,2024-10-23T22.30.11.066,0.64,1.098,-0.366,-2.805
1.72974E+12,2024-10-23T22.30.11.076,0.65,0.976,-0.427,-2.683
1.72974E+12,2024-10-23T22.30.11.086,0.66,0.732,-0.61,-2.683
1.72974E+12,2024-10-23T22.30.11.096,0.67,0.549,-0.549,-2.805
1.72974E+12,2024-10-23T22.30.11.106,0.68,0.427,-0.61,-2.927
1.72974E+12,2024-10-23T22.30.11.116,0.69,0.366,-0.671,-2.805
1.72974E+12,2024-10-23T22.30.11.126,0.7,0.305,-0.732,-2.744
1.72974E+12,2024-10-23T22.30.11.136,0.71,0.305,-0.671,-2.561
1.72974E+12,2024-10-23T22.30.11.146,0.72,0.244,-1.037,-2.073
1.72974E+12,2024-10-23T22.30.11.156,0.73,0.122,-1.037,-1.707
1.72974E+12,2024-10-23T22.30.11.166,0.74,0.183,-0.305,-1.829
1.72974E+12,2024-10-23T22.30.11.176,0.75,0.122,-0.061,-1.89
1.72974E+12,2024-10-23T22.30.11.186,0.76,-0.122,-0.915,-1.585
1.72974E+12,2024-10-23T22.30.11.196,0.77,-0.244,-1.89,-1.463
1.72974E+12,2024-10-23T22.30.11.206,0.78,-0.183,-2.805,-1.28
1.72974E+12,2024-10-23T22.30.11.216,0.79,0.305,-3.049,-1.28
1.72974E+12,2024-10-23T22.30.11.226,0.8,0.366,-2.744,-1.22
1.72974E+12,2024-10-23T22.30.11.236,0.81,0.61,-2.683,-0.732
1.72974E+12,2024-10-23T22.30.11.246,0.82,0.854,-2.866,-0.122
1.72974E+12,2024-10-23T22.30.11.256,0.83,1.037,-3.415,0.366
1.72974E+12,2024-10-23T22.30.11.266,0.84,1.159,-4.207,0.732
1.72974E+12,2024-10-23T22.30.11.276,0.85,1.22,-5.122,0.854
1.72974E+12,2024-10-23T22.30.11.286,0.86,1.28,-6.463,0.671
1.72974E+12,2024-10-23T22.30.11.296,0.87,1.402,-7.683,0.122
1.72974E+12,2024-10-23T22.30.11.306,0.88,1.646,-9.268,-0.427
1.72974E+12,2024-10-23T22.30.11.316,0.89,2.012,-11.159,-0.915
1.72974E+12,2024-10-23T22.30.11.326,0.9,2.439,-13.415,-1.28
1.72974E+12,2024-10-23T22.30.11.336,0.91,2.866,-16.159,-1.524
1.72974E+12,2024-10-23T22.30.11.346,0.92,3.598,-19.268,-1.585
1.72974E+12,2024-10-23T22.30.11.356,0.93,4.146,-23.171,-2.134
1.72974E+12,2024-10-23T22.30.11.366,0.94,4.512,-28.049,-2.561
1.72974E+12,2024-10-23T22.30.11.376,0.95,4.695,-33.537,-2.988
1.72974E+12,2024-10-23T22.30.11.386,0.96,4.817,-38.598,-3.72
1.72974E+12,2024-10-23T22.30.11.396,0.97,4.512,-43.537,-4.878
1.72974E+12,2024-10-23T22.30.11.406,0.98,3.537,-49.085,-5.854
1.72974E+12,2024-10-23T22.30.11.416,0.99,2.439,-54.207,-6.524
1.72974E+12,2024-10-23T22.30.11.426,1,1.768,-58.537,-7.073
1.72974E+12,2024-10-23T22.30.11.436,1.01,1.098,-63.11,-6.951
1.72974E+12,2024-10-23T22.30.11.446,1.02,0.732,-67.561,-6.402
1.72974E+12,2024-10-23T22.30.11.456,1.03,0.61,-71.098,-5.915
1.72974E+12,2024-10-23T22.30.11.466,1.04,0.915,-73.72,-5.61
1.72974E+12,2024-10-23T22.30.11.476,1.05,1.159,-76.829,-5.183
1.72974E+12,2024-10-23T22.30.11.486,1.06,1.28,-80,-4.756
1.72974E+12,2024-10-23T22.30.11.496,1.07,1.646,-82.195,-4.695
1.72974E+12,2024-10-23T22.30.11.506,1.08,2.134,-83.659,-4.756
1.72974E+12,2024-10-23T22.30.11.516,1.09,2.927,-84.695,-4.756
1.72974E+12,2024-10-23T22.30.11.526,1.1,3.72,-85.183,-5.488
1.72974E+12,2024-10-23T22.30.11.536,1.11,4.695,-85.671,-6.585
1.72974E+12,2024-10-23T22.30.11.546,1.12,5.549,-86.22,-7.256
1.72974E+12,2024-10-23T22.30.11.556,1.13,6.28,-86.22,-8.049
1.72974E+12,2024-10-23T22.30.11.566,1.14,6.707,-84.878,-8.963
1.72974E+12,2024-10-23T22.30.11.576,1.15,7.134,-83.354,-9.39
1.72974E+12,2024-10-23T22.30.11.586,1.16,7.134,-82.866,-9.512
1.72974E+12,2024-10-23T22.30.11.596,1.17,6.707,-83.293,-8.963
1.72974E+12,2024-10-23T22.30.11.606,1.18,6.098,-82.744,-8.598
1.72974E+12,2024-10-23T22.30.11.616,1.19,5.732,-80.732,-8.476
1.72974E+12,2024-10-23T22.30.11.626,1.2,5.061,-78.354,-8.293
1.72974E+12,2024-10-23T22.30.11.636,1.21,3.537,-76.89,-8.293
1.72974E+12,2024-10-23T22.30.11.646,1.22,1.951,-76.098,-8.354
1.72974E+12,2024-10-23T22.30.11.656,1.23,0.366,-75.061,-8.78
1.72974E+12,2024-10-23T22.30.11.666,1.24,-0.854,-73.963,-9.329
1.72974E+12,2024-10-23T22.30.11.676,1.25,-1.89,-73.232,-9.695
1.72974E+12,2024-10-23T22.30.11.686,1.26,-2.683,-72.012,-10.122
1.72974E+12,2024-10-23T22.30.11.696,1.27,-3.476,-70.061,-10.488
1.72974E+12,2024-10-23T22.30.11.706,1.28,-4.085,-67.256,-10.366
1.72974E+12,2024-10-23T22.30.11.716,1.29,-4.329,-63.537,-10.305
1.72974E+12,2024-10-23T22.30.11.726,1.3,-4.329,-59.268,-10.61
1.72974E+12,2024-10-23T22.30.11.736,1.31,-4.207,-55.549,-11.22
1.72974E+12,2024-10-23T22.30.11.746,1.32,-4.024,-52.5,-11.89
1.72974E+12,2024-10-23T22.30.11.756,1.33,-3.841,-49.451,-13.293
1.72974E+12,2024-10-23T22.30.11.766,1.34,-3.598,-45.915,-14.573
1.72974E+12,2024-10-23T22.30.11.776,1.35,-2.988,-42.012,-15.305
1.72974E+12,2024-10-23T22.30.11.786,1.36,-2.378,-37.439,-15.854
1.72974E+12,2024-10-23T22.30.11.796,1.37,-1.951,-32.195,-16.402
1.72974E+12,2024-10-23T22.30.11.806,1.38,-1.707,-27.317,-16.829
1.72974E+12,2024-10-23T22.30.11.816,1.39,-1.524,-23.841,-16.707
1.72974E+12,2024-10-23T22.30.11.826,1.4,-1.707,-21.524,-15.915
1.72974E+12,2024-10-23T22.30.11.836,1.41,-1.89,-18.963,-15.122
1.72974E+12,2024-10-23T22.30.11.846,1.42,-1.829,-15.61,-14.207
