epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1.72971E+12,2024-10-23T14.41.12.780,0,-0.926,0.351,-0.032
1.72971E+12,2024-10-23T14.41.12.790,0.01,-0.931,0.354,-0.032
1.72971E+12,2024-10-23T14.41.12.800,0.02,-0.923,0.353,-0.034
1.72971E+12,2024-10-23T14.41.12.810,0.03,-0.917,0.354,-0.033
1.72971E+12,2024-10-23T14.41.12.820,0.04,-0.921,0.357,-0.034
1.72971E+12,2024-10-23T14.41.12.830,0.05,-0.927,0.363,-0.038
1.72971E+12,2024-10-23T14.41.12.840,0.06,-0.929,0.365,-0.04
1.72971E+12,2024-10-23T14.41.12.850,0.07,-0.933,0.369,-0.042
1.72971E+12,2024-10-23T14.41.12.860,0.08,-0.934,0.372,-0.043
1.72971E+12,2024-10-23T14.41.12.870,0.09,-0.928,0.372,-0.045
1.72971E+12,2024-10-23T14.41.12.880,0.1,-0.934,0.368,-0.05
1.72971E+12,2024-10-23T14.41.12.890,0.11,-0.942,0.37,-0.047
1.72971E+12,2024-10-23T14.41.12.900,0.12,-0.938,0.37,-0.044
1.72971E+12,2024-10-23T14.41.12.910,0.13,-0.933,0.37,-0.042
1.72971E+12,2024-10-23T14.41.12.920,0.14,-0.926,0.367,-0.037
1.72971E+12,2024-10-23T14.41.12.930,0.15,-0.931,0.37,-0.034
1.72971E+12,2024-10-23T14.41.12.940,0.16,-0.941,0.373,-0.028
1.72971E+12,2024-10-23T14.41.12.950,0.17,-0.947,0.37,-0.026
1.72971E+12,2024-10-23T14.41.12.960,0.18,-0.953,0.367,-0.021
1.72971E+12,2024-10-23T14.41.12.970,0.19,-0.952,0.363,-0.021
1.72971E+12,2024-10-23T14.41.12.980,0.2,-0.952,0.361,-0.021
1.72971E+12,2024-10-23T14.41.12.990,0.21,-0.947,0.359,-0.021
1.72971E+12,2024-10-23T14.41.13.000,0.22,-0.94,0.357,-0.026
1.72971E+12,2024-10-23T14.41.13.010,0.23,-0.936,0.357,-0.03
1.72971E+12,2024-10-23T14.41.13.020,0.24,-0.935,0.359,-0.032
1.72971E+12,2024-10-23T14.41.13.030,0.25,-0.933,0.358,-0.034
1.72971E+12,2024-10-23T14.41.13.040,0.26,-0.932,0.358,-0.039
1.72971E+12,2024-10-23T14.41.13.050,0.27,-0.932,0.36,-0.037
1.72971E+12,2024-10-23T14.41.13.060,0.28,-0.93,0.362,-0.042
1.72971E+12,2024-10-23T14.41.13.070,0.29,-0.927,0.359,-0.042
1.72971E+12,2024-10-23T14.41.13.080,0.3,-0.929,0.359,-0.042
1.72971E+12,2024-10-23T14.41.13.090,0.31,-0.928,0.359,-0.043
1.72971E+12,2024-10-23T14.41.13.100,0.32,-0.93,0.363,-0.043
1.72971E+12,2024-10-23T14.41.13.110,0.33,-0.931,0.363,-0.042
1.72971E+12,2024-10-23T14.41.13.120,0.34,-0.927,0.363,-0.042
1.72971E+12,2024-10-23T14.41.13.130,0.35,-0.929,0.363,-0.04
1.72971E+12,2024-10-23T14.41.13.140,0.36,-0.936,0.365,-0.037
1.72971E+12,2024-10-23T14.41.13.150,0.37,-0.933,0.366,-0.037
1.72971E+12,2024-10-23T14.41.13.160,0.38,-0.935,0.366,-0.039
1.72971E+12,2024-10-23T14.41.13.170,0.39,-0.938,0.368,-0.036
1.72971E+12,2024-10-23T14.41.13.180,0.4,-0.938,0.366,-0.034
1.72971E+12,2024-10-23T14.41.13.190,0.41,-0.935,0.365,-0.033
1.72971E+12,2024-10-23T14.41.13.200,0.42,-0.938,0.367,-0.031
1.72971E+12,2024-10-23T14.41.13.210,0.43,-0.94,0.366,-0.032
1.72971E+12,2024-10-23T14.41.13.220,0.44,-0.94,0.363,-0.03
1.72971E+12,2024-10-23T14.41.13.230,0.45,-0.94,0.363,-0.03
1.72971E+12,2024-10-23T14.41.13.240,0.46,-0.941,0.359,-0.026
1.72971E+12,2024-10-23T14.41.13.250,0.47,-0.94,0.361,-0.022
1.72971E+12,2024-10-23T14.41.13.260,0.48,-0.944,0.36,-0.025
1.72971E+12,2024-10-23T14.41.13.270,0.49,-0.946,0.357,-0.025
1.72971E+12,2024-10-23T14.41.13.280,0.5,-0.944,0.356,-0.026
1.72971E+12,2024-10-23T14.41.13.290,0.51,-0.943,0.355,-0.025
1.72971E+12,2024-10-23T14.41.13.300,0.52,-0.942,0.354,-0.023
1.72971E+12,2024-10-23T14.41.13.310,0.53,-0.94,0.354,-0.026
1.72971E+12,2024-10-23T14.41.13.320,0.54,-0.94,0.354,-0.023
1.72971E+12,2024-10-23T14.41.13.330,0.55,-0.936,0.353,-0.028
1.72971E+12,2024-10-23T14.41.13.340,0.56,-0.934,0.354,-0.027
1.72971E+12,2024-10-23T14.41.13.350,0.57,-0.935,0.354,-0.026
1.72971E+12,2024-10-23T14.41.13.360,0.58,-0.932,0.355,-0.026
1.72971E+12,2024-10-23T14.41.13.370,0.59,-0.932,0.356,-0.027
1.72971E+12,2024-10-23T14.41.13.380,0.6,-0.931,0.358,-0.028
1.72971E+12,2024-10-23T14.41.13.390,0.61,-0.933,0.36,-0.028
1.72971E+12,2024-10-23T14.41.13.400,0.62,-0.934,0.362,-0.028
1.72971E+12,2024-10-23T14.41.13.410,0.63,-0.938,0.362,-0.027
1.72971E+12,2024-10-23T14.41.13.420,0.64,-0.935,0.361,-0.028
1.72971E+12,2024-10-23T14.41.13.430,0.65,-0.933,0.362,-0.026
