epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1732908378807,2024-11-29T14.26.18.807,0.000,-0.962,0.243,0.150
1732908378817,2024-11-29T14.26.18.817,0.010,-0.973,0.243,0.153
1732908378827,2024-11-29T14.26.18.827,0.020,-0.975,0.241,0.152
1732908378837,2024-11-29T14.26.18.837,0.030,-0.974,0.242,0.152
1732908378847,2024-11-29T14.26.18.847,0.040,-0.973,0.240,0.155
1732908378857,2024-11-29T14.26.18.857,0.050,-0.969,0.238,0.152
1732908378867,2024-11-29T14.26.18.867,0.060,-0.967,0.235,0.153
1732908378877,2024-11-29T14.26.18.877,0.070,-0.967,0.235,0.152
1732908378887,2024-11-29T14.26.18.887,0.080,-0.966,0.235,0.150
1732908378897,2024-11-29T14.26.18.897,0.090,-0.968,0.235,0.153
1732908378907,2024-11-29T14.26.18.907,0.100,-0.969,0.236,0.151
1732908378917,2024-11-29T14.26.18.917,0.110,-0.969,0.239,0.149
1732908378927,2024-11-29T14.26.18.927,0.120,-0.967,0.241,0.147
1732908378937,2024-11-29T14.26.18.937,0.130,-0.966,0.240,0.148
1732908378947,2024-11-29T14.26.18.947,0.140,-0.964,0.240,0.146
1732908378957,2024-11-29T14.26.18.957,0.150,-0.966,0.241,0.145
1732908378967,2024-11-29T14.26.18.967,0.160,-0.966,0.239,0.146
1732908378977,2024-11-29T14.26.18.977,0.170,-0.969,0.238,0.147
1732908378987,2024-11-29T14.26.18.987,0.180,-0.970,0.235,0.148
1732908378997,2024-11-29T14.26.18.997,0.190,-0.968,0.236,0.148
1732908379007,2024-11-29T14.26.19.007,0.200,-0.970,0.234,0.150
1732908379017,2024-11-29T14.26.19.017,0.210,-0.979,0.233,0.148
1732908379027,2024-11-29T14.26.19.027,0.220,-0.979,0.233,0.149
1732908379037,2024-11-29T14.26.19.037,0.230,-0.966,0.232,0.150
1732908379047,2024-11-29T14.26.19.047,0.240,-0.962,0.231,0.146
1732908379057,2024-11-29T14.26.19.057,0.250,-0.963,0.235,0.146
1732908379067,2024-11-29T14.26.19.067,0.260,-0.970,0.242,0.146
1732908379077,2024-11-29T14.26.19.077,0.270,-0.973,0.244,0.149
1732908379087,2024-11-29T14.26.19.087,0.280,-0.972,0.243,0.153
1732908379097,2024-11-29T14.26.19.097,0.290,-0.972,0.245,0.150
1732908379107,2024-11-29T14.26.19.107,0.300,-0.974,0.246,0.149
1732908379117,2024-11-29T14.26.19.117,0.310,-0.971,0.245,0.150
1732908379127,2024-11-29T14.26.19.127,0.320,-0.970,0.239,0.151
1732908379137,2024-11-29T14.26.19.137,0.330,-0.966,0.238,0.151
1732908379147,2024-11-29T14.26.19.147,0.340,-0.964,0.240,0.147
1732908379157,2024-11-29T14.26.19.157,0.350,-0.964,0.239,0.148
1732908379167,2024-11-29T14.26.19.167,0.360,-0.965,0.240,0.152
1732908379177,2024-11-29T14.26.19.177,0.370,-0.970,0.241,0.149
1732908379187,2024-11-29T14.26.19.187,0.380,-0.971,0.245,0.148
1732908379197,2024-11-29T14.26.19.197,0.390,-0.972,0.246,0.149
1732908379207,2024-11-29T14.26.19.207,0.400,-0.967,0.247,0.148
1732908379217,2024-11-29T14.26.19.217,0.410,-0.965,0.249,0.147
1732908379227,2024-11-29T14.26.19.227,0.420,-0.965,0.246,0.148
1732908379237,2024-11-29T14.26.19.237,0.430,-0.967,0.247,0.155
1732908379247,2024-11-29T14.26.19.247,0.440,-0.968,0.244,0.151
1732908379257,2024-11-29T14.26.19.257,0.450,-0.969,0.243,0.152
1732908379267,2024-11-29T14.26.19.267,0.460,-0.972,0.243,0.150
1732908379277,2024-11-29T14.26.19.277,0.470,-0.971,0.241,0.152
1732908379287,2024-11-29T14.26.19.287,0.480,-0.970,0.239,0.153
1732908379297,2024-11-29T14.26.19.297,0.490,-0.968,0.242,0.154
1732908379307,2024-11-29T14.26.19.307,0.500,-0.969,0.241,0.150
1732908379317,2024-11-29T14.26.19.317,0.510,-0.968,0.240,0.149
1732908379327,2024-11-29T14.26.19.327,0.520,-0.966,0.242,0.148
1732908379337,2024-11-29T14.26.19.337,0.530,-0.965,0.245,0.149
1732908379347,2024-11-29T14.26.19.347,0.540,-0.967,0.247,0.148
1732908379357,2024-11-29T14.26.19.357,0.550,-0.968,0.247,0.151
1732908379367,2024-11-29T14.26.19.367,0.560,-0.967,0.246,0.147
1732908379377,2024-11-29T14.26.19.377,0.570,-0.968,0.247,0.146
1732908379387,2024-11-29T14.26.19.387,0.580,-0.968,0.246,0.147
1732908379397,2024-11-29T14.26.19.397,0.590,-0.965,0.247,0.145
1732908379407,2024-11-29T14.26.19.407,0.600,-0.966,0.245,0.147
1732908379417,2024-11-29T14.26.19.417,0.610,-0.967,0.245,0.147
1732908379427,2024-11-29T14.26.19.427,0.620,-0.968,0.246,0.143
1732908379437,2024-11-29T14.26.19.437,0.630,-0.969,0.246,0.147
1732908379447,2024-11-29T14.26.19.447,0.640,-0.968,0.245,0.146
