epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1.73E+12,2024-10-23T14.41.12.782,0,-0.305,0.793,-0.488
1.73E+12,2024-10-23T14.41.12.792,0.01,-0.244,0.793,-0.366
1.73E+12,2024-10-23T14.41.12.802,0.02,-0.61,0.427,-0.488
1.73E+12,2024-10-23T14.41.12.812,0.03,-0.976,-0.122,-0.183
1.73E+12,2024-10-23T14.41.12.822,0.04,-1.098,-0.366,0
1.73E+12,2024-10-23T14.41.12.832,0.05,-1.098,-0.549,0.183
1.73E+12,2024-10-23T14.41.12.842,0.06,-0.915,-0.671,0.488
1.73E+12,2024-10-23T14.41.12.852,0.07,-0.549,-0.976,0.732
1.73E+12,2024-10-23T14.41.12.862,0.08,-0.244,-1.341,0.854
1.73E+12,2024-10-23T14.41.12.872,0.09,0.183,-1.89,0.61
1.73E+12,2024-10-23T14.41.12.882,0.1,0.549,-2.622,0.183
1.73E+12,2024-10-23T14.41.12.892,0.11,0.854,-2.988,-0.244
1.73E+12,2024-10-23T14.41.12.902,0.12,1.22,-3.232,-0.671
1.73E+12,2024-10-23T14.41.12.912,0.13,1.463,-3.963,-0.976
1.73E+12,2024-10-23T14.41.12.922,0.14,1.402,-4.878,-0.976
1.73E+12,2024-10-23T14.41.12.932,0.15,1.402,-5.244,-0.976
1.73E+12,2024-10-23T14.41.12.942,0.16,1.463,-5.183,-0.854
1.73E+12,2024-10-23T14.41.12.952,0.17,1.402,-4.451,-0.793
1.73E+12,2024-10-23T14.41.12.962,0.18,1.098,-3.354,-0.854
1.73E+12,2024-10-23T14.41.12.972,0.19,0.732,-2.134,-0.854
1.73E+12,2024-10-23T14.41.12.982,0.2,0.305,-0.854,-1.098
1.73E+12,2024-10-23T14.41.12.992,0.21,0,0.183,-1.28
1.73E+12,2024-10-23T14.41.13.002,0.22,-0.427,0.793,-1.402
1.73E+12,2024-10-23T14.41.13.012,0.23,-0.671,1.098,-1.707
1.73E+12,2024-10-23T14.41.13.022,0.24,-0.915,1.159,-2.073
1.73E+12,2024-10-23T14.41.13.032,0.25,-1.037,1.037,-2.134
1.73E+12,2024-10-23T14.41.13.042,0.26,-1.22,0.793,-2.195
1.73E+12,2024-10-23T14.41.13.052,0.27,-1.22,0.61,-2.134
1.73E+12,2024-10-23T14.41.13.062,0.28,-1.22,0.183,-1.768
