epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1732943140508,2024-11-30T00.05.40.508,0.000,-0.932,0.290,0.170
1732943140518,2024-11-30T00.05.40.518,0.010,-0.948,0.299,0.173
1732943140528,2024-11-30T00.05.40.528,0.020,-0.947,0.299,0.170
1732943140538,2024-11-30T00.05.40.538,0.030,-0.952,0.302,0.172
1732943140548,2024-11-30T00.05.40.548,0.040,-0.952,0.300,0.176
1732943140558,2024-11-30T00.05.40.558,0.050,-0.948,0.294,0.173
1732943140568,2024-11-30T00.05.40.568,0.060,-0.948,0.292,0.172
1732943140578,2024-11-30T00.05.40.578,0.070,-0.949,0.290,0.172
1732943140588,2024-11-30T00.05.40.588,0.080,-0.948,0.287,0.171
1732943140598,2024-11-30T00.05.40.598,0.090,-0.948,0.289,0.169
1732943140608,2024-11-30T00.05.40.608,0.100,-0.948,0.291,0.170
1732943140618,2024-11-30T00.05.40.618,0.110,-0.947,0.293,0.167
1732943140628,2024-11-30T00.05.40.628,0.120,-0.946,0.293,0.168
1732943140638,2024-11-30T00.05.40.638,0.130,-0.945,0.293,0.170
1732943140648,2024-11-30T00.05.40.648,0.140,-0.946,0.296,0.172
1732943140658,2024-11-30T00.05.40.658,0.150,-0.946,0.299,0.172
1732943140668,2024-11-30T00.05.40.668,0.160,-0.949,0.298,0.172
1732943140678,2024-11-30T00.05.40.678,0.170,-0.951,0.301,0.170
1732943140688,2024-11-30T00.05.40.688,0.180,-0.948,0.299,0.175
1732943140698,2024-11-30T00.05.40.698,0.190,-0.949,0.299,0.176
1732943140708,2024-11-30T00.05.40.708,0.200,-0.953,0.295,0.174
1732943140718,2024-11-30T00.05.40.718,0.210,-0.952,0.294,0.175
1732943140728,2024-11-30T00.05.40.728,0.220,-0.948,0.290,0.178
1732943140738,2024-11-30T00.05.40.738,0.230,-0.950,0.291,0.177
1732943140748,2024-11-30T00.05.40.748,0.240,-0.950,0.291,0.175
1732943140758,2024-11-30T00.05.40.758,0.250,-0.947,0.291,0.173
1732943140768,2024-11-30T00.05.40.768,0.260,-0.948,0.293,0.174
1732943140778,2024-11-30T00.05.40.778,0.270,-0.947,0.291,0.173
1732943140788,2024-11-30T00.05.40.788,0.280,-0.949,0.292,0.173
1732943140798,2024-11-30T00.05.40.798,0.290,-0.949,0.292,0.172
1732943140808,2024-11-30T00.05.40.808,0.300,-0.946,0.292,0.172
1732943140818,2024-11-30T00.05.40.818,0.310,-0.948,0.291,0.171
1732943140828,2024-11-30T00.05.40.828,0.320,-0.949,0.291,0.173
1732943140838,2024-11-30T00.05.40.838,0.330,-0.947,0.290,0.172
1732943140848,2024-11-30T00.05.40.848,0.340,-0.947,0.289,0.175
1732943140858,2024-11-30T00.05.40.858,0.350,-0.949,0.290,0.172
1732943140868,2024-11-30T00.05.40.868,0.360,-0.948,0.287,0.172
1732943140878,2024-11-30T00.05.40.878,0.370,-0.947,0.290,0.172
1732943140888,2024-11-30T00.05.40.888,0.380,-0.950,0.285,0.173
1732943140898,2024-11-30T00.05.40.898,0.390,-0.947,0.286,0.175
1732943140908,2024-11-30T00.05.40.908,0.400,-0.948,0.288,0.172
1732943140918,2024-11-30T00.05.40.918,0.410,-0.951,0.288,0.174
1732943140928,2024-11-30T00.05.40.928,0.420,-0.951,0.290,0.175
1732943140938,2024-11-30T00.05.40.938,0.430,-0.950,0.289,0.174
1732943140948,2024-11-30T00.05.40.948,0.440,-0.951,0.290,0.173
1732943140958,2024-11-30T00.05.40.958,0.450,-0.947,0.292,0.172
1732943140968,2024-11-30T00.05.40.968,0.460,-0.946,0.293,0.175
1732943140978,2024-11-30T00.05.40.978,0.470,-0.950,0.293,0.174
1732943140988,2024-11-30T00.05.40.988,0.480,-0.955,0.292,0.174
1732943140998,2024-11-30T00.05.40.998,0.490,-0.950,0.288,0.177
1732943141008,2024-11-30T00.05.41.008,0.500,-0.946,0.291,0.174
1732943141018,2024-11-30T00.05.41.018,0.510,-0.951,0.291,0.171
1732943141028,2024-11-30T00.05.41.028,0.520,-0.951,0.289,0.173
1732943141038,2024-11-30T00.05.41.038,0.530,-0.943,0.287,0.174
1732943141048,2024-11-30T00.05.41.048,0.540,-0.943,0.289,0.172
1732943141058,2024-11-30T00.05.41.058,0.550,-0.947,0.293,0.171
1732943141068,2024-11-30T00.05.41.068,0.560,-0.952,0.295,0.172
1732943141078,2024-11-30T00.05.41.078,0.570,-0.953,0.297,0.175
1732943141088,2024-11-30T00.05.41.088,0.580,-0.951,0.295,0.173
1732943141098,2024-11-30T00.05.41.098,0.590,-0.951,0.297,0.175
1732943141108,2024-11-30T00.05.41.108,0.600,-0.948,0.296,0.175
1732943141118,2024-11-30T00.05.41.118,0.610,-0.944,0.292,0.174
1732943141128,2024-11-30T00.05.41.128,0.620,-0.949,0.288,0.177
1732943141138,2024-11-30T00.05.41.138,0.630,-0.952,0.285,0.177
1732943141148,2024-11-30T00.05.41.148,0.640,-0.949,0.286,0.176
1732943141158,2024-11-30T00.05.41.158,0.650,-0.950,0.286,0.177
1732943141168,2024-11-30T00.05.41.168,0.660,-0.950,0.289,0.176
1732943141178,2024-11-30T00.05.41.178,0.670,-0.950,0.290,0.176
1732943141188,2024-11-30T00.05.41.188,0.680,-0.949,0.289,0.175
1732943141198,2024-11-30T00.05.41.198,0.690,-0.946,0.291,0.173
1732943141208,2024-11-30T00.05.41.208,0.700,-0.947,0.288,0.175
1732943141218,2024-11-30T00.05.41.218,0.710,-0.946,0.288,0.175
1732943141228,2024-11-30T00.05.41.228,0.720,-0.950,0.290,0.174
1732943141238,2024-11-30T00.05.41.238,0.730,-0.952,0.292,0.175
1732943141248,2024-11-30T00.05.41.248,0.740,-0.950,0.293,0.173
1732943141258,2024-11-30T00.05.41.258,0.750,-0.946,0.290,0.175
1732943141268,2024-11-30T00.05.41.268,0.760,-0.948,0.287,0.173
1732943141278,2024-11-30T00.05.41.278,0.770,-0.957,0.290,0.176
1732943141288,2024-11-30T00.05.41.288,0.780,-0.953,0.287,0.175
1732943141298,2024-11-30T00.05.41.298,0.790,-0.945,0.284,0.172
1732943141308,2024-11-30T00.05.41.308,0.800,-0.941,0.282,0.175
1732943141318,2024-11-30T00.05.41.318,0.810,-0.947,0.289,0.170
1732943141328,2024-11-30T00.05.41.328,0.820,-0.952,0.291,0.173
1732943141338,2024-11-30T00.05.41.338,0.830,-0.951,0.291,0.173
1732943141348,2024-11-30T00.05.41.348,0.840,-0.954,0.295,0.175
1732943141358,2024-11-30T00.05.41.358,0.850,-0.951,0.294,0.173
1732943141368,2024-11-30T00.05.41.368,0.860,-0.949,0.292,0.173
1732943141378,2024-11-30T00.05.41.378,0.870,-0.949,0.291,0.173
1732943141388,2024-11-30T00.05.41.388,0.880,-0.949,0.288,0.173
1732943141398,2024-11-30T00.05.41.398,0.890,-0.950,0.286,0.175
1732943141408,2024-11-30T00.05.41.408,0.900,-0.951,0.282,0.175
1732943141418,2024-11-30T00.05.41.418,0.910,-0.950,0.283,0.176
1732943141428,2024-11-30T00.05.41.428,0.920,-0.950,0.281,0.173
1732943141438,2024-11-30T00.05.41.438,0.930,-0.950,0.283,0.172
1732943141448,2024-11-30T00.05.41.448,0.940,-0.949,0.285,0.175
1732943141458,2024-11-30T00.05.41.458,0.950,-0.951,0.286,0.176
1732943141468,2024-11-30T00.05.41.468,0.960,-0.952,0.289,0.174
1732943141478,2024-11-30T00.05.41.478,0.970,-0.950,0.289,0.176
1732943141488,2024-11-30T00.05.41.488,0.980,-0.948,0.291,0.174
1732943141498,2024-11-30T00.05.41.498,0.990,-0.952,0.290,0.174
1732943141508,2024-11-30T00.05.41.508,1.000,-0.951,0.286,0.177
1732943141518,2024-11-30T00.05.41.518,1.010,-0.948,0.286,0.175
1732943141528,2024-11-30T00.05.41.528,1.020,-0.950,0.284,0.177
1732943141538,2024-11-30T00.05.41.538,1.030,-0.951,0.282,0.175
1732943141548,2024-11-30T00.05.41.548,1.040,-0.953,0.282,0.176
1732943141558,2024-11-30T00.05.41.558,1.050,-0.950,0.283,0.178
1732943141568,2024-11-30T00.05.41.568,1.060,-0.949,0.281,0.177
1732943141578,2024-11-30T00.05.41.578,1.070,-0.950,0.282,0.178
1732943141588,2024-11-30T00.05.41.588,1.080,-0.949,0.283,0.179
1732943141598,2024-11-30T00.05.41.598,1.090,-0.949,0.284,0.173
1732943141608,2024-11-30T00.05.41.608,1.100,-0.953,0.287,0.174
1732943141618,2024-11-30T00.05.41.618,1.110,-0.950,0.292,0.173
1732943141628,2024-11-30T00.05.41.628,1.120,-0.948,0.293,0.172
1732943141638,2024-11-30T00.05.41.638,1.130,-0.946,0.294,0.173
1732943141648,2024-11-30T00.05.41.648,1.140,-0.947,0.294,0.172
1732943141658,2024-11-30T00.05.41.658,1.150,-0.947,0.294,0.173
1732943141668,2024-11-30T00.05.41.668,1.160,-0.950,0.294,0.170
1732943141678,2024-11-30T00.05.41.678,1.170,-0.951,0.298,0.171
1732943141688,2024-11-30T00.05.41.688,1.180,-0.948,0.295,0.174
1732943141698,2024-11-30T00.05.41.698,1.190,-0.949,0.295,0.171
1732943141708,2024-11-30T00.05.41.708,1.200,-0.949,0.297,0.172
1732943141718,2024-11-30T00.05.41.718,1.210,-0.946,0.302,0.172
1732943141728,2024-11-30T00.05.41.728,1.220,-0.943,0.301,0.172
1732943141738,2024-11-30T00.05.41.738,1.230,-0.942,0.299,0.172
1732943141748,2024-11-30T00.05.41.748,1.240,-0.944,0.298,0.173
1732943141758,2024-11-30T00.05.41.758,1.250,-0.949,0.297,0.176
1732943141768,2024-11-30T00.05.41.768,1.260,-0.950,0.297,0.177
1732943141778,2024-11-30T00.05.41.778,1.270,-0.950,0.297,0.174
1732943141788,2024-11-30T00.05.41.788,1.280,-0.951,0.296,0.174
1732943141798,2024-11-30T00.05.41.798,1.290,-0.947,0.293,0.178
1732943141808,2024-11-30T00.05.41.808,1.300,-0.946,0.293,0.174
1732943141818,2024-11-30T00.05.41.818,1.310,-0.952,0.292,0.177
1732943141828,2024-11-30T00.05.41.828,1.320,-0.950,0.291,0.178
1732943141838,2024-11-30T00.05.41.838,1.330,-0.954,0.289,0.179
1732943141848,2024-11-30T00.05.41.848,1.340,-0.957,0.286,0.175
1732943141858,2024-11-30T00.05.41.858,1.350,-0.955,0.289,0.179
1732943141868,2024-11-30T00.05.41.868,1.360,-0.954,0.287,0.177
1732943141878,2024-11-30T00.05.41.878,1.370,-0.968,0.292,0.174
1732943141888,2024-11-30T00.05.41.888,1.380,-0.981,0.308,0.174
1732943141898,2024-11-30T00.05.41.898,1.390,-0.977,0.314,0.173
1732943141908,2024-11-30T00.05.41.908,1.400,-0.971,0.318,0.179
1732943141918,2024-11-30T00.05.41.918,1.410,-0.974,0.325,0.181
1732943141928,2024-11-30T00.05.41.928,1.420,-0.982,0.326,0.182
1732943141938,2024-11-30T00.05.41.938,1.430,-0.983,0.322,0.186
1732943141948,2024-11-30T00.05.41.948,1.440,-0.978,0.317,0.186
1732943141958,2024-11-30T00.05.41.958,1.450,-0.973,0.311,0.182
1732943141968,2024-11-30T00.05.41.968,1.460,-0.990,0.306,0.185
1732943141978,2024-11-30T00.05.41.978,1.470,-0.993,0.293,0.190
1732943141988,2024-11-30T00.05.41.988,1.480,-0.988,0.280,0.187
1732943141998,2024-11-30T00.05.41.998,1.490,-0.989,0.273,0.187
1732943142008,2024-11-30T00.05.42.008,1.500,-0.984,0.265,0.189
1732943142018,2024-11-30T00.05.42.018,1.510,-0.978,0.251,0.185
1732943142028,2024-11-30T00.05.42.028,1.520,-0.987,0.233,0.186
1732943142038,2024-11-30T00.05.42.038,1.530,-1.007,0.211,0.190
1732943142048,2024-11-30T00.05.42.048,1.540,-1.004,0.193,0.190
1732943142058,2024-11-30T00.05.42.058,1.550,-0.987,0.187,0.183
1732943142068,2024-11-30T00.05.42.068,1.560,-0.977,0.172,0.176
1732943142078,2024-11-30T00.05.42.078,1.570,-0.991,0.142,0.179
1732943142088,2024-11-30T00.05.42.088,1.580,-0.974,0.124,0.172
1732943142098,2024-11-30T00.05.42.098,1.590,-0.969,0.105,0.168
1732943142108,2024-11-30T00.05.42.108,1.600,-0.973,0.088,0.171
1732943142118,2024-11-30T00.05.42.118,1.610,-0.966,0.077,0.172
1732943142128,2024-11-30T00.05.42.128,1.620,-0.964,0.047,0.170
1732943142138,2024-11-30T00.05.42.138,1.630,-0.965,0.024,0.166
1732943142148,2024-11-30T00.05.42.148,1.640,-0.967,0.005,0.167
1732943142158,2024-11-30T00.05.42.158,1.650,-0.967,-0.020,0.168
1732943142168,2024-11-30T00.05.42.168,1.660,-0.961,-0.066,0.167
