epoc (ms),timestamp (-0500),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1732943140511,2024-11-30T00.05.40.511,0.000,0.061,-0.854,-1.098
1732943140521,2024-11-30T00.05.40.521,0.010,0.244,-0.915,-0.732
1732943140531,2024-11-30T00.05.40.531,0.020,0.122,-0.549,-0.732
1732943140541,2024-11-30T00.05.40.541,0.030,0.549,0.000,-0.305
1732943140551,2024-11-30T00.05.40.551,0.040,0.854,0.305,-0.183
1732943140561,2024-11-30T00.05.40.561,0.050,1.037,0.305,-0.305
1732943140571,2024-11-30T00.05.40.571,0.060,0.854,0.183,-0.427
1732943140581,2024-11-30T00.05.40.581,0.070,0.549,0.000,-0.488
1732943140591,2024-11-30T00.05.40.591,0.080,0.305,0.000,-0.488
1732943140601,2024-11-30T00.05.40.601,0.090,-0.061,0.000,-0.488
1732943140611,2024-11-30T00.05.40.611,0.100,-0.244,-0.122,-0.305
1732943140621,2024-11-30T00.05.40.621,0.110,-0.366,-0.122,-0.183
1732943140631,2024-11-30T00.05.40.631,0.120,-0.244,-0.305,-0.244
1732943140641,2024-11-30T00.05.40.641,0.130,-0.183,-0.549,-0.366
1732943140651,2024-11-30T00.05.40.651,0.140,0.061,-0.732,-0.610
1732943140661,2024-11-30T00.05.40.661,0.150,0.305,-0.976,-0.732
1732943140671,2024-11-30T00.05.40.671,0.160,0.671,-0.915,-0.671
1732943140681,2024-11-30T00.05.40.681,0.170,1.037,-0.854,-0.671
1732943140691,2024-11-30T00.05.40.691,0.180,1.037,-0.854,-0.610
1732943140701,2024-11-30T00.05.40.701,0.190,0.976,-0.793,-0.732
1732943140711,2024-11-30T00.05.40.711,0.200,0.854,-0.732,-0.915
1732943140721,2024-11-30T00.05.40.721,0.210,0.610,-0.488,-1.098
1732943140731,2024-11-30T00.05.40.731,0.220,0.366,-0.305,-1.402
1732943140741,2024-11-30T00.05.40.741,0.230,0.122,-0.244,-1.524
1732943140751,2024-11-30T00.05.40.751,0.240,-0.061,-0.183,-1.646
1732943140761,2024-11-30T00.05.40.761,0.250,-0.244,-0.061,-1.585
1732943140771,2024-11-30T00.05.40.771,0.260,-0.305,0.061,-1.524
1732943140781,2024-11-30T00.05.40.781,0.270,-0.305,0.183,-1.341
1732943140791,2024-11-30T00.05.40.791,0.280,-0.183,0.122,-1.280
1732943140801,2024-11-30T00.05.40.801,0.290,0.061,0.000,-1.341
1732943140811,2024-11-30T00.05.40.811,0.300,0.122,-0.244,-1.402
1732943140821,2024-11-30T00.05.40.821,0.310,0.244,-0.366,-1.402
1732943140831,2024-11-30T00.05.40.831,0.320,0.488,-0.305,-1.463
1732943140841,2024-11-30T00.05.40.841,0.330,0.610,-0.366,-1.402
1732943140851,2024-11-30T00.05.40.851,0.340,0.610,-0.366,-1.280
1732943140861,2024-11-30T00.05.40.861,0.350,0.671,-0.366,-1.037
1732943140871,2024-11-30T00.05.40.871,0.360,0.610,-0.305,-0.854
1732943140881,2024-11-30T00.05.40.881,0.370,0.610,-0.427,-0.671
1732943140891,2024-11-30T00.05.40.891,0.380,0.610,-0.427,-0.549
1732943140901,2024-11-30T00.05.40.901,0.390,0.488,-0.488,-0.549
1732943140911,2024-11-30T00.05.40.911,0.400,0.488,-0.488,-0.366
1732943140921,2024-11-30T00.05.40.921,0.410,0.427,-0.366,-0.244
1732943140931,2024-11-30T00.05.40.931,0.420,0.427,-0.183,-0.061
1732943140941,2024-11-30T00.05.40.941,0.430,0.427,0.061,0.061
1732943140951,2024-11-30T00.05.40.951,0.440,0.427,0.061,0.122
1732943140961,2024-11-30T00.05.40.961,0.450,0.427,-0.061,0.061
1732943140971,2024-11-30T00.05.40.971,0.460,0.305,-0.244,0.000
1732943140981,2024-11-30T00.05.40.981,0.470,0.305,-0.183,-0.305
1732943140991,2024-11-30T00.05.40.991,0.480,0.305,0.122,-0.549
1732943141001,2024-11-30T00.05.41.001,0.490,0.183,0.366,-0.671
1732943141011,2024-11-30T00.05.41.011,0.500,0.122,0.244,-0.793
1732943141021,2024-11-30T00.05.41.021,0.510,0.183,0.244,-0.732
