epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1732928416477,2024-11-29T20.00.16.477,0.000,-0.900,0.389,0.176
1732928416487,2024-11-29T20.00.16.487,0.010,-0.906,0.393,0.177
1732928416497,2024-11-29T20.00.16.497,0.020,-0.902,0.393,0.177
1732928416507,2024-11-29T20.00.16.507,0.030,-0.900,0.393,0.176
1732928416517,2024-11-29T20.00.16.517,0.040,-0.902,0.396,0.176
1732928416527,2024-11-29T20.00.16.527,0.050,-0.902,0.394,0.176
1732928416537,2024-11-29T20.00.16.537,0.060,-0.905,0.396,0.176
1732928416547,2024-11-29T20.00.16.547,0.070,-0.910,0.394,0.177
1732928416557,2024-11-29T20.00.16.557,0.080,-0.910,0.393,0.179
1732928416567,2024-11-29T20.00.16.567,0.090,-0.908,0.392,0.175
1732928416577,2024-11-29T20.00.16.577,0.100,-0.909,0.389,0.177
1732928416587,2024-11-29T20.00.16.587,0.110,-0.907,0.387,0.178
1732928416597,2024-11-29T20.00.16.597,0.120,-0.908,0.387,0.176
1732928416607,2024-11-29T20.00.16.607,0.130,-0.905,0.387,0.174
1732928416617,2024-11-29T20.00.16.617,0.140,-0.903,0.388,0.177
1732928416627,2024-11-29T20.00.16.627,0.150,-0.900,0.389,0.176
1732928416637,2024-11-29T20.00.16.637,0.160,-0.903,0.390,0.174
1732928416647,2024-11-29T20.00.16.647,0.170,-0.902,0.389,0.172
1732928416657,2024-11-29T20.00.16.657,0.180,-0.902,0.394,0.172
1732928416667,2024-11-29T20.00.16.667,0.190,-0.899,0.395,0.171
1732928416677,2024-11-29T20.00.16.677,0.200,-0.904,0.395,0.167
1732928416687,2024-11-29T20.00.16.687,0.210,-0.907,0.396,0.169
1732928416697,2024-11-29T20.00.16.697,0.220,-0.901,0.394,0.172
1732928416707,2024-11-29T20.00.16.707,0.230,-0.900,0.391,0.167
1732928416717,2024-11-29T20.00.16.717,0.240,-0.911,0.394,0.167
1732928416727,2024-11-29T20.00.16.727,0.250,-0.908,0.393,0.170
1732928416737,2024-11-29T20.00.16.737,0.260,-0.897,0.395,0.167
1732928416747,2024-11-29T20.00.16.747,0.270,-0.891,0.398,0.168
1732928416757,2024-11-29T20.00.16.757,0.280,-0.902,0.403,0.172
1732928416767,2024-11-29T20.00.16.767,0.290,-0.908,0.406,0.175
1732928416777,2024-11-29T20.00.16.777,0.300,-0.913,0.402,0.173
1732928416787,2024-11-29T20.00.16.787,0.310,-0.916,0.402,0.179
1732928416797,2024-11-29T20.00.16.797,0.320,-0.911,0.402,0.179
1732928416807,2024-11-29T20.00.16.807,0.330,-0.908,0.397,0.179
1732928416817,2024-11-29T20.00.16.817,0.340,-0.904,0.394,0.178
1732928416827,2024-11-29T20.00.16.827,0.350,-0.906,0.392,0.176
1732928416837,2024-11-29T20.00.16.837,0.360,-0.905,0.389,0.181
1732928416847,2024-11-29T20.00.16.847,0.370,-0.905,0.389,0.180
1732928416857,2024-11-29T20.00.16.857,0.380,-0.906,0.390,0.177
1732928416867,2024-11-29T20.00.16.867,0.390,-0.904,0.391,0.177
1732928416877,2024-11-29T20.00.16.877,0.400,-0.904,0.397,0.174
1732928416887,2024-11-29T20.00.16.887,0.410,-0.905,0.398,0.174
1732928416897,2024-11-29T20.00.16.897,0.420,-0.907,0.399,0.172
1732928416907,2024-11-29T20.00.16.907,0.430,-0.903,0.401,0.172
1732928416917,2024-11-29T20.00.16.917,0.440,-0.901,0.400,0.171
1732928416927,2024-11-29T20.00.16.927,0.450,-0.898,0.402,0.172
1732928416937,2024-11-29T20.00.16.937,0.460,-0.898,0.400,0.173
1732928416947,2024-11-29T20.00.16.947,0.470,-0.906,0.399,0.171
1732928416957,2024-11-29T20.00.16.957,0.480,-0.915,0.394,0.172
1732928416967,2024-11-29T20.00.16.967,0.490,-0.909,0.389,0.175
1732928416977,2024-11-29T20.00.16.977,0.500,-0.893,0.388,0.173
1732928416987,2024-11-29T20.00.16.987,0.510,-0.896,0.389,0.171
1732928416997,2024-11-29T20.00.16.997,0.520,-0.906,0.391,0.174
1732928417007,2024-11-29T20.00.17.007,0.530,-0.908,0.391,0.174
1732928417017,2024-11-29T20.00.17.017,0.540,-0.908,0.389,0.176
1732928417027,2024-11-29T20.00.17.027,0.550,-0.908,0.390,0.176
1732928417037,2024-11-29T20.00.17.037,0.560,-0.905,0.390,0.173
1732928417047,2024-11-29T20.00.17.047,0.570,-0.907,0.393,0.172
1732928417057,2024-11-29T20.00.17.057,0.580,-0.907,0.394,0.176
1732928417067,2024-11-29T20.00.17.067,0.590,-0.906,0.392,0.175
1732928417077,2024-11-29T20.00.17.077,0.600,-0.907,0.392,0.175
1732928417087,2024-11-29T20.00.17.087,0.610,-0.908,0.390,0.170
1732928417097,2024-11-29T20.00.17.097,0.620,-0.910,0.388,0.170
1732928417107,2024-11-29T20.00.17.107,0.630,-0.910,0.388,0.170
1732928417117,2024-11-29T20.00.17.117,0.640,-0.908,0.387,0.172
1732928417127,2024-11-29T20.00.17.127,0.650,-0.906,0.388,0.171
1732928417137,2024-11-29T20.00.17.137,0.660,-0.907,0.388,0.172
1732928417147,2024-11-29T20.00.17.147,0.670,-0.902,0.391,0.171
1732928417157,2024-11-29T20.00.17.157,0.680,-0.903,0.391,0.173
1732928417167,2024-11-29T20.00.17.167,0.690,-0.902,0.392,0.171
1732928417177,2024-11-29T20.00.17.177,0.700,-0.903,0.394,0.170
1732928417187,2024-11-29T20.00.17.187,0.710,-0.904,0.394,0.176
1732928417197,2024-11-29T20.00.17.197,0.720,-0.908,0.394,0.176
1732928417207,2024-11-29T20.00.17.207,0.730,-0.911,0.390,0.175
1732928417217,2024-11-29T20.00.17.217,0.740,-0.911,0.387,0.181
1732928417227,2024-11-29T20.00.17.227,0.750,-0.911,0.385,0.179
1732928417237,2024-11-29T20.00.17.237,0.760,-0.914,0.384,0.176
1732928417247,2024-11-29T20.00.17.247,0.770,-0.909,0.384,0.175
1732928417257,2024-11-29T20.00.17.257,0.780,-0.907,0.384,0.176
1732928417267,2024-11-29T20.00.17.267,0.790,-0.907,0.387,0.175
1732928417277,2024-11-29T20.00.17.277,0.800,-0.903,0.389,0.174
1732928417287,2024-11-29T20.00.17.287,0.810,-0.903,0.389,0.173
1732928417297,2024-11-29T20.00.17.297,0.820,-0.904,0.392,0.173
1732928417307,2024-11-29T20.00.17.307,0.830,-0.905,0.391,0.170
1732928417317,2024-11-29T20.00.17.317,0.840,-0.908,0.391,0.176
1732928417327,2024-11-29T20.00.17.327,0.850,-0.908,0.388,0.175
1732928417337,2024-11-29T20.00.17.337,0.860,-0.911,0.385,0.176
1732928417347,2024-11-29T20.00.17.347,0.870,-0.909,0.382,0.176
1732928417357,2024-11-29T20.00.17.357,0.880,-0.908,0.383,0.176
1732928417367,2024-11-29T20.00.17.367,0.890,-0.910,0.384,0.176
1732928417377,2024-11-29T20.00.17.377,0.900,-0.913,0.380,0.173
1732928417387,2024-11-29T20.00.17.387,0.910,-0.912,0.381,0.177
1732928417397,2024-11-29T20.00.17.397,0.920,-0.911,0.381,0.177
1732928417407,2024-11-29T20.00.17.407,0.930,-0.909,0.384,0.171
1732928417417,2024-11-29T20.00.17.417,0.940,-0.908,0.388,0.169
1732928417427,2024-11-29T20.00.17.427,0.950,-0.903,0.390,0.168
1732928417437,2024-11-29T20.00.17.437,0.960,-0.904,0.390,0.169
1732928417447,2024-11-29T20.00.17.447,0.970,-0.902,0.391,0.169
1732928417457,2024-11-29T20.00.17.457,0.980,-0.901,0.389,0.167
1732928417467,2024-11-29T20.00.17.467,0.990,-0.903,0.387,0.170
1732928417477,2024-11-29T20.00.17.477,1.000,-0.906,0.389,0.171
1732928417487,2024-11-29T20.00.17.487,1.010,-0.908,0.387,0.171
1732928417497,2024-11-29T20.00.17.497,1.020,-0.910,0.387,0.171
1732928417507,2024-11-29T20.00.17.507,1.030,-0.913,0.384,0.171
1732928417517,2024-11-29T20.00.17.517,1.040,-0.910,0.384,0.174
1732928417527,2024-11-29T20.00.17.527,1.050,-0.906,0.383,0.173
1732928417537,2024-11-29T20.00.17.537,1.060,-0.916,0.385,0.175
1732928417547,2024-11-29T20.00.17.547,1.070,-0.914,0.386,0.177
1732928417557,2024-11-29T20.00.17.557,1.080,-0.905,0.382,0.172
1732928417567,2024-11-29T20.00.17.567,1.090,-0.903,0.384,0.171
1732928417577,2024-11-29T20.00.17.577,1.100,-0.911,0.387,0.173
1732928417587,2024-11-29T20.00.17.587,1.110,-0.910,0.385,0.175
1732928417597,2024-11-29T20.00.17.597,1.120,-0.899,0.388,0.172
1732928417607,2024-11-29T20.00.17.607,1.130,-0.900,0.389,0.174
1732928417617,2024-11-29T20.00.17.617,1.140,-0.908,0.391,0.175
1732928417627,2024-11-29T20.00.17.627,1.150,-0.911,0.392,0.179
1732928417637,2024-11-29T20.00.17.637,1.160,-0.917,0.389,0.183
1732928417647,2024-11-29T20.00.17.647,1.170,-0.921,0.385,0.183
1732928417657,2024-11-29T20.00.17.657,1.180,-0.917,0.386,0.182
1732928417667,2024-11-29T20.00.17.667,1.190,-0.916,0.382,0.178
1732928417677,2024-11-29T20.00.17.677,1.200,-0.915,0.380,0.177
1732928417687,2024-11-29T20.00.17.687,1.210,-0.913,0.378,0.179
1732928417697,2024-11-29T20.00.17.697,1.220,-0.905,0.376,0.177
1732928417707,2024-11-29T20.00.17.707,1.230,-0.904,0.374,0.173
1732928417717,2024-11-29T20.00.17.717,1.240,-0.905,0.376,0.173
1732928417727,2024-11-29T20.00.17.727,1.250,-0.905,0.376,0.171
1732928417737,2024-11-29T20.00.17.737,1.260,-0.907,0.375,0.169
1732928417747,2024-11-29T20.00.17.747,1.270,-0.911,0.375,0.169
1732928417757,2024-11-29T20.00.17.757,1.280,-0.904,0.375,0.169
1732928417767,2024-11-29T20.00.17.767,1.290,-0.893,0.378,0.164
1732928417777,2024-11-29T20.00.17.777,1.300,-0.896,0.376,0.163
1732928417787,2024-11-29T20.00.17.787,1.310,-0.893,0.375,0.164
1732928417797,2024-11-29T20.00.17.797,1.320,-0.891,0.368,0.159
1732928417807,2024-11-29T20.00.17.807,1.330,-0.899,0.362,0.159
1732928417817,2024-11-29T20.00.17.817,1.340,-0.903,0.356,0.161
1732928417827,2024-11-29T20.00.17.827,1.350,-0.892,0.348,0.159
1732928417837,2024-11-29T20.00.17.837,1.360,-0.880,0.342,0.156
1732928417847,2024-11-29T20.00.17.847,1.370,-0.884,0.337,0.159
1732928417857,2024-11-29T20.00.17.857,1.380,-0.874,0.334,0.160
1732928417867,2024-11-29T20.00.17.867,1.390,-0.864,0.326,0.157
1732928417877,2024-11-29T20.00.17.877,1.400,-0.860,0.319,0.161
1732928417887,2024-11-29T20.00.17.887,1.410,-0.852,0.316,0.164
1732928417897,2024-11-29T20.00.17.897,1.420,-0.840,0.311,0.160
1732928417907,2024-11-29T20.00.17.907,1.430,-0.832,0.311,0.160
1732928417917,2024-11-29T20.00.17.917,1.440,-0.829,0.312,0.163
1732928417927,2024-11-29T20.00.17.927,1.450,-0.825,0.317,0.167
1732928417937,2024-11-29T20.00.17.937,1.460,-0.819,0.329,0.164
1732928417947,2024-11-29T20.00.17.947,1.470,-0.810,0.345,0.165
1732928417957,2024-11-29T20.00.17.957,1.480,-0.796,0.360,0.162
1732928417967,2024-11-29T20.00.17.967,1.490,-0.777,0.381,0.161
1732928417977,2024-11-29T20.00.17.977,1.500,-0.763,0.398,0.161
1732928417987,2024-11-29T20.00.17.987,1.510,-0.744,0.422,0.159
1732928417997,2024-11-29T20.00.17.997,1.520,-0.719,0.438,0.159
1732928418007,2024-11-29T20.00.18.007,1.530,-0.701,0.454,0.156
1732928418017,2024-11-29T20.00.18.017,1.540,-0.674,0.482,0.158
1732928418027,2024-11-29T20.00.18.027,1.550,-0.634,0.527,0.156
1732928418037,2024-11-29T20.00.18.037,1.560,-0.594,0.611,0.156
1732928418047,2024-11-29T20.00.18.047,1.570,-0.603,0.682,0.169
1732928418057,2024-11-29T20.00.18.057,1.580,-0.623,0.712,0.181
1732928418067,2024-11-29T20.00.18.067,1.590,-0.628,0.731,0.184
1732928418077,2024-11-29T20.00.18.077,1.600,-0.635,0.754,0.182
1732928418087,2024-11-29T20.00.18.087,1.610,-0.652,0.787,0.191
1732928418097,2024-11-29T20.00.18.097,1.620,-0.644,0.832,0.203
1732928418107,2024-11-29T20.00.18.107,1.630,-0.604,0.870,0.198
1732928418117,2024-11-29T20.00.18.117,1.640,-0.544,0.908,0.199
1732928418127,2024-11-29T20.00.18.127,1.650,-0.495,0.965,0.192
1732928418137,2024-11-29T20.00.18.137,1.660,-0.482,1.013,0.191
1732928418147,2024-11-29T20.00.18.147,1.670,-0.479,1.041,0.195
1732928418157,2024-11-29T20.00.18.157,1.680,-0.486,1.061,0.199
1732928418167,2024-11-29T20.00.18.167,1.690,-0.477,1.058,0.198
1732928418177,2024-11-29T20.00.18.177,1.700,-0.467,1.048,0.198
1732928418187,2024-11-29T20.00.18.187,1.710,-0.461,1.040,0.191
1732928418197,2024-11-29T20.00.18.197,1.720,-0.450,1.041,0.190
1732928418207,2024-11-29T20.00.18.207,1.730,-0.421,1.055,0.190
1732928418217,2024-11-29T20.00.18.217,1.740,-0.409,1.068,0.184
1732928418227,2024-11-29T20.00.18.227,1.750,-0.411,1.073,0.184
1732928418237,2024-11-29T20.00.18.237,1.760,-0.418,1.073,0.187
1732928418247,2024-11-29T20.00.18.247,1.770,-0.421,1.067,0.185
1732928418257,2024-11-29T20.00.18.257,1.780,-0.423,1.058,0.183
1732928418267,2024-11-29T20.00.18.267,1.790,-0.420,1.050,0.184
1732928418277,2024-11-29T20.00.18.277,1.800,-0.415,1.040,0.181
1732928418287,2024-11-29T20.00.18.287,1.810,-0.415,1.021,0.177
1732928418297,2024-11-29T20.00.18.297,1.820,-0.417,1.008,0.176
1732928418307,2024-11-29T20.00.18.307,1.830,-0.416,0.992,0.173
1732928418317,2024-11-29T20.00.18.317,1.840,-0.415,0.978,0.171
1732928418327,2024-11-29T20.00.18.327,1.850,-0.417,0.965,0.168
1732928418337,2024-11-29T20.00.18.337,1.860,-0.428,0.955,0.164
1732928418347,2024-11-29T20.00.18.347,1.870,-0.440,0.952,0.165
1732928418357,2024-11-29T20.00.18.357,1.880,-0.451,0.947,0.166
1732928418367,2024-11-29T20.00.18.367,1.890,-0.451,0.941,0.167
1732928418377,2024-11-29T20.00.18.377,1.900,-0.456,0.931,0.165
1732928418387,2024-11-29T20.00.18.387,1.910,-0.466,0.914,0.165
1732928418397,2024-11-29T20.00.18.397,1.920,-0.476,0.888,0.170
1732928418407,2024-11-29T20.00.18.407,1.930,-0.489,0.876,0.177
1732928418417,2024-11-29T20.00.18.417,1.940,-0.509,0.874,0.188
1732928418427,2024-11-29T20.00.18.427,1.950,-0.529,0.861,0.193
1732928418437,2024-11-29T20.00.18.437,1.960,-0.551,0.856,0.200
1732928418447,2024-11-29T20.00.18.447,1.970,-0.567,0.847,0.203
1732928418457,2024-11-29T20.00.18.457,1.980,-0.600,0.840,0.206
1732928418467,2024-11-29T20.00.18.467,1.990,-0.616,0.830,0.212
1732928418477,2024-11-29T20.00.18.477,2.000,-0.600,0.808,0.202
1732928418487,2024-11-29T20.00.18.487,2.010,-0.594,0.790,0.195
1732928418497,2024-11-29T20.00.18.497,2.020,-0.611,0.766,0.194
1732928418507,2024-11-29T20.00.18.507,2.030,-0.634,0.750,0.194
1732928418517,2024-11-29T20.00.18.517,2.040,-0.650,0.741,0.202
1732928418527,2024-11-29T20.00.18.527,2.050,-0.653,0.744,0.205
1732928418537,2024-11-29T20.00.18.537,2.060,-0.641,0.730,0.195
1732928418547,2024-11-29T20.00.18.547,2.070,-0.633,0.704,0.185
1732928418557,2024-11-29T20.00.18.557,2.080,-0.640,0.675,0.179
1732928418567,2024-11-29T20.00.18.567,2.090,-0.676,0.645,0.179
1732928418577,2024-11-29T20.00.18.577,2.100,-0.712,0.625,0.188
1732928418587,2024-11-29T20.00.18.587,2.110,-0.720,0.610,0.186
1732928418597,2024-11-29T20.00.18.597,2.120,-0.726,0.596,0.181
1732928418607,2024-11-29T20.00.18.607,2.130,-0.726,0.578,0.176
1732928418617,2024-11-29T20.00.18.617,2.140,-0.730,0.552,0.174
1732928418627,2024-11-29T20.00.18.627,2.150,-0.741,0.520,0.174
1732928418637,2024-11-29T20.00.18.637,2.160,-0.757,0.487,0.170
1732928418647,2024-11-29T20.00.18.647,2.170,-0.762,0.452,0.170
1732928418657,2024-11-29T20.00.18.657,2.180,-0.780,0.422,0.168
1732928418667,2024-11-29T20.00.18.667,2.190,-0.809,0.400,0.169
1732928418677,2024-11-29T20.00.18.677,2.200,-0.830,0.385,0.179
1732928418687,2024-11-29T20.00.18.687,2.210,-0.838,0.375,0.181
1732928418697,2024-11-29T20.00.18.697,2.220,-0.844,0.368,0.177
1732928418707,2024-11-29T20.00.18.707,2.230,-0.848,0.351,0.175
1732928418717,2024-11-29T20.00.18.717,2.240,-0.850,0.338,0.174
1732928418727,2024-11-29T20.00.18.727,2.250,-0.853,0.323,0.169
1732928418737,2024-11-29T20.00.18.737,2.260,-0.853,0.320,0.167
1732928418747,2024-11-29T20.00.18.747,2.270,-0.848,0.318,0.168
1732928418757,2024-11-29T20.00.18.757,2.280,-0.855,0.320,0.168
1732928418767,2024-11-29T20.00.18.767,2.290,-0.868,0.328,0.169
1732928418777,2024-11-29T20.00.18.777,2.300,-0.878,0.337,0.169
1732928418787,2024-11-29T20.00.18.787,2.310,-0.874,0.339,0.170
1732928418797,2024-11-29T20.00.18.797,2.320,-0.876,0.339,0.168
1732928418807,2024-11-29T20.00.18.807,2.330,-0.878,0.345,0.168
1732928418817,2024-11-29T20.00.18.817,2.340,-0.871,0.352,0.161
1732928418827,2024-11-29T20.00.18.827,2.350,-0.867,0.362,0.159
1732928418837,2024-11-29T20.00.18.837,2.360,-0.868,0.372,0.164
1732928418847,2024-11-29T20.00.18.847,2.370,-0.874,0.371,0.168
1732928418857,2024-11-29T20.00.18.857,2.380,-0.885,0.373,0.169
1732928418867,2024-11-29T20.00.18.867,2.390,-0.909,0.383,0.171
