epoc (ms),timestamp (-0500),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1732928416503,2024-11-29T20.00.16.503,0.000,0.000,-0.122,-1.220
1732928416513,2024-11-29T20.00.16.513,0.010,0.061,0.000,-1.646
1732928416523,2024-11-29T20.00.16.523,0.020,0.061,0.000,-1.037
1732928416533,2024-11-29T20.00.16.533,0.030,0.183,-0.244,-0.732
1732928416543,2024-11-29T20.00.16.543,0.040,0.305,-0.183,-0.671
1732928416553,2024-11-29T20.00.16.553,0.050,0.427,-0.122,-0.854
1732928416563,2024-11-29T20.00.16.563,0.060,0.488,0.061,-0.976
1732928416573,2024-11-29T20.00.16.573,0.070,0.488,0.305,-1.280
1732928416583,2024-11-29T20.00.16.583,0.080,0.244,0.610,-1.463
1732928416593,2024-11-29T20.00.16.593,0.090,-0.061,0.915,-1.646
1732928416603,2024-11-29T20.00.16.603,0.100,-0.366,0.976,-1.890
1732928416613,2024-11-29T20.00.16.613,0.110,-0.488,1.098,-1.829
1732928416623,2024-11-29T20.00.16.623,0.120,-0.671,1.280,-1.585
1732928416633,2024-11-29T20.00.16.633,0.130,-0.732,1.159,-1.341
1732928416643,2024-11-29T20.00.16.643,0.140,-0.488,0.976,-0.793
1732928416653,2024-11-29T20.00.16.653,0.150,-0.244,0.915,-0.366
1732928416663,2024-11-29T20.00.16.663,0.160,-0.061,0.915,-0.061
1732928416673,2024-11-29T20.00.16.673,0.170,0.183,0.854,0.305
1732928416683,2024-11-29T20.00.16.683,0.180,0.488,0.671,0.793
1732928416693,2024-11-29T20.00.16.693,0.190,0.549,0.671,1.037
1732928416703,2024-11-29T20.00.16.703,0.200,0.427,0.732,1.159
1732928416713,2024-11-29T20.00.16.713,0.210,0.305,0.549,1.159
1732928416723,2024-11-29T20.00.16.723,0.220,0.122,0.000,1.037
1732928416733,2024-11-29T20.00.16.733,0.230,-0.061,0.000,0.793
1732928416743,2024-11-29T20.00.16.743,0.240,-0.122,0.061,0.427
1732928416753,2024-11-29T20.00.16.753,0.250,-0.244,-0.915,0.427
1732928416763,2024-11-29T20.00.16.763,0.260,-0.183,-1.890,0.305
1732928416773,2024-11-29T20.00.16.773,0.270,0.183,-2.012,0.183
1732928416783,2024-11-29T20.00.16.783,0.280,0.671,-1.768,0.122
1732928416793,2024-11-29T20.00.16.793,0.290,1.037,-1.463,0.061
1732928416803,2024-11-29T20.00.16.803,0.300,1.341,-0.793,-0.183
1732928416813,2024-11-29T20.00.16.813,0.310,1.341,-0.244,-0.183
1732928416823,2024-11-29T20.00.16.823,0.320,1.280,-0.061,-0.244
1732928416833,2024-11-29T20.00.16.833,0.330,1.037,0.061,-0.366
1732928416843,2024-11-29T20.00.16.843,0.340,0.549,0.305,-0.366
1732928416853,2024-11-29T20.00.16.853,0.350,0.000,0.427,-0.366
1732928416863,2024-11-29T20.00.16.863,0.360,-0.549,0.549,-0.366
1732928416873,2024-11-29T20.00.16.873,0.370,-0.976,0.732,-0.366
1732928416883,2024-11-29T20.00.16.883,0.380,-1.341,0.793,-0.366
1732928416893,2024-11-29T20.00.16.893,0.390,-1.402,0.915,-0.427
1732928416903,2024-11-29T20.00.16.903,0.400,-1.341,0.976,-0.549
1732928416913,2024-11-29T20.00.16.913,0.410,-0.915,1.037,-0.732
1732928416923,2024-11-29T20.00.16.923,0.420,-0.671,0.915,-0.854
1732928416933,2024-11-29T20.00.16.933,0.430,-0.122,0.549,-0.793
1732928416943,2024-11-29T20.00.16.943,0.440,0.244,0.122,-0.976
1732928416953,2024-11-29T20.00.16.953,0.450,0.549,-0.183,-0.915
1732928416963,2024-11-29T20.00.16.963,0.460,0.854,0.061,-0.915
1732928416973,2024-11-29T20.00.16.973,0.470,0.854,0.854,-1.220
1732928416983,2024-11-29T20.00.16.983,0.480,0.610,1.037,-1.341
1732928416993,2024-11-29T20.00.16.993,0.490,0.305,0.061,-1.220
1732928417003,2024-11-29T20.00.17.003,0.500,-0.061,-0.671,-1.159
1732928417013,2024-11-29T20.00.17.013,0.510,-0.183,-0.488,-1.098
1732928417023,2024-11-29T20.00.17.023,0.520,-0.183,-0.244,-0.976
1732928417033,2024-11-29T20.00.17.033,0.530,-0.122,0.061,-0.915
1732928417043,2024-11-29T20.00.17.043,0.540,-0.244,0.244,-0.915
1732928417053,2024-11-29T20.00.17.053,0.550,-0.183,0.244,-0.793
1732928417063,2024-11-29T20.00.17.063,0.560,0.000,0.305,-0.793
1732928417073,2024-11-29T20.00.17.073,0.570,0.122,0.305,-0.793
1732928417083,2024-11-29T20.00.17.083,0.580,0.122,0.183,-0.854
1732928417093,2024-11-29T20.00.17.093,0.590,0.061,0.122,-0.915
1732928417103,2024-11-29T20.00.17.103,0.600,0.122,0.061,-1.037
1732928417113,2024-11-29T20.00.17.113,0.610,-0.061,-0.061,-1.098
1732928417123,2024-11-29T20.00.17.123,0.620,-0.244,-0.244,-1.280
1732928417133,2024-11-29T20.00.17.133,0.630,-0.305,-0.122,-1.524
1732928417143,2024-11-29T20.00.17.143,0.640,-0.305,-0.061,-1.585
1732928417153,2024-11-29T20.00.17.153,0.650,-0.244,-0.244,-1.402
1732928417163,2024-11-29T20.00.17.163,0.660,-0.061,-0.549,-1.280
1732928417173,2024-11-29T20.00.17.173,0.670,0.183,-0.732,-0.976
1732928417183,2024-11-29T20.00.17.183,0.680,0.488,-0.793,-0.732
1732928417193,2024-11-29T20.00.17.193,0.690,0.610,-0.915,-0.610
1732928417203,2024-11-29T20.00.17.203,0.700,0.854,-0.915,-0.427
1732928417213,2024-11-29T20.00.17.213,0.710,0.854,-0.854,-0.488
1732928417223,2024-11-29T20.00.17.223,0.720,0.793,-0.549,-0.671
1732928417233,2024-11-29T20.00.17.233,0.730,0.610,-0.244,-0.915
1732928417243,2024-11-29T20.00.17.243,0.740,0.305,-0.061,-1.220
1732928417253,2024-11-29T20.00.17.253,0.750,-0.122,0.366,-1.463
1732928417263,2024-11-29T20.00.17.263,0.760,-0.549,0.427,-1.646
1732928417273,2024-11-29T20.00.17.273,0.770,-0.671,0.305,-1.707
1732928417283,2024-11-29T20.00.17.283,0.780,-0.732,0.427,-1.768
1732928417293,2024-11-29T20.00.17.293,0.790,-0.793,0.366,-1.524
1732928417303,2024-11-29T20.00.17.303,0.800,-0.610,0.061,-1.402
1732928417313,2024-11-29T20.00.17.313,0.810,-0.183,-0.122,-1.280
1732928417323,2024-11-29T20.00.17.323,0.820,-0.061,-0.183,-1.098
1732928417333,2024-11-29T20.00.17.333,0.830,0.244,-0.122,-1.037
1732928417343,2024-11-29T20.00.17.343,0.840,0.427,-0.061,-1.159
1732928417353,2024-11-29T20.00.17.353,0.850,0.366,0.122,-1.159
1732928417363,2024-11-29T20.00.17.363,0.860,0.305,0.122,-1.037
1732928417373,2024-11-29T20.00.17.373,0.870,0.122,0.244,-0.854
1732928417383,2024-11-29T20.00.17.383,0.880,-0.061,0.366,-0.793
1732928417393,2024-11-29T20.00.17.393,0.890,-0.366,0.610,-0.671
1732928417403,2024-11-29T20.00.17.403,0.900,-0.427,0.793,-0.488
1732928417413,2024-11-29T20.00.17.413,0.910,-0.549,0.854,-0.427
1732928417423,2024-11-29T20.00.17.423,0.920,-0.427,0.976,-0.549
1732928417433,2024-11-29T20.00.17.433,0.930,-0.244,0.976,-0.610
1732928417443,2024-11-29T20.00.17.443,0.940,0.061,0.793,-0.549
1732928417453,2024-11-29T20.00.17.453,0.950,0.244,0.488,-0.610
1732928417463,2024-11-29T20.00.17.463,0.960,0.488,0.122,-0.488
1732928417473,2024-11-29T20.00.17.473,0.970,0.854,-0.305,-0.366
1732928417483,2024-11-29T20.00.17.483,0.980,0.976,-0.427,-0.305
1732928417493,2024-11-29T20.00.17.493,0.990,1.037,-0.488,-0.305
1732928417503,2024-11-29T20.00.17.503,1.000,1.159,-0.671,-0.305
1732928417513,2024-11-29T20.00.17.513,1.010,1.220,-0.610,-0.427
1732928417523,2024-11-29T20.00.17.523,1.020,1.098,-0.671,-0.549
1732928417533,2024-11-29T20.00.17.533,1.030,0.976,-0.793,-0.549
1732928417543,2024-11-29T20.00.17.543,1.040,0.671,-0.854,-0.305
1732928417553,2024-11-29T20.00.17.553,1.050,0.610,-0.610,-0.305
1732928417563,2024-11-29T20.00.17.563,1.060,0.427,-0.305,-0.244
1732928417573,2024-11-29T20.00.17.573,1.070,0.366,-0.427,-0.244
1732928417583,2024-11-29T20.00.17.583,1.080,0.183,-0.732,-0.244
1732928417593,2024-11-29T20.00.17.593,1.090,0.305,-0.610,-0.488
1732928417603,2024-11-29T20.00.17.603,1.100,0.305,-0.732,-0.793
1732928417613,2024-11-29T20.00.17.613,1.110,0.244,-1.585,-0.793
1732928417623,2024-11-29T20.00.17.623,1.120,0.305,-2.317,-0.732
1732928417633,2024-11-29T20.00.17.633,1.130,0.671,-2.439,-0.732
1732928417643,2024-11-29T20.00.17.643,1.140,0.915,-2.134,-0.671
1732928417653,2024-11-29T20.00.17.653,1.150,0.915,-1.646,-0.549
1732928417663,2024-11-29T20.00.17.663,1.160,0.915,-0.854,-0.671
1732928417673,2024-11-29T20.00.17.673,1.170,0.793,-0.305,-0.671
1732928417683,2024-11-29T20.00.17.683,1.180,0.488,0.183,-0.610
1732928417693,2024-11-29T20.00.17.693,1.190,0.183,0.610,-0.610
1732928417703,2024-11-29T20.00.17.703,1.200,-0.122,0.793,-0.549
1732928417713,2024-11-29T20.00.17.713,1.210,-0.427,0.793,-0.488
1732928417723,2024-11-29T20.00.17.723,1.220,-0.732,0.793,-0.366
1732928417733,2024-11-29T20.00.17.733,1.230,-0.671,0.793,-0.244
1732928417743,2024-11-29T20.00.17.743,1.240,-0.549,0.732,-0.061
1732928417753,2024-11-29T20.00.17.753,1.250,-0.061,0.732,0.244
1732928417763,2024-11-29T20.00.17.763,1.260,0.366,0.732,0.549
1732928417773,2024-11-29T20.00.17.773,1.270,0.976,0.671,1.098
1732928417783,2024-11-29T20.00.17.783,1.280,1.829,0.122,2.134
1732928417793,2024-11-29T20.00.17.793,1.290,2.561,-0.427,3.354
