epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1.73277E+12,2024-11-27T23.06.21.623,1.5,-0.956,0.241,0.153
1.73277E+12,2024-11-27T23.06.21.633,1.51,-0.959,0.247,0.154
1.73277E+12,2024-11-27T23.06.21.643,1.52,-0.961,0.246,0.155
1.73277E+12,2024-11-27T23.06.21.653,1.53,-0.962,0.247,0.156
1.73277E+12,2024-11-27T23.06.21.663,1.54,-0.959,0.245,0.157
1.73277E+12,2024-11-27T23.06.21.673,1.55,-0.963,0.242,0.155
1.73277E+12,2024-11-27T23.06.21.683,1.56,-0.972,0.242,0.158
1.73277E+12,2024-11-27T23.06.21.693,1.57,-0.967,0.236,0.158
1.73277E+12,2024-11-27T23.06.21.703,1.58,-0.958,0.232,0.158
1.73277E+12,2024-11-27T23.06.21.713,1.59,-0.951,0.234,0.155
1.73277E+12,2024-11-27T23.06.21.723,1.6,-0.961,0.236,0.157
1.73277E+12,2024-11-27T23.06.21.733,1.61,-0.961,0.24,0.158
1.73277E+12,2024-11-27T23.06.21.743,1.62,-0.961,0.241,0.161
1.73277E+12,2024-11-27T23.06.21.753,1.63,-0.962,0.245,0.16
1.73277E+12,2024-11-27T23.06.21.763,1.64,-0.962,0.247,0.163
1.73277E+12,2024-11-27T23.06.21.773,1.65,-0.96,0.248,0.161
1.73277E+12,2024-11-27T23.06.21.783,1.66,-0.959,0.248,0.16
1.73277E+12,2024-11-27T23.06.21.793,1.67,-0.956,0.245,0.158
1.73277E+12,2024-11-27T23.06.21.803,1.68,-0.951,0.244,0.16
1.73277E+12,2024-11-27T23.06.21.813,1.69,-0.955,0.245,0.164
1.73277E+12,2024-11-27T23.06.21.823,1.7,-0.96,0.24,0.165
1.73277E+12,2024-11-27T23.06.21.833,1.71,-0.965,0.238,0.17
1.73277E+12,2024-11-27T23.06.21.843,1.72,-0.953,0.236,0.178
1.73277E+12,2024-11-27T23.06.21.853,1.73,-0.955,0.225,0.172
1.73277E+12,2024-11-27T23.06.21.863,1.74,-0.968,0.224,0.181
1.73277E+12,2024-11-27T23.06.21.873,1.75,-0.971,0.221,0.186
1.73277E+12,2024-11-27T23.06.21.883,1.76,-0.975,0.22,0.187
1.73277E+12,2024-11-27T23.06.21.893,1.77,-0.979,0.217,0.193
1.73277E+12,2024-11-27T23.06.21.903,1.78,-0.98,0.217,0.197
1.73277E+12,2024-11-27T23.06.21.913,1.79,-0.984,0.216,0.198
1.73277E+12,2024-11-27T23.06.21.923,1.8,-0.987,0.217,0.197
1.73277E+12,2024-11-27T23.06.21.933,1.81,-0.989,0.212,0.196
1.73277E+12,2024-11-27T23.06.21.943,1.82,-0.987,0.211,0.193
1.73277E+12,2024-11-27T23.06.21.953,1.83,-0.983,0.214,0.188
1.73277E+12,2024-11-27T23.06.21.963,1.84,-0.976,0.214,0.184
1.73277E+12,2024-11-27T23.06.21.973,1.85,-0.971,0.213,0.183
1.73277E+12,2024-11-27T23.06.21.983,1.86,-0.972,0.215,0.177
1.73277E+12,2024-11-27T23.06.21.993,1.87,-0.974,0.215,0.171
1.73277E+12,2024-11-27T23.06.22.003,1.88,-0.983,0.214,0.17
1.73277E+12,2024-11-27T23.06.22.013,1.89,-0.983,0.22,0.17
1.73277E+12,2024-11-27T23.06.22.023,1.9,-0.977,0.226,0.168
1.73277E+12,2024-11-27T23.06.22.033,1.91,-0.98,0.223,0.164
1.73277E+12,2024-11-27T23.06.22.043,1.92,-0.988,0.226,0.164
1.73277E+12,2024-11-27T23.06.22.053,1.93,-0.989,0.224,0.16
1.73277E+12,2024-11-27T23.06.22.063,1.94,-0.987,0.227,0.151
1.73277E+12,2024-11-27T23.06.22.073,1.95,-0.982,0.231,0.145
1.73277E+12,2024-11-27T23.06.22.083,1.96,-0.979,0.231,0.136
1.73277E+12,2024-11-27T23.06.22.093,1.97,-0.978,0.233,0.131
1.73277E+12,2024-11-27T23.06.22.103,1.98,-0.98,0.234,0.126
1.73277E+12,2024-11-27T23.06.22.113,1.99,-0.983,0.233,0.123
1.73277E+12,2024-11-27T23.06.22.123,2,-0.987,0.233,0.115
1.73277E+12,2024-11-27T23.06.22.133,2.01,-0.982,0.233,0.107
1.73277E+12,2024-11-27T23.06.22.143,2.02,-0.981,0.235,0.096
1.73277E+12,2024-11-27T23.06.22.153,2.03,-0.989,0.231,0.094
1.73277E+12,2024-11-27T23.06.22.163,2.04,-1,0.235,0.088
1.73277E+12,2024-11-27T23.06.22.173,2.05,-0.998,0.236,0.08
1.73277E+12,2024-11-27T23.06.22.183,2.06,-0.992,0.234,0.072
1.73277E+12,2024-11-27T23.06.22.193,2.07,-0.986,0.236,0.061
1.73277E+12,2024-11-27T23.06.22.203,2.08,-0.988,0.235,0.058
1.73277E+12,2024-11-27T23.06.22.213,2.09,-0.988,0.232,0.05
1.73277E+12,2024-11-27T23.06.22.223,2.1,-0.984,0.234,0.043
1.73277E+12,2024-11-27T23.06.22.233,2.11,-0.982,0.237,0.031
1.73277E+12,2024-11-27T23.06.22.243,2.12,-0.988,0.238,0.019
1.73277E+12,2024-11-27T23.06.22.253,2.13,-0.986,0.242,0.01
1.73277E+12,2024-11-27T23.06.22.263,2.14,-0.98,0.244,0.004
1.73277E+12,2024-11-27T23.06.22.273,2.15,-0.974,0.245,-0.008
1.73277E+12,2024-11-27T23.06.22.283,2.16,-0.981,0.25,-0.016
1.73277E+12,2024-11-27T23.06.22.293,2.17,-0.984,0.251,-0.019
1.73277E+12,2024-11-27T23.06.22.303,2.18,-0.986,0.25,-0.029
1.73277E+12,2024-11-27T23.06.22.313,2.19,-0.991,0.252,-0.035
1.73277E+12,2024-11-27T23.06.22.323,2.2,-1,0.248,-0.036
1.73277E+12,2024-11-27T23.06.22.333,2.21,-0.997,0.244,-0.043
1.73277E+12,2024-11-27T23.06.22.343,2.22,-0.995,0.243,-0.054
1.73277E+12,2024-11-27T23.06.22.353,2.23,-0.99,0.245,-0.061
1.73277E+12,2024-11-27T23.06.22.363,2.24,-0.98,0.247,-0.078
1.73277E+12,2024-11-27T23.06.22.373,2.25,-0.974,0.248,-0.089
1.73277E+12,2024-11-27T23.06.22.383,2.26,-0.968,0.245,-0.103
1.73277E+12,2024-11-27T23.06.22.393,2.27,-0.965,0.246,-0.117
1.73277E+12,2024-11-27T23.06.22.403,2.28,-0.965,0.247,-0.135
1.73277E+12,2024-11-27T23.06.22.413,2.29,-0.955,0.242,-0.155
1.73277E+12,2024-11-27T23.06.22.423,2.3,-0.947,0.243,-0.174
1.73277E+12,2024-11-27T23.06.22.433,2.31,-0.937,0.25,-0.19
1.73277E+12,2024-11-27T23.06.22.443,2.32,-0.915,0.246,-0.213
1.73277E+12,2024-11-27T23.06.22.453,2.33,-0.911,0.244,-0.23
1.73277E+12,2024-11-27T23.06.22.463,2.34,-0.916,0.26,-0.247
1.73277E+12,2024-11-27T23.06.22.473,2.35,-0.911,0.267,-0.263
1.73277E+12,2024-11-27T23.06.22.483,2.36,-0.893,0.268,-0.282
1.73277E+12,2024-11-27T23.06.22.493,2.37,-0.872,0.269,-0.313
1.73277E+12,2024-11-27T23.06.22.503,2.38,-0.873,0.266,-0.333
1.73277E+12,2024-11-27T23.06.22.513,2.39,-0.873,0.269,-0.341
1.73277E+12,2024-11-27T23.06.22.523,2.4,-0.862,0.268,-0.353
1.73277E+12,2024-11-27T23.06.22.533,2.41,-0.864,0.259,-0.364
1.73277E+12,2024-11-27T23.06.22.543,2.42,-0.869,0.264,-0.37
1.73277E+12,2024-11-27T23.06.22.553,2.43,-0.86,0.279,-0.384
1.73277E+12,2024-11-27T23.06.22.563,2.44,-0.844,0.297,-0.4
1.73277E+12,2024-11-27T23.06.22.573,2.45,-0.832,0.307,-0.428
1.73277E+12,2024-11-27T23.06.22.583,2.46,-0.82,0.318,-0.446
1.73277E+12,2024-11-27T23.06.22.593,2.47,-0.81,0.317,-0.45
1.73277E+12,2024-11-27T23.06.22.603,2.48,-0.833,0.323,-0.449
1.73277E+12,2024-11-27T23.06.22.613,2.49,-0.853,0.344,-0.454
1.73277E+12,2024-11-27T23.06.22.623,2.5,-0.833,0.354,-0.476
