epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1732904125486,2024-11-29T13.15.25.486,0.000,-0.929,0.319,0.181
1732904125496,2024-11-29T13.15.25.496,0.010,-0.938,0.322,0.184
1732904125506,2024-11-29T13.15.25.506,0.020,-0.937,0.320,0.183
1732904125516,2024-11-29T13.15.25.516,0.030,-0.936,0.320,0.183
1732904125526,2024-11-29T13.15.25.526,0.040,-0.933,0.321,0.180
1732904125536,2024-11-29T13.15.25.536,0.050,-0.931,0.323,0.178
1732904125546,2024-11-29T13.15.25.546,0.060,-0.936,0.322,0.180
1732904125556,2024-11-29T13.15.25.556,0.070,-0.938,0.325,0.179
1732904125566,2024-11-29T13.15.25.566,0.080,-0.935,0.327,0.176
1732904125576,2024-11-29T13.15.25.576,0.090,-0.934,0.326,0.180
1732904125586,2024-11-29T13.15.25.586,0.100,-0.934,0.330,0.179
1732904125596,2024-11-29T13.15.25.596,0.110,-0.932,0.331,0.178
1732904125606,2024-11-29T13.15.25.606,0.120,-0.934,0.330,0.180
1732904125616,2024-11-29T13.15.25.616,0.130,-0.932,0.324,0.180
1732904125626,2024-11-29T13.15.25.626,0.140,-0.935,0.333,0.178
1732904125636,2024-11-29T13.15.25.636,0.150,-0.937,0.331,0.178
1732904125646,2024-11-29T13.15.25.646,0.160,-0.938,0.328,0.177
1732904125656,2024-11-29T13.15.25.656,0.170,-0.938,0.330,0.177
1732904125666,2024-11-29T13.15.25.666,0.180,-0.936,0.331,0.178
1732904125676,2024-11-29T13.15.25.676,0.190,-0.933,0.332,0.176
1732904125686,2024-11-29T13.15.25.686,0.200,-0.936,0.334,0.179
1732904125696,2024-11-29T13.15.25.696,0.210,-0.934,0.331,0.179
1732904125706,2024-11-29T13.15.25.706,0.220,-0.933,0.326,0.178
1732904125716,2024-11-29T13.15.25.716,0.230,-0.936,0.326,0.183
1732904125726,2024-11-29T13.15.25.726,0.240,-0.936,0.325,0.182
1732904125736,2024-11-29T13.15.25.736,0.250,-0.930,0.325,0.180
1732904125746,2024-11-29T13.15.25.746,0.260,-0.928,0.323,0.177
1732904125756,2024-11-29T13.15.25.756,0.270,-0.933,0.324,0.181
1732904125766,2024-11-29T13.15.25.766,0.280,-0.935,0.325,0.181
1732904125776,2024-11-29T13.15.25.776,0.290,-0.931,0.324,0.178
1732904125786,2024-11-29T13.15.25.786,0.300,-0.933,0.326,0.176
1732904125796,2024-11-29T13.15.25.796,0.310,-0.938,0.332,0.179
1732904125806,2024-11-29T13.15.25.806,0.320,-0.938,0.333,0.180
1732904125816,2024-11-29T13.15.25.816,0.330,-0.935,0.332,0.178
1732904125826,2024-11-29T13.15.25.826,0.340,-0.935,0.330,0.182
1732904125836,2024-11-29T13.15.25.836,0.350,-0.935,0.331,0.181
1732904125846,2024-11-29T13.15.25.846,0.360,-0.931,0.329,0.181
1732904125856,2024-11-29T13.15.25.856,0.370,-0.932,0.328,0.181
1732904125866,2024-11-29T13.15.25.866,0.380,-0.933,0.327,0.182
1732904125876,2024-11-29T13.15.25.876,0.390,-0.930,0.329,0.180
1732904125886,2024-11-29T13.15.25.886,0.400,-0.929,0.330,0.180
1732904125896,2024-11-29T13.15.25.896,0.410,-0.931,0.330,0.180
1732904125906,2024-11-29T13.15.25.906,0.420,-0.930,0.334,0.177
1732904125916,2024-11-29T13.15.25.916,0.430,-0.931,0.335,0.181
1732904125926,2024-11-29T13.15.25.926,0.440,-0.935,0.335,0.183
1732904125936,2024-11-29T13.15.25.936,0.450,-0.936,0.335,0.180
1732904125946,2024-11-29T13.15.25.946,0.460,-0.937,0.334,0.181
1732904125956,2024-11-29T13.15.25.956,0.470,-0.934,0.335,0.184
1732904125966,2024-11-29T13.15.25.966,0.480,-0.930,0.333,0.185
1732904125976,2024-11-29T13.15.25.976,0.490,-0.929,0.333,0.182
1732904125986,2024-11-29T13.15.25.986,0.500,-0.938,0.333,0.181
1732904125996,2024-11-29T13.15.25.996,0.510,-0.940,0.331,0.183
1732904126006,2024-11-29T13.15.26.006,0.520,-0.930,0.327,0.184
1732904126016,2024-11-29T13.15.26.016,0.530,-0.925,0.329,0.180
1732904126026,2024-11-29T13.15.26.026,0.540,-0.927,0.329,0.177
1732904126036,2024-11-29T13.15.26.036,0.550,-0.932,0.339,0.180
1732904126046,2024-11-29T13.15.26.046,0.560,-0.931,0.338,0.180
1732904126056,2024-11-29T13.15.26.056,0.570,-0.929,0.335,0.182
1732904126066,2024-11-29T13.15.26.066,0.580,-0.936,0.338,0.181
1732904126076,2024-11-29T13.15.26.076,0.590,-0.935,0.336,0.181
1732904126086,2024-11-29T13.15.26.086,0.600,-0.934,0.335,0.181
1732904126096,2024-11-29T13.15.26.096,0.610,-0.931,0.332,0.181
1732904126106,2024-11-29T13.15.26.106,0.620,-0.931,0.328,0.179
1732904126116,2024-11-29T13.15.26.116,0.630,-0.931,0.326,0.180
1732904126126,2024-11-29T13.15.26.126,0.640,-0.934,0.327,0.181
1732904126136,2024-11-29T13.15.26.136,0.650,-0.932,0.326,0.182
1732904126146,2024-11-29T13.15.26.146,0.660,-0.934,0.325,0.182
1732904126156,2024-11-29T13.15.26.156,0.670,-0.935,0.328,0.180
1732904126166,2024-11-29T13.15.26.166,0.680,-0.936,0.326,0.179
1732904126176,2024-11-29T13.15.26.176,0.690,-0.933,0.327,0.182
1732904126186,2024-11-29T13.15.26.186,0.700,-0.934,0.326,0.180
1732904126196,2024-11-29T13.15.26.196,0.710,-0.932,0.326,0.182
1732904126206,2024-11-29T13.15.26.206,0.720,-0.933,0.328,0.181
1732904126216,2024-11-29T13.15.26.216,0.730,-0.936,0.323,0.181
1732904126226,2024-11-29T13.15.26.226,0.740,-0.938,0.321,0.182
1732904126236,2024-11-29T13.15.26.236,0.750,-0.937,0.323,0.184
1732904126246,2024-11-29T13.15.26.246,0.760,-0.937,0.321,0.185
1732904126256,2024-11-29T13.15.26.256,0.770,-0.936,0.320,0.184
1732904126266,2024-11-29T13.15.26.266,0.780,-0.933,0.318,0.183
1732904126276,2024-11-29T13.15.26.276,0.790,-0.932,0.321,0.182
1732904126286,2024-11-29T13.15.26.286,0.800,-0.934,0.321,0.184
1732904126296,2024-11-29T13.15.26.296,0.810,-0.938,0.322,0.182
1732904126306,2024-11-29T13.15.26.306,0.820,-0.938,0.322,0.182
1732904126316,2024-11-29T13.15.26.316,0.830,-0.938,0.326,0.182
1732904126326,2024-11-29T13.15.26.326,0.840,-0.936,0.325,0.184
1732904126336,2024-11-29T13.15.26.336,0.850,-0.936,0.326,0.183
1732904126346,2024-11-29T13.15.26.346,0.860,-0.937,0.327,0.184
1732904126356,2024-11-29T13.15.26.356,0.870,-0.938,0.327,0.186
1732904126366,2024-11-29T13.15.26.366,0.880,-0.938,0.329,0.184
1732904126376,2024-11-29T13.15.26.376,0.890,-0.939,0.328,0.183
1732904126386,2024-11-29T13.15.26.386,0.900,-0.938,0.328,0.185
1732904126396,2024-11-29T13.15.26.396,0.910,-0.936,0.326,0.184
1732904126406,2024-11-29T13.15.26.406,0.920,-0.933,0.327,0.184
1732904126416,2024-11-29T13.15.26.416,0.930,-0.936,0.327,0.184
1732904126426,2024-11-29T13.15.26.426,0.940,-0.942,0.327,0.192
1732904126436,2024-11-29T13.15.26.436,0.950,-0.947,0.326,0.197
1732904126446,2024-11-29T13.15.26.446,0.960,-0.948,0.323,0.199
1732904126456,2024-11-29T13.15.26.456,0.970,-0.957,0.331,0.205
1732904126466,2024-11-29T13.15.26.466,0.980,-0.961,0.343,0.214
1732904126476,2024-11-29T13.15.26.476,0.990,-0.965,0.330,0.221
1732904126486,2024-11-29T13.15.26.486,1.000,-0.955,0.327,0.216
1732904126496,2024-11-29T13.15.26.496,1.010,-0.955,0.327,0.212
1732904126506,2024-11-29T13.15.26.506,1.020,-0.963,0.331,0.213
1732904126516,2024-11-29T13.15.26.516,1.030,-0.971,0.324,0.212
1732904126526,2024-11-29T13.15.26.526,1.040,-0.971,0.322,0.213
1732904126536,2024-11-29T13.15.26.536,1.050,-0.962,0.317,0.213
1732904126546,2024-11-29T13.15.26.546,1.060,-0.960,0.312,0.211
1732904126556,2024-11-29T13.15.26.556,1.070,-0.962,0.315,0.210
1732904126566,2024-11-29T13.15.26.566,1.080,-0.957,0.313,0.198
1732904126576,2024-11-29T13.15.26.576,1.090,-0.959,0.310,0.190
1732904126586,2024-11-29T13.15.26.586,1.100,-0.977,0.321,0.180
1732904126596,2024-11-29T13.15.26.596,1.110,-0.985,0.333,0.172
1732904126606,2024-11-29T13.15.26.606,1.120,-0.968,0.337,0.171
1732904126616,2024-11-29T13.15.26.616,1.130,-0.967,0.343,0.163
1732904126626,2024-11-29T13.15.26.626,1.140,-0.950,0.341,0.151
1732904126636,2024-11-29T13.15.26.636,1.150,-0.951,0.341,0.152
1732904126646,2024-11-29T13.15.26.646,1.160,-0.970,0.345,0.161
1732904126656,2024-11-29T13.15.26.656,1.170,-0.979,0.349,0.160
1732904126666,2024-11-29T13.15.26.666,1.180,-0.984,0.352,0.148
1732904126676,2024-11-29T13.15.26.676,1.190,-0.989,0.357,0.139
1732904126686,2024-11-29T13.15.26.686,1.200,-0.992,0.359,0.123
1732904126696,2024-11-29T13.15.26.696,1.210,-0.984,0.362,0.107
1732904126706,2024-11-29T13.15.26.706,1.220,-0.982,0.357,0.097
1732904126716,2024-11-29T13.15.26.716,1.230,-0.979,0.352,0.086
1732904126726,2024-11-29T13.15.26.726,1.240,-0.973,0.343,0.079
1732904126736,2024-11-29T13.15.26.736,1.250,-0.968,0.335,0.078
1732904126746,2024-11-29T13.15.26.746,1.260,-0.977,0.334,0.064
1732904126756,2024-11-29T13.15.26.756,1.270,-0.981,0.340,0.044
1732904126766,2024-11-29T13.15.26.766,1.280,-0.960,0.348,0.013
1732904126776,2024-11-29T13.15.26.776,1.290,-0.942,0.340,-0.015
1732904126786,2024-11-29T13.15.26.786,1.300,-0.951,0.341,-0.034
1732904126796,2024-11-29T13.15.26.796,1.310,-0.958,0.341,-0.044
1732904126806,2024-11-29T13.15.26.806,1.320,-0.949,0.340,-0.072
1732904126816,2024-11-29T13.15.26.816,1.330,-0.909,0.339,-0.115
1732904126826,2024-11-29T13.15.26.826,1.340,-0.858,0.343,-0.169
1732904126836,2024-11-29T13.15.26.836,1.350,-0.823,0.339,-0.216
1732904126846,2024-11-29T13.15.26.846,1.360,-0.816,0.344,-0.259
1732904126856,2024-11-29T13.15.26.856,1.370,-0.798,0.362,-0.315
1732904126866,2024-11-29T13.15.26.866,1.380,-0.766,0.355,-0.371
1732904126876,2024-11-29T13.15.26.876,1.390,-0.742,0.351,-0.433
1732904126886,2024-11-29T13.15.26.886,1.400,-0.737,0.353,-0.479
1732904126896,2024-11-29T13.15.26.896,1.410,-0.741,0.355,-0.504
1732904126906,2024-11-29T13.15.26.906,1.420,-0.757,0.356,-0.520
1732904126916,2024-11-29T13.15.26.916,1.430,-0.767,0.351,-0.538
1732904126926,2024-11-29T13.15.26.926,1.440,-0.756,0.352,-0.562
1732904126936,2024-11-29T13.15.26.936,1.450,-0.751,0.351,-0.573
1732904126946,2024-11-29T13.15.26.946,1.460,-0.756,0.351,-0.576
1732904126956,2024-11-29T13.15.26.956,1.470,-0.761,0.350,-0.578
1732904126966,2024-11-29T13.15.26.966,1.480,-0.779,0.349,-0.570
1732904126976,2024-11-29T13.15.26.976,1.490,-0.787,0.353,-0.558
1732904126986,2024-11-29T13.15.26.986,1.500,-0.783,0.343,-0.553
1732904126996,2024-11-29T13.15.26.996,1.510,-0.789,0.335,-0.549
1732904127006,2024-11-29T13.15.27.006,1.520,-0.802,0.331,-0.546
1732904127016,2024-11-29T13.15.27.016,1.530,-0.821,0.332,-0.539
1732904127026,2024-11-29T13.15.27.026,1.540,-0.832,0.338,-0.531
1732904127036,2024-11-29T13.15.27.036,1.550,-0.820,0.338,-0.531
1732904127046,2024-11-29T13.15.27.046,1.560,-0.812,0.340,-0.533
1732904127056,2024-11-29T13.15.27.056,1.570,-0.809,0.339,-0.530
1732904127066,2024-11-29T13.15.27.066,1.580,-0.806,0.333,-0.527
1732904127076,2024-11-29T13.15.27.076,1.590,-0.810,0.330,-0.528
1732904127086,2024-11-29T13.15.27.086,1.600,-0.818,0.326,-0.524
1732904127096,2024-11-29T13.15.27.096,1.610,-0.815,0.326,-0.524
1732904127106,2024-11-29T13.15.27.106,1.620,-0.799,0.327,-0.524
1732904127116,2024-11-29T13.15.27.116,1.630,-0.792,0.320,-0.525
1732904127126,2024-11-29T13.15.27.126,1.640,-0.789,0.312,-0.518
1732904127136,2024-11-29T13.15.27.136,1.650,-0.803,0.305,-0.509
1732904127146,2024-11-29T13.15.27.146,1.660,-0.822,0.300,-0.496
1732904127156,2024-11-29T13.15.27.156,1.670,-0.837,0.305,-0.479
1732904127166,2024-11-29T13.15.27.166,1.680,-0.842,0.311,-0.463
1732904127176,2024-11-29T13.15.27.176,1.690,-0.837,0.313,-0.455
1732904127186,2024-11-29T13.15.27.186,1.700,-0.837,0.312,-0.438
1732904127196,2024-11-29T13.15.27.196,1.710,-0.847,0.310,-0.420
1732904127206,2024-11-29T13.15.27.206,1.720,-0.850,0.310,-0.402
1732904127216,2024-11-29T13.15.27.216,1.730,-0.858,0.307,-0.389
1732904127226,2024-11-29T13.15.27.226,1.740,-0.872,0.308,-0.372
1732904127236,2024-11-29T13.15.27.236,1.750,-0.879,0.310,-0.354
1732904127246,2024-11-29T13.15.27.246,1.760,-0.880,0.310,-0.339
1732904127256,2024-11-29T13.15.27.256,1.770,-0.875,0.314,-0.328
1732904127266,2024-11-29T13.15.27.266,1.780,-0.874,0.320,-0.314
1732904127276,2024-11-29T13.15.27.276,1.790,-0.882,0.317,-0.292
1732904127286,2024-11-29T13.15.27.286,1.800,-0.893,0.321,-0.272
1732904127296,2024-11-29T13.15.27.296,1.810,-0.909,0.324,-0.252
1732904127306,2024-11-29T13.15.27.306,1.820,-0.917,0.330,-0.230
1732904127316,2024-11-29T13.15.27.316,1.830,-0.918,0.339,-0.213
1732904127326,2024-11-29T13.15.27.326,1.840,-0.928,0.335,-0.193
1732904127336,2024-11-29T13.15.27.336,1.850,-0.936,0.329,-0.171
1732904127346,2024-11-29T13.15.27.346,1.860,-0.944,0.312,-0.153
1732904127356,2024-11-29T13.15.27.356,1.870,-0.949,0.304,-0.135
1732904127366,2024-11-29T13.15.27.366,1.880,-0.949,0.307,-0.122
1732904127376,2024-11-29T13.15.27.376,1.890,-0.955,0.314,-0.115
1732904127386,2024-11-29T13.15.27.386,1.900,-0.956,0.324,-0.108
1732904127396,2024-11-29T13.15.27.396,1.910,-0.957,0.333,-0.098
1732904127406,2024-11-29T13.15.27.406,1.920,-0.949,0.340,-0.080
1732904127416,2024-11-29T13.15.27.416,1.930,-0.943,0.340,-0.064
1732904127426,2024-11-29T13.15.27.426,1.940,-0.934,0.338,-0.057
1732904127436,2024-11-29T13.15.27.436,1.950,-0.924,0.337,-0.049
1732904127446,2024-11-29T13.15.27.446,1.960,-0.915,0.344,-0.045
1732904127456,2024-11-29T13.15.27.456,1.970,-0.903,0.342,-0.043
1732904127466,2024-11-29T13.15.27.466,1.980,-0.900,0.337,-0.032
