epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1732904904831,2024-11-29T13.28.24.831,0.000,-0.907,0.376,0.184
1732904904841,2024-11-29T13.28.24.841,0.010,-0.913,0.379,0.186
1732904904851,2024-11-29T13.28.24.851,0.020,-0.914,0.381,0.187
1732904904861,2024-11-29T13.28.24.861,0.030,-0.912,0.384,0.187
1732904904871,2024-11-29T13.28.24.871,0.040,-0.908,0.382,0.182
1732904904881,2024-11-29T13.28.24.881,0.050,-0.911,0.384,0.185
1732904904891,2024-11-29T13.28.24.891,0.060,-0.909,0.383,0.187
1732904904901,2024-11-29T13.28.24.901,0.070,-0.911,0.381,0.186
1732904904911,2024-11-29T13.28.24.911,0.080,-0.910,0.379,0.188
1732904904921,2024-11-29T13.28.24.921,0.090,-0.909,0.382,0.184
1732904904931,2024-11-29T13.28.24.931,0.100,-0.908,0.378,0.185
1732904904941,2024-11-29T13.28.24.941,0.110,-0.909,0.377,0.188
1732904904951,2024-11-29T13.28.24.951,0.120,-0.913,0.381,0.187
1732904904961,2024-11-29T13.28.24.961,0.130,-0.912,0.383,0.188
1732904904971,2024-11-29T13.28.24.971,0.140,-0.910,0.383,0.186
1732904904981,2024-11-29T13.28.24.981,0.150,-0.912,0.382,0.186
1732904904991,2024-11-29T13.28.24.991,0.160,-0.912,0.383,0.188
1732904905001,2024-11-29T13.28.25.001,0.170,-0.909,0.382,0.188
1732904905011,2024-11-29T13.28.25.011,0.180,-0.910,0.383,0.187
1732904905021,2024-11-29T13.28.25.021,0.190,-0.912,0.382,0.184
1732904905031,2024-11-29T13.28.25.031,0.200,-0.911,0.377,0.182
1732904905041,2024-11-29T13.28.25.041,0.210,-0.913,0.377,0.186
1732904905051,2024-11-29T13.28.25.051,0.220,-0.913,0.376,0.187
1732904905061,2024-11-29T13.28.25.061,0.230,-0.911,0.376,0.185
1732904905071,2024-11-29T13.28.25.071,0.240,-0.913,0.377,0.187
1732904905081,2024-11-29T13.28.25.081,0.250,-0.912,0.377,0.185
1732904905091,2024-11-29T13.28.25.091,0.260,-0.912,0.377,0.184
1732904905101,2024-11-29T13.28.25.101,0.270,-0.916,0.379,0.184
1732904905111,2024-11-29T13.28.25.111,0.280,-0.911,0.378,0.182
1732904905121,2024-11-29T13.28.25.121,0.290,-0.910,0.379,0.182
1732904905131,2024-11-29T13.28.25.131,0.300,-0.909,0.379,0.184
1732904905141,2024-11-29T13.28.25.141,0.310,-0.905,0.381,0.180
1732904905151,2024-11-29T13.28.25.151,0.320,-0.907,0.382,0.179
