epoc (ms),timestamp (-0500),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1.73277E+12,2024-11-27T23.06.21.625,1.5,-0.427,-0.305,0.244
1.73277E+12,2024-11-27T23.06.21.635,1.51,0,-0.61,0.366
1.73277E+12,2024-11-27T23.06.21.645,1.52,0.488,-0.732,0.305
1.73277E+12,2024-11-27T23.06.21.655,1.53,0.854,-0.61,0.305
1.73277E+12,2024-11-27T23.06.21.665,1.54,1.037,-0.732,0.244
1.73277E+12,2024-11-27T23.06.21.675,1.55,1.098,-0.671,0.183
1.73277E+12,2024-11-27T23.06.21.685,1.56,1.037,-0.122,-0.183
1.73277E+12,2024-11-27T23.06.21.695,1.57,0.671,0.427,-0.488
1.73277E+12,2024-11-27T23.06.21.705,1.58,0.183,0.122,-0.549
1.73277E+12,2024-11-27T23.06.21.715,1.59,-0.244,-0.427,-0.61
1.73277E+12,2024-11-27T23.06.21.725,1.6,-0.488,-0.427,-0.732
1.73277E+12,2024-11-27T23.06.21.735,1.61,-0.488,-0.305,-0.732
1.73277E+12,2024-11-27T23.06.21.745,1.62,-0.305,-0.305,-0.671
1.73277E+12,2024-11-27T23.06.21.755,1.63,0,-0.122,-0.732
1.73277E+12,2024-11-27T23.06.21.765,1.64,0.366,-0.244,-0.854
1.73277E+12,2024-11-27T23.06.21.775,1.65,0.793,-0.61,-1.159
1.73277E+12,2024-11-27T23.06.21.785,1.66,1.341,-0.915,-1.768
1.73277E+12,2024-11-27T23.06.21.795,1.67,1.585,-1.463,-2.5
1.73277E+12,2024-11-27T23.06.21.805,1.68,1.646,-2.256,-3.293
1.73277E+12,2024-11-27T23.06.21.815,1.69,1.646,-2.805,-3.902
1.73277E+12,2024-11-27T23.06.21.825,1.7,1.707,-2.622,-4.451
1.73277E+12,2024-11-27T23.06.21.835,1.71,1.646,-2.012,-4.451
1.73277E+12,2024-11-27T23.06.21.845,1.72,1.159,-2.073,-4.451
1.73277E+12,2024-11-27T23.06.21.855,1.73,0.305,-2.5,-3.841
1.73277E+12,2024-11-27T23.06.21.865,1.74,-0.427,-1.524,-3.72
1.73277E+12,2024-11-27T23.06.21.875,1.75,-1.098,-0.122,-3.659
1.73277E+12,2024-11-27T23.06.21.885,1.76,-1.829,1.098,-3.293
1.73277E+12,2024-11-27T23.06.21.895,1.77,-2.561,2.744,-2.927
1.73277E+12,2024-11-27T23.06.21.905,1.78,-3.171,4.451,-2.439
1.73277E+12,2024-11-27T23.06.21.915,1.79,-3.78,6.28,-1.951
1.73277E+12,2024-11-27T23.06.21.925,1.8,-4.512,8.476,-1.402
1.73277E+12,2024-11-27T23.06.21.935,1.81,-5.061,10.854,-0.854
1.73277E+12,2024-11-27T23.06.21.945,1.82,-5.488,12.927,-0.366
1.73277E+12,2024-11-27T23.06.21.955,1.83,-5.976,14.817,0.244
1.73277E+12,2024-11-27T23.06.21.965,1.84,-6.402,16.159,0.793
1.73277E+12,2024-11-27T23.06.21.975,1.85,-6.89,17.073,1.159
1.73277E+12,2024-11-27T23.06.21.985,1.86,-7.256,17.866,1.524
1.73277E+12,2024-11-27T23.06.21.995,1.87,-7.683,18.902,2.012
1.73277E+12,2024-11-27T23.06.22.005,1.88,-7.866,20.549,2.439
1.73277E+12,2024-11-27T23.06.22.015,1.89,-7.988,22.012,2.866
1.73277E+12,2024-11-27T23.06.22.025,1.9,-8.232,22.988,3.537
1.73277E+12,2024-11-27T23.06.22.035,1.91,-8.415,24.756,3.78
1.73277E+12,2024-11-27T23.06.22.045,1.92,-8.354,26.829,3.841
1.73277E+12,2024-11-27T23.06.22.055,1.93,-8.537,28.415,3.902
1.73277E+12,2024-11-27T23.06.22.065,1.94,-8.72,30.061,3.963
1.73277E+12,2024-11-27T23.06.22.075,1.95,-8.537,31.28,3.963
1.73277E+12,2024-11-27T23.06.22.085,1.96,-8.354,32.317,4.207
1.73277E+12,2024-11-27T23.06.22.095,1.97,-8.171,33.415,4.39
1.73277E+12,2024-11-27T23.06.22.105,1.98,-8.049,34.756,4.695
1.73277E+12,2024-11-27T23.06.22.115,1.99,-7.988,36.22,5.183
1.73277E+12,2024-11-27T23.06.22.125,2,-7.988,37.683,5.427
1.73277E+12,2024-11-27T23.06.22.135,2.01,-8.11,38.963,5.61
1.73277E+12,2024-11-27T23.06.22.145,2.02,-8.354,39.878,5.915
1.73277E+12,2024-11-27T23.06.22.155,2.03,-8.598,41.768,5.854
1.73277E+12,2024-11-27T23.06.22.165,2.04,-8.72,44.268,5.549
1.73277E+12,2024-11-27T23.06.22.175,2.05,-8.902,46.463,5.427
1.73277E+12,2024-11-27T23.06.22.185,2.06,-9.146,47.805,5.366
1.73277E+12,2024-11-27T23.06.22.195,2.07,-9.268,49.024,5.427
1.73277E+12,2024-11-27T23.06.22.205,2.08,-9.573,50.488,5.488
1.73277E+12,2024-11-27T23.06.22.215,2.09,-9.939,52.195,5.244
1.73277E+12,2024-11-27T23.06.22.225,2.1,-10.366,53.659,5.244
1.73277E+12,2024-11-27T23.06.22.235,2.11,-10.732,54.451,5.244
1.73277E+12,2024-11-27T23.06.22.245,2.12,-10.793,55.488,4.878
1.73277E+12,2024-11-27T23.06.22.255,2.13,-10.61,56.707,4.512
1.73277E+12,2024-11-27T23.06.22.265,2.14,-10.366,57.317,4.268
1.73277E+12,2024-11-27T23.06.22.275,2.15,-10,57.622,4.207
1.73277E+12,2024-11-27T23.06.22.285,2.16,-9.512,58.354,4.329
1.73277E+12,2024-11-27T23.06.22.295,2.17,-8.841,59.756,4.329
1.73277E+12,2024-11-27T23.06.22.305,2.18,-8.293,61.707,4.207
1.73277E+12,2024-11-27T23.06.22.315,2.19,-7.866,64.207,4.085
1.73277E+12,2024-11-27T23.06.22.325,2.2,-7.439,67.5,3.963
1.73277E+12,2024-11-27T23.06.22.335,2.21,-7.317,70.976,3.902
1.73277E+12,2024-11-27T23.06.22.345,2.22,-7.073,74.39,3.841
1.73277E+12,2024-11-27T23.06.22.355,2.23,-6.768,77.378,3.72
1.73277E+12,2024-11-27T23.06.22.365,2.24,-6.402,79.878,3.598
1.73277E+12,2024-11-27T23.06.22.375,2.25,-6.037,82.134,3.72
1.73277E+12,2024-11-27T23.06.22.385,2.26,-5.976,84.085,3.902
1.73277E+12,2024-11-27T23.06.22.395,2.27,-6.037,85.732,4.146
1.73277E+12,2024-11-27T23.06.22.405,2.28,-6.098,87.378,4.39
1.73277E+12,2024-11-27T23.06.22.415,2.29,-6.402,88.598,4.756
1.73277E+12,2024-11-27T23.06.22.425,2.3,-6.707,89.329,5.061
1.73277E+12,2024-11-27T23.06.22.435,2.31,-6.89,89.39,5.183
1.73277E+12,2024-11-27T23.06.22.445,2.32,-7.073,88.476,5.671
1.73277E+12,2024-11-27T23.06.22.455,2.33,-7.134,87.317,6.22
1.73277E+12,2024-11-27T23.06.22.465,2.34,-7.012,87.134,6.341
1.73277E+12,2024-11-27T23.06.22.475,2.35,-6.585,86.951,6.28
1.73277E+12,2024-11-27T23.06.22.485,2.36,-6.341,85.061,6.463
1.73277E+12,2024-11-27T23.06.22.495,2.37,-6.341,81.463,7.256
1.73277E+12,2024-11-27T23.06.22.505,2.38,-6.768,78.11,8.11
1.73277E+12,2024-11-27T23.06.22.515,2.39,-7.744,75.732,9.207
1.73277E+12,2024-11-27T23.06.22.525,2.4,-9.939,73.537,11.28
1.73277E+12,2024-11-27T23.06.22.535,2.41,-13.293,72.378,13.598
1.73277E+12,2024-11-27T23.06.22.545,2.42,-16.89,72.073,14.512
1.73277E+12,2024-11-27T23.06.22.555,2.43,-20.183,70.976,14.268
1.73277E+12,2024-11-27T23.06.22.565,2.44,-22.622,68.049,13.476
1.73277E+12,2024-11-27T23.06.22.575,2.45,-24.817,63.537,12.439
1.73277E+12,2024-11-27T23.06.22.585,2.46,-26.768,58.72,11.402
1.73277E+12,2024-11-27T23.06.22.595,2.47,-28.841,54.634,10.61
1.73277E+12,2024-11-27T23.06.22.605,2.48,-30.244,52.317,8.72
1.73277E+12,2024-11-27T23.06.22.615,2.49,-30.854,50.549,5.427
1.73277E+12,2024-11-27T23.06.22.625,2.5,-30.183,46.646,2.195
1.73277E+12,2024-11-27T23.06.22.635,2.51,-28.049,41.159,-0.488
1.73277E+12,2024-11-27T23.06.22.645,2.52,-24.756,36.951,-2.927
1.73277E+12,2024-11-27T23.06.22.655,2.53,-20.671,34.817,-5.244
1.73277E+12,2024-11-27T23.06.22.665,2.54,-16.159,32.927,-6.89
1.73277E+12,2024-11-27T23.06.22.675,2.55,-12.256,30.122,-7.439
1.73277E+12,2024-11-27T23.06.22.685,2.56,-9.085,26.098,-6.89
1.73277E+12,2024-11-27T23.06.22.695,2.57,-6.707,22.012,-6.28
1.73277E+12,2024-11-27T23.06.22.705,2.58,-5.122,18.841,-6.037
1.73277E+12,2024-11-27T23.06.22.715,2.59,-3.841,16.768,-6.098
1.73277E+12,2024-11-27T23.06.22.725,2.6,-2.988,15.305,-6.646
1.73277E+12,2024-11-27T23.06.22.735,2.61,-2.012,13.293,-6.951
1.73277E+12,2024-11-27T23.06.22.745,2.62,-0.549,11.341,-7.134
1.73277E+12,2024-11-27T23.06.22.755,2.63,0.976,9.634,-7.012
1.73277E+12,2024-11-27T23.06.22.765,2.64,2.622,8.11,-6.463
1.73277E+12,2024-11-27T23.06.22.775,2.65,4.207,6.463,-5.427
1.73277E+12,2024-11-27T23.06.22.785,2.66,5.549,5,-4.39
1.73277E+12,2024-11-27T23.06.22.795,2.67,6.707,4.207,-3.476
1.73277E+12,2024-11-27T23.06.22.805,2.68,7.561,3.232,-2.805
1.73277E+12,2024-11-27T23.06.22.815,2.69,7.805,1.768,-2.378
1.73277E+12,2024-11-27T23.06.22.825,2.7,7.744,0.061,-2.134
1.73277E+12,2024-11-27T23.06.22.835,2.71,7.805,-2.073,-1.89
1.73277E+12,2024-11-27T23.06.22.845,2.72,7.927,-4.024,-1.89
1.73277E+12,2024-11-27T23.06.22.855,2.73,8.232,-6.098,-1.768
1.73277E+12,2024-11-27T23.06.22.865,2.74,8.659,-8.476,-1.402
1.73277E+12,2024-11-27T23.06.22.875,2.75,9.146,-10.244,-0.915
1.73277E+12,2024-11-27T23.06.22.885,2.76,9.695,-11.098,-0.549
1.73277E+12,2024-11-27T23.06.22.895,2.77,10.183,-11.768,-0.427
1.73277E+12,2024-11-27T23.06.22.905,2.78,10.549,-13.11,-0.183
1.73277E+12,2024-11-27T23.06.22.915,2.79,11.098,-14.573,0.244
1.73277E+12,2024-11-27T23.06.22.925,2.8,11.829,-15.732,0.427
1.73277E+12,2024-11-27T23.06.22.935,2.81,12.5,-17.195,0.488
1.73277E+12,2024-11-27T23.06.22.945,2.82,13.11,-19.756,0.488
1.73277E+12,2024-11-27T23.06.22.955,2.83,13.963,-22.439,0
1.73277E+12,2024-11-27T23.06.22.965,2.84,15.244,-24.878,-1.159
1.73277E+12,2024-11-27T23.06.22.975,2.85,16.646,-28.476,-2.378
1.73277E+12,2024-11-27T23.06.22.985,2.86,18.049,-32.927,-3.293
1.73277E+12,2024-11-27T23.06.22.995,2.87,19.268,-36.951,-3.598
1.73277E+12,2024-11-27T23.06.23.005,2.88,20.549,-38.841,-3.72
1.73277E+12,2024-11-27T23.06.23.015,2.89,21.463,-38.841,-3.598
1.73277E+12,2024-11-27T23.06.23.025,2.9,21.89,-38.78,-2.988
