epoc (ms),timestamp (-0500),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1732904125487,2024-11-29T13.15.25.487,0.000,0.427,-0.183,0.000
1732904125497,2024-11-29T13.15.25.497,0.010,0.732,-0.366,-0.427
1732904125507,2024-11-29T13.15.25.507,0.020,0.488,-0.244,0.183
1732904125517,2024-11-29T13.15.25.517,0.030,0.305,-0.183,0.183
1732904125527,2024-11-29T13.15.25.527,0.040,0.244,-0.244,0.244
1732904125537,2024-11-29T13.15.25.537,0.050,0.061,-0.366,0.427
1732904125547,2024-11-29T13.15.25.547,0.060,0.122,-0.122,0.610
1732904125557,2024-11-29T13.15.25.557,0.070,0.122,0.122,0.793
1732904125567,2024-11-29T13.15.25.567,0.080,0.305,0.122,0.915
1732904125577,2024-11-29T13.15.25.577,0.090,0.244,0.061,0.915
1732904125587,2024-11-29T13.15.25.587,0.100,0.305,-0.122,0.854
1732904125597,2024-11-29T13.15.25.597,0.110,0.366,-0.305,0.732
1732904125607,2024-11-29T13.15.25.607,0.120,0.488,-0.366,0.610
1732904125617,2024-11-29T13.15.25.617,0.130,0.488,-0.427,0.366
1732904125627,2024-11-29T13.15.25.627,0.140,0.488,-0.305,0.244
1732904125637,2024-11-29T13.15.25.637,0.150,0.427,-0.244,0.122
1732904125647,2024-11-29T13.15.25.647,0.160,0.488,-0.305,0.244
1732904125657,2024-11-29T13.15.25.657,0.170,0.549,-0.122,-0.122
1732904125667,2024-11-29T13.15.25.667,0.180,0.671,-0.244,-0.366
1732904125677,2024-11-29T13.15.25.677,0.190,0.610,-0.549,-0.549
1732904125687,2024-11-29T13.15.25.687,0.200,0.671,-0.488,-0.854
1732904125697,2024-11-29T13.15.25.697,0.210,0.854,-0.549,-0.915
1732904125707,2024-11-29T13.15.25.707,0.220,0.915,-0.671,-0.610
1732904125717,2024-11-29T13.15.25.717,0.230,0.915,-0.244,-0.488
1732904125727,2024-11-29T13.15.25.727,0.240,0.854,0.183,-0.366
1732904125737,2024-11-29T13.15.25.737,0.250,0.671,0.122,-0.122
1732904125747,2024-11-29T13.15.25.747,0.260,0.427,-0.305,0.061
1732904125757,2024-11-29T13.15.25.757,0.270,0.305,-0.305,0.000
1732904125767,2024-11-29T13.15.25.767,0.280,0.061,-0.366,-0.122
1732904125777,2024-11-29T13.15.25.777,0.290,-0.122,-0.732,0.000
1732904125787,2024-11-29T13.15.25.787,0.300,-0.061,-0.976,0.122
1732904125797,2024-11-29T13.15.25.797,0.310,0.305,-0.854,0.488
1732904125807,2024-11-29T13.15.25.807,0.320,0.610,-0.732,0.732
1732904125817,2024-11-29T13.15.25.817,0.330,0.915,-0.610,0.976
1732904125827,2024-11-29T13.15.25.827,0.340,1.159,-0.549,1.037
1732904125837,2024-11-29T13.15.25.837,0.350,1.159,-0.305,0.854
1732904125847,2024-11-29T13.15.25.847,0.360,0.854,-0.366,0.671
1732904125857,2024-11-29T13.15.25.857,0.370,0.549,-0.244,0.427
1732904125867,2024-11-29T13.15.25.867,0.380,0.183,-0.061,0.305
1732904125877,2024-11-29T13.15.25.877,0.390,-0.122,0.061,0.305
1732904125887,2024-11-29T13.15.25.887,0.400,-0.366,0.183,0.122
