epoc (ms),timestamp (-0500),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1732904904833,2024-11-29T13.28.24.833,0.000,-0.244,-0.549,0.732
1732904904843,2024-11-29T13.28.24.843,0.010,-0.061,-0.488,0.183
1732904904853,2024-11-29T13.28.24.853,0.020,0.122,-0.244,0.549
1732904904863,2024-11-29T13.28.24.863,0.030,0.305,-0.183,0.549
1732904904873,2024-11-29T13.28.24.873,0.040,0.427,-0.305,0.488
1732904904883,2024-11-29T13.28.24.883,0.050,0.671,-0.427,0.244
1732904904893,2024-11-29T13.28.24.893,0.060,0.732,-0.488,-0.061
1732904904903,2024-11-29T13.28.24.903,0.070,0.671,-0.610,-0.305
1732904904913,2024-11-29T13.28.24.913,0.080,0.610,-0.610,-0.427
1732904904923,2024-11-29T13.28.24.923,0.090,0.366,-0.549,-0.549
1732904904933,2024-11-29T13.28.24.933,0.100,0.305,-0.610,-0.488
1732904904943,2024-11-29T13.28.24.943,0.110,0.244,-0.610,-0.305
1732904904953,2024-11-29T13.28.24.953,0.120,0.122,-0.366,-0.244
1732904904963,2024-11-29T13.28.24.963,0.130,0.061,-0.427,-0.305
1732904904973,2024-11-29T13.28.24.973,0.140,0.183,-0.366,-0.366
1732904904983,2024-11-29T13.28.24.983,0.150,0.244,-0.366,-0.549
1732904904993,2024-11-29T13.28.24.993,0.160,0.305,-0.366,-0.732
1732904905003,2024-11-29T13.28.25.003,0.170,0.366,-0.427,-0.915
1732904905013,2024-11-29T13.28.25.013,0.180,0.549,-0.549,-0.854
1732904905023,2024-11-29T13.28.25.023,0.190,0.671,-0.305,-0.793
1732904905033,2024-11-29T13.28.25.033,0.200,0.671,-0.122,-0.671
1732904905043,2024-11-29T13.28.25.043,0.210,0.549,-0.061,-0.549
1732904905053,2024-11-29T13.28.25.053,0.220,0.427,0.061,-0.488
1732904905063,2024-11-29T13.28.25.063,0.230,0.183,0.244,-0.549
1732904905073,2024-11-29T13.28.25.073,0.240,0.000,0.305,-0.549
1732904905083,2024-11-29T13.28.25.083,0.250,-0.122,0.122,-0.427
1732904905093,2024-11-29T13.28.25.093,0.260,-0.305,0.183,-0.427
1732904905103,2024-11-29T13.28.25.103,0.270,-0.244,0.549,-0.427
1732904905113,2024-11-29T13.28.25.113,0.280,-0.122,0.366,-0.366
1732904905123,2024-11-29T13.28.25.123,0.290,-0.061,0.427,-0.427
1732904905133,2024-11-29T13.28.25.133,0.300,0.183,0.366,-0.366
1732904905143,2024-11-29T13.28.25.143,0.310,0.244,0.122,-0.183
1732904905153,2024-11-29T13.28.25.153,0.320,0.427,0.000,-0.122
1732904905163,2024-11-29T13.28.25.163,0.330,0.488,0.061,-0.122
1732904905173,2024-11-29T13.28.25.173,0.340,0.427,-0.061,-0.061
1732904905183,2024-11-29T13.28.25.183,0.350,0.427,0.000,-0.244
1732904905193,2024-11-29T13.28.25.193,0.360,0.366,-0.061,-0.427
1732904905203,2024-11-29T13.28.25.203,0.370,0.183,-0.183,-0.488
1732904905213,2024-11-29T13.28.25.213,0.380,0.061,-0.305,-0.610
1732904905223,2024-11-29T13.28.25.223,0.390,-0.061,-0.427,-0.549
1732904905233,2024-11-29T13.28.25.233,0.400,-0.061,-0.244,-0.610
1732904905243,2024-11-29T13.28.25.243,0.410,0.122,0.122,-0.793
1732904905253,2024-11-29T13.28.25.253,0.420,0.061,-0.061,-0.915
1732904905263,2024-11-29T13.28.25.263,0.430,0.061,-0.427,-0.854
1732904905273,2024-11-29T13.28.25.273,0.440,0.183,-0.305,-1.037
1732904905283,2024-11-29T13.28.25.283,0.450,0.244,-0.549,-1.159
1732904905293,2024-11-29T13.28.25.293,0.460,0.305,-1.524,-1.159
1732904905303,2024-11-29T13.28.25.303,0.470,0.549,-2.256,-1.098
1732904905313,2024-11-29T13.28.25.313,0.480,0.915,-2.378,-1.098
1732904905323,2024-11-29T13.28.25.323,0.490,1.402,-2.073,-0.976
1732904905333,2024-11-29T13.28.25.333,0.500,1.707,-1.646,-0.854
1732904905343,2024-11-29T13.28.25.343,0.510,1.707,-1.159,-0.610
1732904905353,2024-11-29T13.28.25.353,0.520,1.646,-0.854,-0.488
1732904905363,2024-11-29T13.28.25.363,0.530,1.280,-0.305,-0.610
1732904905373,2024-11-29T13.28.25.373,0.540,0.915,0.061,-0.610
1732904905383,2024-11-29T13.28.25.383,0.550,0.183,0.427,-0.671
1732904905393,2024-11-29T13.28.25.393,0.560,-0.610,0.671,-0.732
1732904905403,2024-11-29T13.28.25.403,0.570,-1.159,0.915,-0.793
1732904905413,2024-11-29T13.28.25.413,0.580,-1.402,0.793,-0.732
1732904905423,2024-11-29T13.28.25.423,0.590,-1.402,0.793,-0.732
1732904905433,2024-11-29T13.28.25.433,0.600,-1.220,0.671,-0.732
1732904905443,2024-11-29T13.28.25.443,0.610,-0.671,0.488,-0.671
1732904905453,2024-11-29T13.28.25.453,0.620,-0.061,0.244,-0.610
1732904905463,2024-11-29T13.28.25.463,0.630,0.427,0.000,-0.488
1732904905473,2024-11-29T13.28.25.473,0.640,0.854,-0.610,-0.427
1732904905483,2024-11-29T13.28.25.483,0.650,1.098,-0.854,-0.427
1732904905493,2024-11-29T13.28.25.493,0.660,1.220,-0.488,-0.488
1732904905503,2024-11-29T13.28.25.503,0.670,1.098,0.122,-0.671
1732904905513,2024-11-29T13.28.25.513,0.680,0.671,0.427,-0.793
1732904905523,2024-11-29T13.28.25.523,0.690,0.122,-0.122,-0.854
1732904905533,2024-11-29T13.28.25.533,0.700,-0.122,-0.915,-0.610
1732904905543,2024-11-29T13.28.25.543,0.710,-0.183,-0.976,-0.244
1732904905553,2024-11-29T13.28.25.553,0.720,-0.183,-0.671,0.000
1732904905563,2024-11-29T13.28.25.563,0.730,-0.061,-0.305,0.244
1732904905573,2024-11-29T13.28.25.573,0.740,0.244,-0.122,0.427
1732904905583,2024-11-29T13.28.25.583,0.750,0.488,0.000,0.488
1732904905593,2024-11-29T13.28.25.593,0.760,0.793,-0.061,0.366
1732904905603,2024-11-29T13.28.25.603,0.770,0.854,-0.305,0.122
1732904905613,2024-11-29T13.28.25.613,0.780,0.732,-0.549,-0.122
1732904905623,2024-11-29T13.28.25.623,0.790,0.671,-0.671,-0.488
1732904905633,2024-11-29T13.28.25.633,0.800,0.610,-0.854,-0.732
1732904905643,2024-11-29T13.28.25.643,0.810,0.244,-0.976,-0.915
1732904905653,2024-11-29T13.28.25.653,0.820,0.183,-0.793,-1.098
1732904905663,2024-11-29T13.28.25.663,0.830,0.183,-0.671,-1.220
1732904905673,2024-11-29T13.28.25.673,0.840,0.122,-0.671,-1.280
1732904905683,2024-11-29T13.28.25.683,0.850,0.244,-0.671,-1.463
1732904905693,2024-11-29T13.28.25.693,0.860,0.305,-0.732,-1.585
1732904905703,2024-11-29T13.28.25.703,0.870,0.305,-0.976,-1.585
1732904905713,2024-11-29T13.28.25.713,0.880,0.610,-1.098,-1.524
1732904905723,2024-11-29T13.28.25.723,0.890,0.793,-1.098,-1.585
1732904905733,2024-11-29T13.28.25.733,0.900,0.793,-0.976,-1.463
1732904905743,2024-11-29T13.28.25.743,0.910,0.732,-0.732,-1.402
