epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1.73272E+12,2024-11-27T10.04.44.288,1.5,-0.979,0.209,0.141
1.73272E+12,2024-11-27T10.04.44.298,1.51,-0.977,0.206,0.141
1.73272E+12,2024-11-27T10.04.44.308,1.52,-0.973,0.206,0.137
1.73272E+12,2024-11-27T10.04.44.318,1.53,-0.979,0.204,0.137
1.73272E+12,2024-11-27T10.04.44.328,1.54,-0.978,0.203,0.138
1.73272E+12,2024-11-27T10.04.44.338,1.55,-0.976,0.204,0.135
1.73272E+12,2024-11-27T10.04.44.348,1.56,-0.971,0.204,0.135
1.73272E+12,2024-11-27T10.04.44.358,1.57,-0.968,0.205,0.133
1.73272E+12,2024-11-27T10.04.44.368,1.58,-0.963,0.205,0.13
1.73272E+12,2024-11-27T10.04.44.378,1.59,-0.958,0.205,0.129
1.73272E+12,2024-11-27T10.04.44.388,1.6,-0.943,0.202,0.127
1.73272E+12,2024-11-27T10.04.44.398,1.61,-0.956,0.194,0.126
1.73272E+12,2024-11-27T10.04.44.408,1.62,-0.971,0.185,0.132
1.73272E+12,2024-11-27T10.04.44.418,1.63,-0.959,0.182,0.128
1.73272E+12,2024-11-27T10.04.44.428,1.64,-0.95,0.177,0.126
1.73272E+12,2024-11-27T10.04.44.438,1.65,-0.959,0.178,0.132
1.73272E+12,2024-11-27T10.04.44.448,1.66,-0.951,0.182,0.132
1.73272E+12,2024-11-27T10.04.44.458,1.67,-0.948,0.182,0.131
1.73272E+12,2024-11-27T10.04.44.468,1.68,-0.952,0.188,0.136
1.73272E+12,2024-11-27T10.04.44.478,1.69,-0.947,0.188,0.138
1.73272E+12,2024-11-27T10.04.44.488,1.7,-0.942,0.193,0.137
1.73272E+12,2024-11-27T10.04.44.498,1.71,-0.94,0.2,0.14
1.73272E+12,2024-11-27T10.04.44.508,1.72,-0.938,0.199,0.144
1.73272E+12,2024-11-27T10.04.44.518,1.73,-0.937,0.2,0.148
1.73272E+12,2024-11-27T10.04.44.528,1.74,-0.939,0.202,0.157
1.73272E+12,2024-11-27T10.04.44.538,1.75,-0.939,0.207,0.165
1.73272E+12,2024-11-27T10.04.44.548,1.76,-0.935,0.212,0.17
1.73272E+12,2024-11-27T10.04.44.558,1.77,-0.932,0.215,0.179
1.73272E+12,2024-11-27T10.04.44.568,1.78,-0.931,0.217,0.185
1.73272E+12,2024-11-27T10.04.44.578,1.79,-0.928,0.217,0.192
1.73272E+12,2024-11-27T10.04.44.588,1.8,-0.93,0.218,0.201
1.73272E+12,2024-11-27T10.04.44.598,1.81,-0.93,0.218,0.214
1.73272E+12,2024-11-27T10.04.44.608,1.82,-0.922,0.21,0.226
1.73272E+12,2024-11-27T10.04.44.618,1.83,-0.917,0.208,0.235
1.73272E+12,2024-11-27T10.04.44.628,1.84,-0.91,0.203,0.253
1.73272E+12,2024-11-27T10.04.44.638,1.85,-0.901,0.198,0.266
1.73272E+12,2024-11-27T10.04.44.648,1.86,-0.9,0.195,0.28
1.73272E+12,2024-11-27T10.04.44.658,1.87,-0.9,0.191,0.297
1.73272E+12,2024-11-27T10.04.44.668,1.88,-0.891,0.193,0.305
1.73272E+12,2024-11-27T10.04.44.678,1.89,-0.876,0.194,0.311
1.73272E+12,2024-11-27T10.04.44.688,1.9,-0.867,0.189,0.324
1.73272E+12,2024-11-27T10.04.44.698,1.91,-0.859,0.19,0.338
1.73272E+12,2024-11-27T10.04.44.708,1.92,-0.854,0.185,0.353
1.73272E+12,2024-11-27T10.04.44.718,1.93,-0.85,0.181,0.369
1.73272E+12,2024-11-27T10.04.44.728,1.94,-0.843,0.174,0.392
1.73272E+12,2024-11-27T10.04.44.738,1.95,-0.828,0.168,0.404
1.73272E+12,2024-11-27T10.04.44.748,1.96,-0.825,0.155,0.419
1.73272E+12,2024-11-27T10.04.44.758,1.97,-0.825,0.133,0.435
1.73272E+12,2024-11-27T10.04.44.768,1.98,-0.828,0.121,0.45
1.73272E+12,2024-11-27T10.04.44.778,1.99,-0.839,0.121,0.472
1.73272E+12,2024-11-27T10.04.44.788,2,-0.838,0.125,0.494
1.73272E+12,2024-11-27T10.04.44.798,2.01,-0.827,0.138,0.509
1.73272E+12,2024-11-27T10.04.44.808,2.02,-0.812,0.165,0.532
1.73272E+12,2024-11-27T10.04.44.818,2.03,-0.792,0.185,0.549
1.73272E+12,2024-11-27T10.04.44.828,2.04,-0.774,0.198,0.562
1.73272E+12,2024-11-27T10.04.44.838,2.05,-0.774,0.212,0.584
1.73272E+12,2024-11-27T10.04.44.848,2.06,-0.784,0.22,0.608
1.73272E+12,2024-11-27T10.04.44.858,2.07,-0.785,0.213,0.633
1.73272E+12,2024-11-27T10.04.44.868,2.08,-0.775,0.2,0.645
1.73272E+12,2024-11-27T10.04.44.878,2.09,-0.78,0.213,0.659
1.73272E+12,2024-11-27T10.04.44.888,2.1,-0.784,0.233,0.687
1.73272E+12,2024-11-27T10.04.44.898,2.11,-0.768,0.239,0.698
1.73272E+12,2024-11-27T10.04.44.908,2.12,-0.733,0.239,0.698
1.73272E+12,2024-11-27T10.04.44.918,2.13,-0.718,0.245,0.701
1.73272E+12,2024-11-27T10.04.44.928,2.14,-0.723,0.246,0.712
1.73272E+12,2024-11-27T10.04.44.938,2.15,-0.72,0.238,0.72
1.73272E+12,2024-11-27T10.04.44.948,2.16,-0.688,0.225,0.724
1.73272E+12,2024-11-27T10.04.44.958,2.17,-0.654,0.216,0.704
1.73272E+12,2024-11-27T10.04.44.968,2.18,-0.645,0.22,0.707
1.73272E+12,2024-11-27T10.04.44.978,2.19,-0.65,0.202,0.724
1.73272E+12,2024-11-27T10.04.44.988,2.2,-0.647,0.172,0.728
1.73272E+12,2024-11-27T10.04.44.998,2.21,-0.642,0.146,0.741
1.73272E+12,2024-11-27T10.04.45.008,2.22,-0.642,0.137,0.75
1.73272E+12,2024-11-27T10.04.45.018,2.23,-0.633,0.14,0.762
1.73272E+12,2024-11-27T10.04.45.028,2.24,-0.605,0.147,0.775
1.73272E+12,2024-11-27T10.04.45.038,2.25,-0.572,0.158,0.781
1.73272E+12,2024-11-27T10.04.45.048,2.26,-0.567,0.181,0.813
1.73272E+12,2024-11-27T10.04.45.058,2.27,-0.586,0.194,0.853
1.73272E+12,2024-11-27T10.04.45.068,2.28,-0.602,0.192,0.882
1.73272E+12,2024-11-27T10.04.45.078,2.29,-0.605,0.174,0.906
1.73272E+12,2024-11-27T10.04.45.088,2.3,-0.598,0.174,0.919
1.73272E+12,2024-11-27T10.04.45.098,2.31,-0.583,0.17,0.929
1.73272E+12,2024-11-27T10.04.45.108,2.32,-0.57,0.163,0.931
1.73272E+12,2024-11-27T10.04.45.118,2.33,-0.564,0.156,0.935
1.73272E+12,2024-11-27T10.04.45.128,2.34,-0.557,0.149,0.937
1.73272E+12,2024-11-27T10.04.45.138,2.35,-0.554,0.158,0.933
1.73272E+12,2024-11-27T10.04.45.148,2.36,-0.555,0.166,0.93
1.73272E+12,2024-11-27T10.04.45.158,2.37,-0.552,0.173,0.924
1.73272E+12,2024-11-27T10.04.45.168,2.38,-0.542,0.19,0.917
1.73272E+12,2024-11-27T10.04.45.178,2.39,-0.539,0.195,0.913
1.73272E+12,2024-11-27T10.04.45.188,2.4,-0.525,0.192,0.903
1.73272E+12,2024-11-27T10.04.45.198,2.41,-0.524,0.188,0.891
1.73272E+12,2024-11-27T10.04.45.208,2.42,-0.536,0.182,0.891
1.73272E+12,2024-11-27T10.04.45.218,2.43,-0.539,0.182,0.891
1.73272E+12,2024-11-27T10.04.45.228,2.44,-0.524,0.192,0.882
1.73272E+12,2024-11-27T10.04.45.238,2.45,-0.508,0.206,0.872
1.73272E+12,2024-11-27T10.04.45.248,2.46,-0.509,0.208,0.87
1.73272E+12,2024-11-27T10.04.45.258,2.47,-0.518,0.19,0.869
1.73272E+12,2024-11-27T10.04.45.268,2.48,-0.522,0.17,0.867
1.73272E+12,2024-11-27T10.04.45.278,2.49,-0.532,0.164,0.875
1.73272E+12,2024-11-27T10.04.45.288,2.5,-0.539,0.157,0.875
1.73272E+12,2024-11-27T10.04.45.298,2.51,-0.53,0.152,0.871
1.73272E+12,2024-11-27T10.04.45.308,2.52,-0.528,0.154,0.87
1.73272E+12,2024-11-27T10.04.45.318,2.53,-0.537,0.146,0.871
1.73272E+12,2024-11-27T10.04.45.328,2.54,-0.541,0.141,0.869
1.73272E+12,2024-11-27T10.04.45.338,2.55,-0.54,0.137,0.862
1.73272E+12,2024-11-27T10.04.45.348,2.56,-0.542,0.132,0.859
1.73272E+12,2024-11-27T10.04.45.358,2.57,-0.539,0.13,0.854
1.73272E+12,2024-11-27T10.04.45.368,2.58,-0.537,0.136,0.847
1.73272E+12,2024-11-27T10.04.45.378,2.59,-0.541,0.146,0.845
1.73272E+12,2024-11-27T10.04.45.388,2.6,-0.541,0.158,0.843
1.73272E+12,2024-11-27T10.04.45.398,2.61,-0.538,0.168,0.841
1.73272E+12,2024-11-27T10.04.45.408,2.62,-0.544,0.18,0.832
1.73272E+12,2024-11-27T10.04.45.418,2.63,-0.557,0.182,0.826
1.73272E+12,2024-11-27T10.04.45.428,2.64,-0.568,0.171,0.823
1.73272E+12,2024-11-27T10.04.45.438,2.65,-0.582,0.154,0.82
1.73272E+12,2024-11-27T10.04.45.448,2.66,-0.588,0.148,0.818
1.73272E+12,2024-11-27T10.04.45.458,2.67,-0.592,0.146,0.816
1.73272E+12,2024-11-27T10.04.45.468,2.68,-0.596,0.141,0.822
1.73272E+12,2024-11-27T10.04.45.478,2.69,-0.599,0.138,0.831
1.73272E+12,2024-11-27T10.04.45.488,2.7,-0.606,0.136,0.836
1.73272E+12,2024-11-27T10.04.45.498,2.71,-0.61,0.125,0.837
1.73272E+12,2024-11-27T10.04.45.508,2.72,-0.608,0.112,0.836
1.73272E+12,2024-11-27T10.04.45.518,2.73,-0.599,0.108,0.833
1.73272E+12,2024-11-27T10.04.45.528,2.74,-0.601,0.105,0.829
1.73272E+12,2024-11-27T10.04.45.538,2.75,-0.609,0.107,0.826
1.73272E+12,2024-11-27T10.04.45.548,2.76,-0.614,0.106,0.822
1.73272E+12,2024-11-27T10.04.45.558,2.77,-0.617,0.108,0.817
1.73272E+12,2024-11-27T10.04.45.568,2.78,-0.626,0.112,0.816
1.73272E+12,2024-11-27T10.04.45.578,2.79,-0.648,0.122,0.823
1.73272E+12,2024-11-27T10.04.45.588,2.8,-0.667,0.138,0.825
1.73272E+12,2024-11-27T10.04.45.598,2.81,-0.668,0.15,0.822
1.73272E+12,2024-11-27T10.04.45.608,2.82,-0.653,0.145,0.814
1.73272E+12,2024-11-27T10.04.45.618,2.83,-0.646,0.133,0.795
1.73272E+12,2024-11-27T10.04.45.628,2.84,-0.648,0.132,0.776
1.73272E+12,2024-11-27T10.04.45.638,2.85,-0.66,0.134,0.765
1.73272E+12,2024-11-27T10.04.45.648,2.86,-0.667,0.142,0.752
1.73272E+12,2024-11-27T10.04.45.658,2.87,-0.665,0.151,0.74
1.73272E+12,2024-11-27T10.04.45.668,2.88,-0.674,0.154,0.731
1.73272E+12,2024-11-27T10.04.45.678,2.89,-0.692,0.161,0.723
1.73272E+12,2024-11-27T10.04.45.688,2.9,-0.711,0.165,0.714
1.73272E+12,2024-11-27T10.04.45.698,2.91,-0.721,0.161,0.708
1.73272E+12,2024-11-27T10.04.45.708,2.92,-0.737,0.15,0.704
1.73272E+12,2024-11-27T10.04.45.718,2.93,-0.757,0.139,0.698
1.73272E+12,2024-11-27T10.04.45.728,2.94,-0.759,0.14,0.686
1.73272E+12,2024-11-27T10.04.45.738,2.95,-0.755,0.135,0.676
1.73272E+12,2024-11-27T10.04.45.748,2.96,-0.765,0.128,0.671
1.73272E+12,2024-11-27T10.04.45.758,2.97,-0.767,0.127,0.66
1.73272E+12,2024-11-27T10.04.45.768,2.98,-0.762,0.133,0.643
1.73272E+12,2024-11-27T10.04.45.778,2.99,-0.759,0.151,0.626
1.73272E+12,2024-11-27T10.04.45.788,3,-0.758,0.16,0.609
1.73272E+12,2024-11-27T10.04.45.798,3.01,-0.773,0.152,0.596
1.73272E+12,2024-11-27T10.04.45.808,3.02,-0.804,0.148,0.594
1.73272E+12,2024-11-27T10.04.45.818,3.03,-0.818,0.151,0.593
1.73272E+12,2024-11-27T10.04.45.828,3.04,-0.818,0.149,0.584
1.73272E+12,2024-11-27T10.04.45.838,3.05,-0.819,0.153,0.567
1.73272E+12,2024-11-27T10.04.45.848,3.06,-0.821,0.156,0.552
1.73272E+12,2024-11-27T10.04.45.858,3.07,-0.823,0.158,0.537
1.73272E+12,2024-11-27T10.04.45.868,3.08,-0.821,0.164,0.516
1.73272E+12,2024-11-27T10.04.45.878,3.09,-0.818,0.169,0.499
1.73272E+12,2024-11-27T10.04.45.888,3.1,-0.819,0.173,0.485
1.73272E+12,2024-11-27T10.04.45.898,3.11,-0.816,0.167,0.468
1.73272E+12,2024-11-27T10.04.45.908,3.12,-0.816,0.167,0.452
1.73272E+12,2024-11-27T10.04.45.918,3.13,-0.831,0.154,0.446
1.73272E+12,2024-11-27T10.04.45.928,3.14,-0.855,0.138,0.443
1.73272E+12,2024-11-27T10.04.45.938,3.15,-0.871,0.135,0.441
1.73272E+12,2024-11-27T10.04.45.948,3.16,-0.88,0.135,0.437
1.73272E+12,2024-11-27T10.04.45.958,3.17,-0.876,0.137,0.427
1.73272E+12,2024-11-27T10.04.45.968,3.18,-0.873,0.142,0.412
1.73272E+12,2024-11-27T10.04.45.978,3.19,-0.884,0.144,0.396
