epoc (ms),timestamp (-0500),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1732904097225,2024-11-29T13.14.57.225,0.000,-0.975,0.195,0.147
1732904097235,2024-11-29T13.14.57.235,0.010,-0.982,0.196,0.146
1732904097245,2024-11-29T13.14.57.245,0.020,-0.978,0.197,0.143
1732904097255,2024-11-29T13.14.57.255,0.030,-0.979,0.200,0.145
1732904097265,2024-11-29T13.14.57.265,0.040,-0.976,0.199,0.144
1732904097275,2024-11-29T13.14.57.275,0.050,-0.979,0.206,0.141
1732904097285,2024-11-29T13.14.57.285,0.060,-0.982,0.207,0.138
1732904097295,2024-11-29T13.14.57.295,0.070,-0.980,0.208,0.133
1732904097305,2024-11-29T13.14.57.305,0.080,-0.979,0.206,0.133
1732904097315,2024-11-29T13.14.57.315,0.090,-0.978,0.203,0.135
1732904097325,2024-11-29T13.14.57.325,0.100,-0.977,0.200,0.135
1732904097335,2024-11-29T13.14.57.335,0.110,-0.976,0.197,0.138
1732904097345,2024-11-29T13.14.57.345,0.120,-0.979,0.196,0.137
1732904097355,2024-11-29T13.14.57.355,0.130,-0.985,0.198,0.135
1732904097365,2024-11-29T13.14.57.365,0.140,-0.986,0.201,0.138
1732904097375,2024-11-29T13.14.57.375,0.150,-0.981,0.199,0.138
1732904097385,2024-11-29T13.14.57.385,0.160,-0.974,0.202,0.135
1732904097395,2024-11-29T13.14.57.395,0.170,-0.973,0.205,0.134
1732904097405,2024-11-29T13.14.57.405,0.180,-0.982,0.207,0.139
1732904097415,2024-11-29T13.14.57.415,0.190,-0.979,0.210,0.144
1732904097425,2024-11-29T13.14.57.425,0.200,-0.978,0.208,0.145
1732904097435,2024-11-29T13.14.57.435,0.210,-0.984,0.206,0.149
1732904097445,2024-11-29T13.14.57.445,0.220,-0.983,0.203,0.149
1732904097455,2024-11-29T13.14.57.455,0.230,-0.979,0.198,0.150
1732904097465,2024-11-29T13.14.57.465,0.240,-0.982,0.195,0.153
1732904097475,2024-11-29T13.14.57.475,0.250,-0.985,0.192,0.154
1732904097485,2024-11-29T13.14.57.485,0.260,-0.984,0.191,0.154
1732904097495,2024-11-29T13.14.57.495,0.270,-0.982,0.195,0.154
1732904097505,2024-11-29T13.14.57.505,0.280,-0.980,0.195,0.156
1732904097515,2024-11-29T13.14.57.515,0.290,-0.982,0.200,0.155
1732904097525,2024-11-29T13.14.57.525,0.300,-0.984,0.201,0.152
1732904097535,2024-11-29T13.14.57.535,0.310,-0.982,0.203,0.150
1732904097545,2024-11-29T13.14.57.545,0.320,-0.979,0.205,0.153
1732904097555,2024-11-29T13.14.57.555,0.330,-0.977,0.206,0.149
1732904097565,2024-11-29T13.14.57.565,0.340,-0.978,0.207,0.149
1732904097575,2024-11-29T13.14.57.575,0.350,-0.979,0.206,0.148
1732904097585,2024-11-29T13.14.57.585,0.360,-0.984,0.206,0.151
1732904097595,2024-11-29T13.14.57.595,0.370,-0.981,0.201,0.150
1732904097605,2024-11-29T13.14.57.605,0.380,-0.981,0.197,0.153
1732904097615,2024-11-29T13.14.57.615,0.390,-0.981,0.197,0.153
1732904097625,2024-11-29T13.14.57.625,0.400,-0.978,0.193,0.152
1732904097635,2024-11-29T13.14.57.635,0.410,-0.979,0.195,0.149
1732904097645,2024-11-29T13.14.57.645,0.420,-0.982,0.194,0.149
1732904097655,2024-11-29T13.14.57.655,0.430,-0.978,0.197,0.145
1732904097665,2024-11-29T13.14.57.665,0.440,-0.977,0.200,0.139
1732904097675,2024-11-29T13.14.57.675,0.450,-0.979,0.204,0.140
1732904097685,2024-11-29T13.14.57.685,0.460,-0.979,0.201,0.138
1732904097695,2024-11-29T13.14.57.695,0.470,-0.979,0.200,0.140
1732904097705,2024-11-29T13.14.57.705,0.480,-0.979,0.203,0.136
1732904097715,2024-11-29T13.14.57.715,0.490,-0.977,0.202,0.136
1732904097725,2024-11-29T13.14.57.725,0.500,-0.975,0.202,0.136
1732904097735,2024-11-29T13.14.57.735,0.510,-0.976,0.203,0.138
