epoc (ms),timestamp (-0500),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1.73272E+12,2024-11-27T10.04.44.291,1.5,0.854,-1.585,1.037
1.73272E+12,2024-11-27T10.04.44.301,1.51,0.488,-1.829,0.854
1.73272E+12,2024-11-27T10.04.44.311,1.52,0.122,-2.073,0.61
1.73272E+12,2024-11-27T10.04.44.321,1.53,-0.183,-2.317,0.244
1.73272E+12,2024-11-27T10.04.44.331,1.54,-0.549,-2.622,-0.122
1.73272E+12,2024-11-27T10.04.44.341,1.55,-0.854,-3.415,-0.488
1.73272E+12,2024-11-27T10.04.44.351,1.56,-1.037,-4.573,-0.854
1.73272E+12,2024-11-27T10.04.44.361,1.57,-1.159,-5.976,-1.22
1.73272E+12,2024-11-27T10.04.44.371,1.58,-1.28,-7.561,-1.524
1.73272E+12,2024-11-27T10.04.44.381,1.59,-1.89,-10.305,-1.707
1.73272E+12,2024-11-27T10.04.44.391,1.6,-2.744,-12.622,-1.89
1.73272E+12,2024-11-27T10.04.44.401,1.61,-3.841,-13.293,-2.744
1.73272E+12,2024-11-27T10.04.44.411,1.62,-5.427,-15.305,-3.232
1.73272E+12,2024-11-27T10.04.44.421,1.63,-7.134,-18.049,-3.476
1.73272E+12,2024-11-27T10.04.44.431,1.64,-8.78,-19.756,-4.024
1.73272E+12,2024-11-27T10.04.44.441,1.65,-10.305,-22.073,-4.085
1.73272E+12,2024-11-27T10.04.44.451,1.66,-11.646,-24.573,-4.024
1.73272E+12,2024-11-27T10.04.44.461,1.67,-12.683,-26.341,-4.024
1.73272E+12,2024-11-27T10.04.44.471,1.68,-13.354,-28.598,-3.963
1.73272E+12,2024-11-27T10.04.44.481,1.69,-13.78,-31.098,-3.78
1.73272E+12,2024-11-27T10.04.44.491,1.7,-13.841,-33.476,-3.78
1.73272E+12,2024-11-27T10.04.44.501,1.71,-13.78,-36.159,-3.841
1.73272E+12,2024-11-27T10.04.44.511,1.72,-13.415,-38.902,-3.902
1.73272E+12,2024-11-27T10.04.44.521,1.73,-12.866,-41.22,-4.085
1.73272E+12,2024-11-27T10.04.44.531,1.74,-11.89,-43.598,-4.207
1.73272E+12,2024-11-27T10.04.44.541,1.75,-10.671,-46.098,-3.963
1.73272E+12,2024-11-27T10.04.44.551,1.76,-9.024,-48.354,-3.963
