epoc (ms),timestamp (-0500),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1732904097227,2024-11-29T13.14.57.227,0.000,0.061,0.305,0.061
1732904097237,2024-11-29T13.14.57.237,0.010,-0.244,0.488,0.061
1732904097247,2024-11-29T13.14.57.247,0.020,-0.793,0.366,0.061
1732904097257,2024-11-29T13.14.57.257,0.030,-1.037,0.366,-0.244
1732904097267,2024-11-29T13.14.57.267,0.040,-1.220,0.244,-0.427
1732904097277,2024-11-29T13.14.57.277,0.050,-1.037,0.305,-0.488
1732904097287,2024-11-29T13.14.57.287,0.060,-0.854,0.610,-0.549
1732904097297,2024-11-29T13.14.57.297,0.070,-0.549,0.549,-0.549
1732904097307,2024-11-29T13.14.57.307,0.080,-0.427,0.488,-0.488
1732904097317,2024-11-29T13.14.57.317,0.090,-0.610,0.305,-0.488
1732904097327,2024-11-29T13.14.57.327,0.100,-0.793,-0.122,-0.549
1732904097337,2024-11-29T13.14.57.337,0.110,-1.159,-0.488,-0.549
1732904097347,2024-11-29T13.14.57.347,0.120,-1.402,-0.610,-0.366
1732904097357,2024-11-29T13.14.57.357,0.130,-1.524,-0.488,-0.183
1732904097367,2024-11-29T13.14.57.367,0.140,-1.768,-0.122,-0.183
1732904097377,2024-11-29T13.14.57.377,0.150,-1.890,-0.305,-0.244
1732904097387,2024-11-29T13.14.57.387,0.160,-1.707,-1.280,-0.183
1732904097397,2024-11-29T13.14.57.397,0.170,-1.341,-1.951,-0.244
1732904097407,2024-11-29T13.14.57.407,0.180,-0.671,-1.951,-0.244
1732904097417,2024-11-29T13.14.57.417,0.190,0.061,-1.890,-0.122
1732904097427,2024-11-29T13.14.57.427,0.200,0.610,-1.890,-0.061
1732904097437,2024-11-29T13.14.57.437,0.210,1.159,-1.585,0.000
1732904097447,2024-11-29T13.14.57.447,0.220,1.402,-1.585,0.000
1732904097457,2024-11-29T13.14.57.457,0.230,1.341,-1.524,0.061
1732904097467,2024-11-29T13.14.57.467,0.240,1.037,-1.280,0.061
1732904097477,2024-11-29T13.14.57.477,0.250,0.488,-0.793,-0.061
1732904097487,2024-11-29T13.14.57.487,0.260,-0.122,-0.305,-0.061
1732904097497,2024-11-29T13.14.57.497,0.270,-0.610,-0.183,0.000
1732904097507,2024-11-29T13.14.57.507,0.280,-0.854,-0.061,-0.061
1732904097517,2024-11-29T13.14.57.517,0.290,-0.854,0.244,-0.122
1732904097527,2024-11-29T13.14.57.527,0.300,-0.732,0.244,-0.366
1732904097537,2024-11-29T13.14.57.537,0.310,-0.427,0.366,-0.488
1732904097547,2024-11-29T13.14.57.547,0.320,-0.061,0.305,-0.610
1732904097557,2024-11-29T13.14.57.557,0.330,0.366,0.000,-0.610
1732904097567,2024-11-29T13.14.57.567,0.340,0.976,-0.122,-0.488
1732904097577,2024-11-29T13.14.57.577,0.350,1.341,0.000,-0.366
1732904097587,2024-11-29T13.14.57.587,0.360,1.646,0.244,-0.244
1732904097597,2024-11-29T13.14.57.597,0.370,1.707,0.244,-0.122
1732904097607,2024-11-29T13.14.57.607,0.380,1.524,0.488,-0.122
1732904097617,2024-11-29T13.14.57.617,0.390,1.220,0.671,-0.183
1732904097627,2024-11-29T13.14.57.627,0.400,0.854,0.732,-0.183
1732904097637,2024-11-29T13.14.57.637,0.410,0.488,0.854,-0.183
1732904097647,2024-11-29T13.14.57.647,0.420,0.305,1.159,0.061
1732904097657,2024-11-29T13.14.57.657,0.430,0.244,1.098,0.305
1732904097667,2024-11-29T13.14.57.667,0.440,0.122,1.098,0.305
1732904097677,2024-11-29T13.14.57.677,0.450,0.000,1.037,0.183
1732904097687,2024-11-29T13.14.57.687,0.460,0.122,0.732,-0.061
1732904097697,2024-11-29T13.14.57.697,0.470,0.305,0.610,-0.122
1732904097707,2024-11-29T13.14.57.707,0.480,0.427,0.610,-0.183
1732904097717,2024-11-29T13.14.57.717,0.490,0.366,0.366,-0.122
1732904097727,2024-11-29T13.14.57.727,0.500,0.305,0.061,0.244
1732904097737,2024-11-29T13.14.57.737,0.510,0.366,-0.427,0.488
1732904097747,2024-11-29T13.14.57.747,0.520,0.244,-0.610,0.610
1732904097757,2024-11-29T13.14.57.757,0.530,0.183,-0.671,0.732
1732904097767,2024-11-29T13.14.57.767,0.540,0.244,-0.671,0.549
1732904097777,2024-11-29T13.14.57.777,0.550,0.244,-0.793,0.427
1732904097787,2024-11-29T13.14.57.787,0.560,0.305,-0.732,0.366
