epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1.72974E+12,2024-10-23T21.59.23.946,0,-0.209,-0.988,0.039
1.72974E+12,2024-10-23T21.59.23.956,0.01,-0.237,-1.006,0.04
1.72974E+12,2024-10-23T21.59.23.966,0.02,-0.265,-1.01,0.047
1.72974E+12,2024-10-23T21.59.23.976,0.03,-0.273,-1.011,0.043
1.72974E+12,2024-10-23T21.59.23.986,0.04,-0.259,-1.011,0.041
1.72974E+12,2024-10-23T21.59.23.996,0.05,-0.243,-1.011,0.038
1.72974E+12,2024-10-23T21.59.24.006,0.06,-0.233,-1.01,0.033
1.72974E+12,2024-10-23T21.59.24.016,0.07,-0.208,-1.009,0.024
1.72974E+12,2024-10-23T21.59.24.026,0.08,-0.218,-1.011,0.007
1.72974E+12,2024-10-23T21.59.24.036,0.09,-0.211,-1.006,0.005
1.72974E+12,2024-10-23T21.59.24.046,0.1,-0.166,-1.012,-0.016
1.72974E+12,2024-10-23T21.59.24.056,0.11,-0.138,-1.016,-0.045
1.72974E+12,2024-10-23T21.59.24.066,0.12,-0.161,-1.022,-0.059
1.72974E+12,2024-10-23T21.59.24.076,0.13,-0.169,-1.027,-0.065
1.72974E+12,2024-10-23T21.59.24.086,0.14,-0.153,-1.047,-0.076
1.72974E+12,2024-10-23T21.59.24.096,0.15,-0.16,-1.067,-0.087
1.72974E+12,2024-10-23T21.59.24.106,0.16,-0.183,-1.079,-0.077
1.72974E+12,2024-10-23T21.59.24.116,0.17,-0.2,-1.095,-0.063
1.72974E+12,2024-10-23T21.59.24.126,0.18,-0.201,-1.102,-0.065
1.72974E+12,2024-10-23T21.59.24.136,0.19,-0.166,-1.099,-0.078
1.72974E+12,2024-10-23T21.59.24.146,0.2,-0.096,-1.094,-0.104
1.72974E+12,2024-10-23T21.59.24.156,0.21,-0.097,-1.094,-0.134
1.72974E+12,2024-10-23T21.59.24.166,0.22,-0.149,-1.083,-0.139
1.72974E+12,2024-10-23T21.59.24.176,0.23,-0.165,-1.074,-0.153
1.72974E+12,2024-10-23T21.59.24.186,0.24,-0.137,-1.068,-0.176
1.72974E+12,2024-10-23T21.59.24.196,0.25,-0.107,-1.06,-0.197
1.72974E+12,2024-10-23T21.59.24.206,0.26,-0.065,-1.048,-0.219
1.72974E+12,2024-10-23T21.59.24.216,0.27,-0.044,-1.042,-0.256
1.72974E+12,2024-10-23T21.59.24.226,0.28,-0.039,-1.022,-0.278
1.72974E+12,2024-10-23T21.59.24.236,0.29,-0.031,-1.008,-0.314
1.72974E+12,2024-10-23T21.59.24.246,0.3,-0.057,-0.997,-0.339
1.72974E+12,2024-10-23T21.59.24.256,0.31,-0.084,-0.989,-0.346
1.72974E+12,2024-10-23T21.59.24.266,0.32,-0.076,-0.993,-0.361
1.72974E+12,2024-10-23T21.59.24.276,0.33,-0.055,-0.998,-0.382
1.72974E+12,2024-10-23T21.59.24.286,0.34,-0.076,-1.004,-0.394
