epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1.72974E+12,2024-10-23T21.59.23.947,0,-17.805,52.256,0.427
1.72974E+12,2024-10-23T21.59.23.957,0.01,-17.622,53.415,0.366
1.72974E+12,2024-10-23T21.59.23.967,0.02,-18.049,58.293,0.244
1.72974E+12,2024-10-23T21.59.23.977,0.03,-18.598,65.183,-0.671
1.72974E+12,2024-10-23T21.59.23.987,0.04,-19.329,70.366,-2.317
1.72974E+12,2024-10-23T21.59.23.997,0.05,-20,74.512,-4.146
1.72974E+12,2024-10-23T21.59.24.007,0.06,-20.427,77.988,-5.671
1.72974E+12,2024-10-23T21.59.24.017,0.07,-21.28,80.122,-6.22
1.72974E+12,2024-10-23T21.59.24.027,0.08,-21.402,83.659,-6.463
1.72974E+12,2024-10-23T21.59.24.037,0.09,-21.22,87.805,-6.22
1.72974E+12,2024-10-23T21.59.24.047,0.1,-21.402,88.293,-4.146
1.72974E+12,2024-10-23T21.59.24.057,0.11,-21.402,86.402,-1.098
1.72974E+12,2024-10-23T21.59.24.067,0.12,-20.854,86.402,0.793
1.72974E+12,2024-10-23T21.59.24.077,0.13,-20.427,87.256,1.646
1.72974E+12,2024-10-23T21.59.24.087,0.14,-20.854,86.829,2.317
1.72974E+12,2024-10-23T21.59.24.097,0.15,-22.378,87.195,3.171
1.72974E+12,2024-10-23T21.59.24.107,0.16,-24.817,90.671,4.329
1.72974E+12,2024-10-23T21.59.24.117,0.17,-28.171,95.854,5.122
1.72974E+12,2024-10-23T21.59.24.127,0.18,-31.951,100.061,5.854
1.72974E+12,2024-10-23T21.59.24.137,0.19,-35.671,100.61,8.354
1.72974E+12,2024-10-23T21.59.24.147,0.2,-39.268,96.037,12.622
1.72974E+12,2024-10-23T21.59.24.157,0.21,-41.524,93.049,15.793
1.72974E+12,2024-10-23T21.59.24.167,0.22,-42.073,95.61,16.768
1.72974E+12,2024-10-23T21.59.24.177,0.23,-42.195,98.11,17.134
1.72974E+12,2024-10-23T21.59.24.187,0.24,-42.866,97.256,17.988
1.72974E+12,2024-10-23T21.59.24.197,0.25,-43.902,93.78,19.573
1.72974E+12,2024-10-23T21.59.24.207,0.26,-44.817,87.134,21.89
1.72974E+12,2024-10-23T21.59.24.217,0.27,-45.122,78.963,24.329
1.72974E+12,2024-10-23T21.59.24.227,0.28,-44.634,71.28,26.951
1.72974E+12,2024-10-23T21.59.24.237,0.29,-43.11,64.329,29.878
1.72974E+12,2024-10-23T21.59.24.247,0.3,-40.915,59.939,31.89
1.72974E+12,2024-10-23T21.59.24.257,0.31,-38.476,57.5,33.11
1.72974E+12,2024-10-23T21.59.24.267,0.32,-36.524,53.415,34.207
1.72974E+12,2024-10-23T21.59.24.277,0.33,-35.61,46.768,35.793
1.72974E+12,2024-10-23T21.59.24.287,0.34,-34.878,41.22,36.646
1.72974E+12,2024-10-23T21.59.24.297,0.35,-34.146,38.171,36.707
1.72974E+12,2024-10-23T21.59.24.307,0.36,-34.268,35.427,36.951
