epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1.72974E+12,2024-10-23T21.57.25.411,0.03,-0.237,-1.003,-0.033
1.72974E+12,2024-10-23T21.57.25.421,0.04,-0.25,-1.005,-0.038
1.72974E+12,2024-10-23T21.57.25.431,0.05,-0.253,-1.009,-0.036
1.72974E+12,2024-10-23T21.57.25.441,0.06,-0.243,-1.013,-0.039
1.72974E+12,2024-10-23T21.57.25.451,0.07,-0.236,-1.009,-0.043
1.72974E+12,2024-10-23T21.57.25.461,0.08,-0.232,-1.009,-0.042
1.72974E+12,2024-10-23T21.57.25.471,0.09,-0.235,-1.006,-0.036
1.72974E+12,2024-10-23T21.57.25.481,0.1,-0.249,-1.006,-0.033
1.72974E+12,2024-10-23T21.57.25.491,0.11,-0.255,-1.009,-0.03
1.72974E+12,2024-10-23T21.57.25.501,0.12,-0.254,-1.011,-0.026
1.72974E+12,2024-10-23T21.57.25.511,0.13,-0.251,-1.008,-0.024
1.72974E+12,2024-10-23T21.57.25.521,0.14,-0.256,-1.009,-0.025
1.72974E+12,2024-10-23T21.57.25.531,0.15,-0.254,-1.008,-0.027
1.72974E+12,2024-10-23T21.57.25.541,0.16,-0.25,-1.002,-0.031
1.72974E+12,2024-10-23T21.57.25.551,0.17,-0.245,-1.006,-0.029
1.72974E+12,2024-10-23T21.57.25.561,0.18,-0.245,-1.016,-0.033
1.72974E+12,2024-10-23T21.57.25.571,0.19,-0.245,-1.021,-0.034
1.72974E+12,2024-10-23T21.57.25.581,0.2,-0.245,-1.016,-0.032
1.72974E+12,2024-10-23T21.57.25.591,0.21,-0.243,-1.016,-0.037
1.72974E+12,2024-10-23T21.57.25.601,0.22,-0.241,-1.007,-0.041
1.72974E+12,2024-10-23T21.57.25.611,0.23,-0.238,-1.003,-0.046
1.72974E+12,2024-10-23T21.57.25.621,0.24,-0.24,-0.995,-0.047
1.72974E+12,2024-10-23T21.57.25.631,0.25,-0.242,-0.987,-0.048
1.72974E+12,2024-10-23T21.57.25.641,0.26,-0.233,-0.987,-0.051
1.72974E+12,2024-10-23T21.57.25.651,0.27,-0.236,-0.991,-0.053
1.72974E+12,2024-10-23T21.57.25.661,0.28,-0.242,-0.993,-0.05
1.72974E+12,2024-10-23T21.57.25.671,0.29,-0.241,-0.997,-0.053
1.72974E+12,2024-10-23T21.57.25.681,0.3,-0.241,-1.004,-0.051
1.72974E+12,2024-10-23T21.57.25.691,0.31,-0.247,-1.008,-0.046
1.72974E+12,2024-10-23T21.57.25.701,0.32,-0.251,-1.008,-0.04
1.72974E+12,2024-10-23T21.57.25.711,0.33,-0.249,-1.008,-0.042
1.72974E+12,2024-10-23T21.57.25.721,0.34,-0.25,-1.007,-0.043
1.72974E+12,2024-10-23T21.57.25.731,0.35,-0.252,-1.005,-0.039
1.72974E+12,2024-10-23T21.57.25.741,0.36,-0.24,-1.003,-0.037
1.72974E+12,2024-10-23T21.57.25.751,0.37,-0.247,-1.004,-0.04
1.72974E+12,2024-10-23T21.57.25.761,0.38,-0.247,-1.001,-0.042
1.72974E+12,2024-10-23T21.57.25.771,0.39,-0.244,-1.001,-0.041
1.72974E+12,2024-10-23T21.57.25.781,0.4,-0.249,-1.003,-0.041
1.72974E+12,2024-10-23T21.57.25.791,0.41,-0.254,-1,-0.039
1.72974E+12,2024-10-23T21.57.25.801,0.42,-0.237,-1.001,-0.04
1.72974E+12,2024-10-23T21.57.25.811,0.43,-0.232,-1.008,-0.039
1.72974E+12,2024-10-23T21.57.25.821,0.44,-0.247,-1.009,-0.037
1.72974E+12,2024-10-23T21.57.25.831,0.45,-0.237,-1.009,-0.037
1.72974E+12,2024-10-23T21.57.25.841,0.46,-0.242,-1.012,-0.04
1.72974E+12,2024-10-23T21.57.25.851,0.47,-0.244,-1.013,-0.041
1.72974E+12,2024-10-23T21.57.25.861,0.48,-0.243,-1.012,-0.04
1.72974E+12,2024-10-23T21.57.25.871,0.49,-0.232,-1.014,-0.039
1.72974E+12,2024-10-23T21.57.25.881,0.5,-0.232,-1.015,-0.042
1.72974E+12,2024-10-23T21.57.25.891,0.51,-0.244,-1.011,-0.045
1.72974E+12,2024-10-23T21.57.25.901,0.52,-0.237,-1.008,-0.047
1.72974E+12,2024-10-23T21.57.25.911,0.53,-0.229,-1.01,-0.047
1.72974E+12,2024-10-23T21.57.25.921,0.54,-0.232,-1.012,-0.044
1.72974E+12,2024-10-23T21.57.25.931,0.55,-0.244,-1.013,-0.045
1.72974E+12,2024-10-23T21.57.25.941,0.56,-0.245,-1.009,-0.041
1.72974E+12,2024-10-23T21.57.25.951,0.57,-0.243,-1.008,-0.04
1.72974E+12,2024-10-23T21.57.25.961,0.58,-0.239,-1.009,-0.039
1.72974E+12,2024-10-23T21.57.25.971,0.59,-0.233,-1.01,-0.042
1.72974E+12,2024-10-23T21.57.25.981,0.6,-0.233,-1.009,-0.039
1.72974E+12,2024-10-23T21.57.25.991,0.61,-0.25,-1.008,-0.041
1.72974E+12,2024-10-23T21.57.26.001,0.62,-0.249,-1.01,-0.041
1.72974E+12,2024-10-23T21.57.26.011,0.63,-0.236,-1.011,-0.043
1.72974E+12,2024-10-23T21.57.26.021,0.64,-0.228,-1.006,-0.045
1.72974E+12,2024-10-23T21.57.26.031,0.65,-0.229,-1.004,-0.042
1.72974E+12,2024-10-23T21.57.26.041,0.66,-0.242,-1.004,-0.038
1.72974E+12,2024-10-23T21.57.26.051,0.67,-0.249,-1.001,-0.034
1.72974E+12,2024-10-23T21.57.26.061,0.68,-0.247,-1,-0.033
1.72974E+12,2024-10-23T21.57.26.071,0.69,-0.252,-0.998,-0.032
1.72974E+12,2024-10-23T21.57.26.081,0.7,-0.252,-0.997,-0.031
1.72974E+12,2024-10-23T21.57.26.091,0.71,-0.247,-1.001,-0.031
1.72974E+12,2024-10-23T21.57.26.101,0.72,-0.252,-1.004,-0.035
1.72974E+12,2024-10-23T21.57.26.111,0.73,-0.257,-1.004,-0.033
1.72974E+12,2024-10-23T21.57.26.121,0.74,-0.243,-1.008,-0.038
1.72974E+12,2024-10-23T21.57.26.131,0.75,-0.242,-1.007,-0.04
1.72974E+12,2024-10-23T21.57.26.141,0.76,-0.235,-1.003,-0.043
1.72974E+12,2024-10-23T21.57.26.151,0.77,-0.23,-1.005,-0.048
1.72974E+12,2024-10-23T21.57.26.161,0.78,-0.235,-0.999,-0.052
1.72974E+12,2024-10-23T21.57.26.171,0.79,-0.231,-0.996,-0.056
1.72974E+12,2024-10-23T21.57.26.181,0.8,-0.231,-0.999,-0.055
1.72974E+12,2024-10-23T21.57.26.191,0.81,-0.238,-1,-0.049
1.72974E+12,2024-10-23T21.57.26.201,0.82,-0.236,-1.006,-0.05
1.72974E+12,2024-10-23T21.57.26.211,0.83,-0.237,-1.005,-0.049
1.72974E+12,2024-10-23T21.57.26.221,0.84,-0.242,-1.01,-0.043
1.72974E+12,2024-10-23T21.57.26.231,0.85,-0.243,-1.014,-0.05
1.72974E+12,2024-10-23T21.57.26.241,0.86,-0.237,-1.009,-0.052
1.72974E+12,2024-10-23T21.57.26.251,0.87,-0.227,-1.011,-0.049
1.72974E+12,2024-10-23T21.57.26.261,0.88,-0.237,-1.016,-0.049
1.72974E+12,2024-10-23T21.57.26.271,0.89,-0.248,-1.015,-0.042
1.72974E+12,2024-10-23T21.57.26.281,0.9,-0.243,-1.016,-0.041
1.72974E+12,2024-10-23T21.57.26.291,0.91,-0.244,-1.016,-0.038
1.72974E+12,2024-10-23T21.57.26.301,0.92,-0.244,-1.018,-0.036
1.72974E+12,2024-10-23T21.57.26.311,0.93,-0.239,-1.015,-0.042
1.72974E+12,2024-10-23T21.57.26.321,0.94,-0.24,-1.008,-0.038
1.72974E+12,2024-10-23T21.57.26.331,0.95,-0.236,-1.007,-0.037
1.72974E+12,2024-10-23T21.57.26.341,0.96,-0.243,-1.009,-0.038
1.72974E+12,2024-10-23T21.57.26.351,0.97,-0.244,-1,-0.036
1.72974E+12,2024-10-23T21.57.26.361,0.98,-0.236,-1.001,-0.04
1.72974E+12,2024-10-23T21.57.26.371,0.99,-0.235,-0.998,-0.042
1.72974E+12,2024-10-23T21.57.26.381,1,-0.232,-1,-0.044
1.72974E+12,2024-10-23T21.57.26.391,1.01,-0.216,-1.007,-0.046
1.72974E+12,2024-10-23T21.57.26.401,1.02,-0.203,-1.022,-0.048
1.72974E+12,2024-10-23T21.57.26.411,1.03,-0.198,-1.029,-0.062
1.72974E+12,2024-10-23T21.57.26.421,1.04,-0.198,-1.037,-0.062
1.72974E+12,2024-10-23T21.57.26.431,1.05,-0.186,-1.043,-0.066
1.72974E+12,2024-10-23T21.57.26.441,1.06,-0.168,-1.062,-0.073
1.72974E+12,2024-10-23T21.57.26.451,1.07,-0.166,-1.069,-0.084
1.72974E+12,2024-10-23T21.57.26.461,1.08,-0.176,-1.065,-0.094
1.72974E+12,2024-10-23T21.57.26.471,1.09,-0.154,-1.06,-0.096
1.72974E+12,2024-10-23T21.57.26.481,1.1,-0.116,-1.062,-0.125
1.72974E+12,2024-10-23T21.57.26.491,1.11,-0.173,-1.052,-0.144
1.72974E+12,2024-10-23T21.57.26.501,1.12,-0.235,-1.034,-0.127
1.72974E+12,2024-10-23T21.57.26.511,1.13,-0.19,-1.019,-0.136
