epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1.72974E+12,2024-10-23T21.57.25.411,0,-0.244,0,-1.768
1.72974E+12,2024-10-23T21.57.25.421,0.01,-0.854,-0.122,-1.951
1.72974E+12,2024-10-23T21.57.25.431,0.02,-0.488,0.793,-1.829
1.72974E+12,2024-10-23T21.57.25.441,0.03,0.122,1.341,-1.951
1.72974E+12,2024-10-23T21.57.25.451,0.04,0.427,0.488,-1.89
1.72974E+12,2024-10-23T21.57.25.461,0.05,0.793,-0.427,-1.524
1.72974E+12,2024-10-23T21.57.25.471,0.06,1.098,-1.402,-0.61
1.72974E+12,2024-10-23T21.57.25.481,0.07,1.22,-2.012,0.366
1.72974E+12,2024-10-23T21.57.25.491,0.08,1.098,-1.402,1.037
1.72974E+12,2024-10-23T21.57.25.501,0.09,0.915,-0.427,1.22
1.72974E+12,2024-10-23T21.57.25.511,0.1,0.366,0.122,1.037
1.72974E+12,2024-10-23T21.57.25.521,0.11,-0.305,0.61,0.61
1.72974E+12,2024-10-23T21.57.25.531,0.12,-1.098,0.976,-0.061
1.72974E+12,2024-10-23T21.57.25.541,0.13,-1.768,1.341,-0.488
1.72974E+12,2024-10-23T21.57.25.551,0.14,-2.256,1.89,-0.61
1.72974E+12,2024-10-23T21.57.25.561,0.15,-2.866,2.439,-0.366
1.72974E+12,2024-10-23T21.57.25.571,0.16,-3.72,2.683,-0.122
1.72974E+12,2024-10-23T21.57.25.581,0.17,-4.512,2.988,0
1.72974E+12,2024-10-23T21.57.25.591,0.18,-5.244,3.232,-0.183
1.72974E+12,2024-10-23T21.57.25.601,0.19,-5.549,3.354,-0.427
1.72974E+12,2024-10-23T21.57.25.611,0.2,-5.427,2.805,-0.671
1.72974E+12,2024-10-23T21.57.25.621,0.21,-4.756,2.317,-0.976
1.72974E+12,2024-10-23T21.57.25.631,0.22,-3.537,2.073,-1.22
1.72974E+12,2024-10-23T21.57.25.641,0.23,-2.012,1.707,-1.463
1.72974E+12,2024-10-23T21.57.25.651,0.24,-0.671,0.427,-1.402
1.72974E+12,2024-10-23T21.57.25.661,0.25,0.854,-0.183,-1.463
1.72974E+12,2024-10-23T21.57.25.671,0.26,1.951,-0.488,-1.524
1.72974E+12,2024-10-23T21.57.25.681,0.27,2.439,-1.098,-1.098
1.72974E+12,2024-10-23T21.57.25.691,0.28,2.561,-1.28,-0.854
1.72974E+12,2024-10-23T21.57.25.701,0.29,2.378,-1.463,-0.976
1.72974E+12,2024-10-23T21.57.25.711,0.3,2.073,-1.22,-1.22
1.72974E+12,2024-10-23T21.57.25.721,0.31,1.341,-0.976,-1.22
1.72974E+12,2024-10-23T21.57.25.731,0.32,0.671,-0.549,-1.28
1.72974E+12,2024-10-23T21.57.25.741,0.33,0.305,0.061,-0.854
1.72974E+12,2024-10-23T21.57.25.751,0.34,-0.183,-0.305,-0.244
1.72974E+12,2024-10-23T21.57.25.761,0.35,-0.488,-0.732,-0.549
1.72974E+12,2024-10-23T21.57.25.771,0.36,-0.427,-0.366,-1.098
1.72974E+12,2024-10-23T21.57.25.781,0.37,-0.244,-0.488,-1.524
1.72974E+12,2024-10-23T21.57.25.791,0.38,-0.061,-0.671,-1.951
1.72974E+12,2024-10-23T21.57.25.801,0.39,0.122,0.122,-2.256
1.72974E+12,2024-10-23T21.57.25.811,0.4,0.061,-0.061,-1.829
1.72974E+12,2024-10-23T21.57.25.821,0.41,-0.122,-0.61,-1.707
1.72974E+12,2024-10-23T21.57.25.831,0.42,-0.122,-0.122,-1.89
1.72974E+12,2024-10-23T21.57.25.841,0.43,-0.061,-0.061,-1.829
1.72974E+12,2024-10-23T21.57.25.851,0.44,-0.122,-0.244,-1.89
1.72974E+12,2024-10-23T21.57.25.861,0.45,-0.183,0.244,-2.134
1.72974E+12,2024-10-23T21.57.25.871,0.46,-0.488,0.793,-2.012
1.72974E+12,2024-10-23T21.57.25.881,0.47,-0.61,0.61,-1.341
1.72974E+12,2024-10-23T21.57.25.891,0.48,-0.488,0.183,-0.549
1.72974E+12,2024-10-23T21.57.25.901,0.49,-0.244,0.488,-0.366
1.72974E+12,2024-10-23T21.57.25.911,0.5,0.183,0.366,-0.244
1.72974E+12,2024-10-23T21.57.25.921,0.51,0.427,-0.244,0.122
1.72974E+12,2024-10-23T21.57.25.931,0.52,0.488,-0.732,0.427
1.72974E+12,2024-10-23T21.57.25.941,0.53,0.671,-0.732,0.305
1.72974E+12,2024-10-23T21.57.25.951,0.54,0.732,-0.427,0.061
1.72974E+12,2024-10-23T21.57.25.961,0.55,0.793,-0.122,-0.244
1.72974E+12,2024-10-23T21.57.25.971,0.56,0.61,-0.366,-0.305
1.72974E+12,2024-10-23T21.57.25.981,0.57,0.366,-0.915,0.122
1.72974E+12,2024-10-23T21.57.25.991,0.58,0.366,-0.976,0.488
1.72974E+12,2024-10-23T21.57.26.001,0.59,0.61,-0.305,0.061
1.72974E+12,2024-10-23T21.57.26.011,0.6,0.854,0,-0.549
1.72974E+12,2024-10-23T21.57.26.021,0.61,1.037,-0.61,-0.732
1.72974E+12,2024-10-23T21.57.26.031,0.62,0.976,-1.463,-0.244
1.72974E+12,2024-10-23T21.57.26.041,0.63,0.915,-2.256,0.488
1.72974E+12,2024-10-23T21.57.26.051,0.64,0.976,-2.378,1.037
1.72974E+12,2024-10-23T21.57.26.061,0.65,1.22,-1.28,1.463
1.72974E+12,2024-10-23T21.57.26.071,0.66,1.22,-0.793,2.134
1.72974E+12,2024-10-23T21.57.26.081,0.67,1.341,-0.366,2.012
1.72974E+12,2024-10-23T21.57.26.091,0.68,1.402,0.427,1.646
1.72974E+12,2024-10-23T21.57.26.101,0.69,0.976,0.549,1.402
1.72974E+12,2024-10-23T21.57.26.111,0.7,0.488,1.098,0.976
1.72974E+12,2024-10-23T21.57.26.121,0.71,-0.061,2.073,0.427
1.72974E+12,2024-10-23T21.57.26.131,0.72,-0.671,2.073,0.122
1.72974E+12,2024-10-23T21.57.26.141,0.73,-0.976,1.89,-0.366
1.72974E+12,2024-10-23T21.57.26.151,0.74,-0.976,1.646,-0.427
1.72974E+12,2024-10-23T21.57.26.161,0.75,-0.793,0.976,-0.305
1.72974E+12,2024-10-23T21.57.26.171,0.76,0,0.61,-0.671
1.72974E+12,2024-10-23T21.57.26.181,0.77,0.671,-0.244,-1.098
1.72974E+12,2024-10-23T21.57.26.191,0.78,1.22,-0.671,-1.341
1.72974E+12,2024-10-23T21.57.26.201,0.79,1.524,-0.854,-1.646
1.72974E+12,2024-10-23T21.57.26.211,0.8,1.585,-1.28,-1.585
1.72974E+12,2024-10-23T21.57.26.221,0.81,1.524,-1.098,-1.707
1.72974E+12,2024-10-23T21.57.26.231,0.82,1.646,-0.915,-1.829
1.72974E+12,2024-10-23T21.57.26.241,0.83,1.768,-1.341,-1.707
1.72974E+12,2024-10-23T21.57.26.251,0.84,1.829,-1.524,-1.463
